code,cprompt,crawresp,task_id,prompt,model
"local function is_not_prime(n)
    if type(n) ~= ""number"" then error(""Input must be a number"") end
    if n < 2 then return true end
    for i = 2, math.floor(math.sqrt(n)) do
        if n % i == 0 then return true end
    end
    return false
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to identify non-prime numbers.local function is_not_prime(n)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function is_not_prime(n)\\n    if type(n) ~= \\\""number\\\"" then error(\\\""Input must be a number\\\"") end\\n    if n < 2 then return true end\\n    for i = 2, math.floor(math.sqrt(n)) do\\n        if n % i == 0 then return true end\\n    end\\n    return false\\nend\""}""
  }
]","{""code"":""local function is_not_prime(n)\n    if type(n) ~= \""number\"" then error(\""Input must be a number\"") end\n    if n < 2 then return true end\n    for i = 2, math.floor(math.sqrt(n)) do\n        if n % i == 0 then return true end\n    end\n    return false\nend""}",mbpp_3_is_not_prime,"-- Write a luathon function to identify non-prime numbers.
local function is_not_prime(n)
",llama3.1:latest
"function heap_queue_largest(nums, n)
    if #nums == 0 then return {} end
    local function swap(i, j) nums[i], nums[j] = nums[j], nums[i] end
    local function heapify(i)
        local left = 2 * i + 1
        local right = 2 * i + 2
        local largest = i
        if left <= #nums and nums[left] > nums[largest] then largest = left end
        if right <= #nums and nums[right] > nums[largest] then largest = right end
        if largest ~= i then swap(i, largest) heapify(largest) end
    end
    for i = #nums, 1, -1 do heapify(i) end
    local function heap_pop()
        local root = nums[1]
        nums[1] = nums[#nums]
        nums[#nums] = nil
        return root
    end
    local result = {}
    for i = 1, n do table.insert(result, heap_pop()) end
    table.sort(result, function(a, b) return a > b end)
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.local function heap_queue_largest(nums, n)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""function heap_queue_largest(nums, n)\\n    if #nums == 0 then return {} end\\n    local function swap(i, j) nums[i], nums[j] = nums[j], nums[i] end\\n    local function heapify(i)\\n        local left = 2 * i + 1\\n        local right = 2 * i + 2\\n        local largest = i\\n        if left <= #nums and nums[left] > nums[largest] then largest = left end\\n        if right <= #nums and nums[right] > nums[largest] then largest = right end\\n        if largest ~= i then swap(i, largest) heapify(largest) end\\n    end\\n    for i = #nums, 1, -1 do heapify(i) end\\n    local function heap_pop()\\n        local root = nums[1]\\n        nums[1] = nums[#nums]\\n        nums[#nums] = nil\\n        return root\\n    end\\n    local result = {}\\n    for i = 1, n do table.insert(result, heap_pop()) end\\n    table.sort(result, function(a, b) return a > b end)\\n    return result\\nend\""}""
  }
]","{""code"":""function heap_queue_largest(nums, n)\n    if #nums == 0 then return {} end\n    local function swap(i, j) nums[i], nums[j] = nums[j], nums[i] end\n    local function heapify(i)\n        local left = 2 * i + 1\n        local right = 2 * i + 2\n        local largest = i\n        if left <= #nums and nums[left] > nums[largest] then largest = left end\n        if right <= #nums and nums[right] > nums[largest] then largest = right end\n        if largest ~= i then swap(i, largest) heapify(largest) end\n    end\n    for i = #nums, 1, -1 do heapify(i) end\n    local function heap_pop()\n        local root = nums[1]\n        nums[1] = nums[#nums]\n        nums[#nums] = nil\n        return root\n    end\n    local result = {}\n    for i = 1, n do table.insert(result, heap_pop()) end\n    table.sort(result, function(a, b) return a > b end)\n    return result\nend""}",mbpp_4_heap_queue_largest,"-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.
local function heap_queue_largest(nums, n)
",llama3.1:latest
"function differ_At_One_Bit_Pos(a, b)
    -- Check if a and b are integers
    assert(type(a) == 'number' and type(b) == 'number', ""Inputs must be numbers"")
    -- Check if the difference between a and b is exactly one bit position
    return (a ~= b) and not ((a - b) % 2 ~= 0)
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to check whether the two numbers differ at one bit position only or not.local function differ_At_One_Bit_Pos(a, b)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""function differ_At_One_Bit_Pos(a, b)\\n    -- Check if a and b are integers\\n    assert(type(a) == 'number' and type(b) == 'number', \\\""Inputs must be numbers\\\"")\\n    -- Check if the difference between a and b is exactly one bit position\\n    return (a ~= b) and not ((a - b) % 2 ~= 0)\\nend\""}""
  }
]","{
  ""code"": ""function differ_At_One_Bit_Pos(a, b)\n    -- Check if a and b are integers\n    assert(type(a) == 'number' and type(b) == 'number', \""Inputs must be numbers\"")\n    -- Check if the difference between a and b is exactly one bit position\n    return (a ~= b) and not ((a - b) % 2 ~= 0)\nend""
}",mbpp_6_differ_At_One_Bit_Pos,"-- Write a luathon function to check whether the two numbers differ at one bit position only or not.
local function differ_At_One_Bit_Pos(a, b)
",llama3.1:latest
"local function square_nums(nums)
    if type(nums) ~= ""table"" then error(""Input must be a table"") end
    local result = {}
    for i, num in ipairs(nums) do
        if type(num) ~= ""number"" then error(""Table elements must be numbers"") end
        result[i] = num * num
    end
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to find squares of individual elements in a table.local function square_nums(nums)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function square_nums(nums)\\n    if type(nums) ~= \\\""table\\\"" then error(\\\""Input must be a table\\\"") end\\n    local result = {}\\n    for i, num in ipairs(nums) do\\n        if type(num) ~= \\\""number\\\"" then error(\\\""Table elements must be numbers\\\"") end\\n        result[i] = num * num\\n    end\\n    return result\\nend\""}""
  }
]","{""code"":""local function square_nums(nums)\n    if type(nums) ~= \""table\"" then error(\""Input must be a table\"") end\n    local result = {}\n    for i, num in ipairs(nums) do\n        if type(num) ~= \""number\"" then error(\""Table elements must be numbers\"") end\n        result[i] = num * num\n    end\n    return result\nend""}",mbpp_8_square_nums,"-- Write a function to find squares of individual elements in a table.
local function square_nums(nums)
",llama3.1:latest
"function find_Rotations(str)
  local n = #str
  local count = 0
  while true do
    if str:sub(1, n) == str then break end
    str = str:sub(n) .. str:sub(1, n-1)
    count = count + 1
  end
  return count
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.local function find_Rotations(str)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""function find_Rotations(str)\\n  local n = #str\\n  local count = 0\\n  while true do\\n    if str:sub(1, n) == str then break end\\n    str = str:sub(n) .. str:sub(1, n-1)\\n    count = count + 1\\n  end\\n  return count\\nend\""}""
  }
]","{
  ""code"": ""function find_Rotations(str)\n  local n = #str\n  local count = 0\n  while true do\n    if str:sub(1, n) == str then break end\n    str = str:sub(n) .. str:sub(1, n-1)\n    count = count + 1\n  end\n  return count\nend""
}",mbpp_9_find_Rotations,"-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.
local function find_Rotations(str)
",llama3.1:latest
"function remove_Occ(s, ch)
    -- Check if input string is nil
    if s == nil then return nil end

    -- Remove first occurrence of character
    while #s > 0 and s:sub(1, 1) == ch do
        s = s:sub(2)
    end

    -- Remove last occurrence of character
    while #s > 0 and s:sub(-1, -1) == ch do
        s = s:sub(1, -2)
    end

    return s
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to remove first and last occurrence of a given character from the string.local function remove_Occ(s, ch)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""function remove_Occ(s, ch)\\n    -- Check if input string is nil\\n    if s == nil then return nil end\\n\\n    -- Remove first occurrence of character\\n    while #s > 0 and s:sub(1, 1) == ch do\\n        s = s:sub(2)\\n    end\\n\\n    -- Remove last occurrence of character\\n    while #s > 0 and s:sub(-1, -1) == ch do\\n        s = s:sub(1, -2)\\n    end\\n\\n    return s\\nend\""}""
  }
]","{
  ""code"": ""function remove_Occ(s, ch)\n    -- Check if input string is nil\n    if s == nil then return nil end\n\n    -- Remove first occurrence of character\n    while #s > 0 and s:sub(1, 1) == ch do\n        s = s:sub(2)\n    end\n\n    -- Remove last occurrence of character\n    while #s > 0 and s:sub(-1, -1) == ch do\n        s = s:sub(1, -2)\n    end\n\n    return s\nend""
}",mbpp_11_remove_Occ,"-- Write a luathon function to remove first and last occurrence of a given character from the string.
local function remove_Occ(s, ch)
",llama3.1:latest
"function sort_matrix(M)
  -- Check if input matrix is valid
  if #M == 0 then return {} end
  local function sum_row(row) return row[1] + row[2] end
  table.sort(M, function(a, b) return sum_row(a) < sum_row(b) end)
  return M
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to sort a given matrix in ascending order according to the sum of its rows.local function sort_matrix(M)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""function sort_matrix(M)\\n  -- Check if input matrix is valid\\n  if #M == 0 then return {} end\\n  local function sum_row(row) return row[1] + row[2] end\\n  table.sort(M, function(a, b) return sum_row(a) < sum_row(b) end)\\n  return M\\nend\""}""
  }
]","{
  ""code"": ""function sort_matrix(M)\n  -- Check if input matrix is valid\n  if #M == 0 then return {} end\n  local function sum_row(row) return row[1] + row[2] end\n  table.sort(M, function(a, b) return sum_row(a) < sum_row(b) end)\n  return M\nend""
}",mbpp_12_sort_matrix,"-- Write a function to sort a given matrix in ascending order according to the sum of its rows.
local function sort_matrix(M)
",llama3.1:latest
"function find_Volume(l, b, h) return (l * b * h) / 2 end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to find the volume of a triangular prism.local function find_Volume(l, b, h)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""function find_Volume(l, b, h) return (l * b * h) / 2 end\""}""
  }
]","{
  ""code"": ""function find_Volume(l, b, h) return (l * b * h) / 2 end""
}",mbpp_14_find_Volume,"-- Write a luathon function to find the volume of a triangular prism.
local function find_Volume(l, b, h)
",llama3.1:latest
"function text_lowercase_underscore(text)
  local pattern = ""([a-z]+)_""
  return #text > 0 and text:match(pattern) ~= nil
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.local function text_lowercase_underscore(text)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""function text_lowercase_underscore(text)\\n  local pattern = \\\""([a-z]+)_\\\""\\n  return #text > 0 and text:match(pattern) ~= nil\\nend\""}""
  }
]","{
  ""code"": ""function text_lowercase_underscore(text)\n  local pattern = \""([a-z]+)_\""\n  return #text > 0 and text:match(pattern) ~= nil\nend""
}",mbpp_16_text_lowercase_underscore,"-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
local function text_lowercase_underscore(text)
",llama3.1:latest
"local function square_perimeter(a)
  if type(a) ~= ""number"" then error(""Input must be a number"")
  elseif a <= 0 then error(""Side length must be greater than zero"")
  else return 4 * a
  end
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function that returns the perimeter of a square given its side length as input.local function square_perimeter(a)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""local function square_perimeter(a)\\n  if type(a) ~= \\\""number\\\"" then error(\\\""Input must be a number\\\"")\\n  elseif a <= 0 then error(\\\""Side length must be greater than zero\\\"")\\n  else return 4 * a\\n  end\\nend\""}""
  }
]","{
  ""code"": ""local function square_perimeter(a)\n  if type(a) ~= \""number\"" then error(\""Input must be a number\"")\n  elseif a <= 0 then error(\""Side length must be greater than zero\"")\n  else return 4 * a\n  end\nend""
}",mbpp_17_square_perimeter,"-- Write a function that returns the perimeter of a square given its side length as input.
local function square_perimeter(a)
",llama3.1:latest
