code,cprompt,crawresp,task_id,entry_point,prompt,model
"def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(len(numbers) - 1):
        if abs(numbers[i + 1] - numbers[i]) < threshold:
            return True
    return False","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef has_close_elements(numbers: List[float], threshold: float) -> bool:\n    \""\""\"" Check if in given list of numbers, are any two numbers closer to each other than\n    given threshold.\n    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)\n    False\n    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)\n    True\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: has_close_elements\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def has_close_elements(numbers: List[float], threshold: float) -> bool:\\n    numbers.sort()\\n    for i in range(len(numbers) - 1):\\n        if abs(numbers[i + 1] - numbers[i]) < threshold:\\n            return True\\n    return False\""}""
  }
]","{""code"":""def has_close_elements(numbers: List[float], threshold: float) -> bool:\n    numbers.sort()\n    for i in range(len(numbers) - 1):\n        if abs(numbers[i + 1] - numbers[i]) < threshold:\n            return True\n    return False""}",HumanEval/0,has_close_elements,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",gpt-4o-mini
"def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    stack = []
    current_group = []
    for char in paren_string.replace(' ', ''):
        if char == '(':  
            if len(stack) == 0:
                current_group = [char]
            else:
                current_group.append(char)
            stack.append(char)
        elif char == ')':
            if stack:
                current_group.append(char)
                stack.pop()
                if not stack:
                    result.append(''.join(current_group))
                    current_group = []
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef separate_paren_groups(paren_string: str) -> List[str]:\n    \""\""\"" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to\n    separate those group into separate strings and return the list of those.\n    Separate groups are balanced (each open brace is properly closed) and not nested within each other\n    Ignore any spaces in the input string.\n    >>> separate_paren_groups('( ) (( )) (( )( ))')\n    ['()', '(())', '(()())']\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: separate_paren_groups\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def separate_paren_groups(paren_string: str) -> List[str]:\\n    result = []\\n    stack = []\\n    current_group = []\\n    for char in paren_string.replace(' ', ''):\\n        if char == '(':  \\n            if len(stack) == 0:\\n                current_group = [char]\\n            else:\\n                current_group.append(char)\\n            stack.append(char)\\n        elif char == ')':\\n            if stack:\\n                current_group.append(char)\\n                stack.pop()\\n                if not stack:\\n                    result.append(''.join(current_group))\\n                    current_group = []\\n    return result\""}""
  }
]","{""code"":""def separate_paren_groups(paren_string: str) -> List[str]:\n    result = []\n    stack = []\n    current_group = []\n    for char in paren_string.replace(' ', ''):\n        if char == '(':  \n            if len(stack) == 0:\n                current_group = [char]\n            else:\n                current_group.append(char)\n            stack.append(char)\n        elif char == ')':\n            if stack:\n                current_group.append(char)\n                stack.pop()\n                if not stack:\n                    result.append(''.join(current_group))\n                    current_group = []\n    return result""}",HumanEval/1,separate_paren_groups,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",gpt-4o-mini
"def truncate_number(number: float) -> float:
    return number - int(number)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n\n\ndef truncate_number(number: float) -> float:\n    \""\""\"" Given a positive floating point number, it can be decomposed into\n    and integer part (largest integer smaller than given number) and decimals\n    (leftover part always smaller than 1).\n\n    Return the decimal part of the number.\n    >>> truncate_number(3.5)\n    0.5\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: truncate_number\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def truncate_number(number: float) -> float:\\n    return number - int(number)\""}""
  }
]","{""code"":""def truncate_number(number: float) -> float:\n    return number - int(number)""}",HumanEval/2,truncate_number,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",gpt-4o-mini
"    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef below_zero(operations: List[int]) -> bool:\n    \""\""\"" You're given a list of deposit and withdrawal operations on a bank account that starts with\n    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and\n    at that point function should return True. Otherwise it should return False.\n    >>> below_zero([1, 2, 3])\n    False\n    >>> below_zero([1, 2, -4, 5])\n    True\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: below_zero\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""    balance = 0\\n    for operation in operations:\\n        balance += operation\\n        if balance < 0:\\n            return True\\n    return False\""}""
  }
]","{""code"":""    balance = 0\n    for operation in operations:\n        balance += operation\n        if balance < 0:\n            return True\n    return False""}",HumanEval/3,below_zero,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",gpt-4o-mini
"def mean_absolute_deviation(numbers: List[float]) -> float:
    if not numbers:
        return 0.0
    mean = sum(numbers) / len(numbers)
    mad = sum(abs(x - mean) for x in numbers) / len(numbers)
    return mad","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef mean_absolute_deviation(numbers: List[float]) -> float:\n    \""\""\"" For a given list of input numbers, calculate Mean Absolute Deviation\n    around the mean of this dataset.\n    Mean Absolute Deviation is the average absolute difference between each\n    element and a centerpoint (mean in this case):\n    MAD = average | x - x_mean |\n    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])\n    1.0\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: mean_absolute_deviation\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def mean_absolute_deviation(numbers: List[float]) -> float:\\n    if not numbers:\\n        return 0.0\\n    mean = sum(numbers) / len(numbers)\\n    mad = sum(abs(x - mean) for x in numbers) / len(numbers)\\n    return mad\""}""
  }
]","{""code"":""def mean_absolute_deviation(numbers: List[float]) -> float:\n    if not numbers:\n        return 0.0\n    mean = sum(numbers) / len(numbers)\n    mad = sum(abs(x - mean) for x in numbers) / len(numbers)\n    return mad""}",HumanEval/4,mean_absolute_deviation,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",gpt-4o-mini
"def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []
    result = []
    for i in range(len(numbers) - 1):
        result.append(numbers[i])
        result.append(delimeter)
    result.append(numbers[-1])
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef intersperse(numbers: List[int], delimeter: int) -> List[int]:\n    \""\""\"" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'\n    >>> intersperse([], 4)\n    []\n    >>> intersperse([1, 2, 3], 4)\n    [1, 4, 2, 4, 3]\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: intersperse\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def intersperse(numbers: List[int], delimeter: int) -> List[int]:\\n    if not numbers:\\n        return []\\n    result = []\\n    for i in range(len(numbers) - 1):\\n        result.append(numbers[i])\\n        result.append(delimeter)\\n    result.append(numbers[-1])\\n    return result\""}""
  }
]","{""code"":""def intersperse(numbers: List[int], delimeter: int) -> List[int]:\n    if not numbers:\n        return []\n    result = []\n    for i in range(len(numbers) - 1):\n        result.append(numbers[i])\n        result.append(delimeter)\n    result.append(numbers[-1])\n    return result""}",HumanEval/5,intersperse,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",gpt-4o-mini
"def parse_nested_parens(paren_string: str) -> List[int]:
    results = []
    for group in paren_string.split():
        max_depth = current_depth = 0
        for char in group:
            if char == '(':  
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1
        results.append(max_depth)
    return results","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef parse_nested_parens(paren_string: str) -> List[int]:\n    \""\""\"" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.\n    For each of the group, output the deepest level of nesting of parentheses.\n    E.g. (()()) has maximum two levels of nesting while ((())) has three.\n\n    >>> parse_nested_parens('(()()) ((())) () ((())()())')\n    [2, 3, 1, 3]\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: parse_nested_parens\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def parse_nested_parens(paren_string: str) -> List[int]:\\n    results = []\\n    for group in paren_string.split():\\n        max_depth = current_depth = 0\\n        for char in group:\\n            if char == '(':  \\n                current_depth += 1\\n                max_depth = max(max_depth, current_depth)\\n            elif char == ')':\\n                current_depth -= 1\\n        results.append(max_depth)\\n    return results\""}""
  }
]","{""code"":""def parse_nested_parens(paren_string: str) -> List[int]:\n    results = []\n    for group in paren_string.split():\n        max_depth = current_depth = 0\n        for char in group:\n            if char == '(':  \n                current_depth += 1\n                max_depth = max(max_depth, current_depth)\n            elif char == ')':\n                current_depth -= 1\n        results.append(max_depth)\n    return results""}",HumanEval/6,parse_nested_parens,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",gpt-4o-mini
"def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef filter_by_substring(strings: List[str], substring: str) -> List[str]:\n    \""\""\"" Filter an input list of strings only for ones that contain given substring\n    >>> filter_by_substring([], 'a')\n    []\n    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')\n    ['abc', 'bacd', 'array']\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: filter_by_substring\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def filter_by_substring(strings: List[str], substring: str) -> List[str]:\\n    return [s for s in strings if substring in s]\""}""
  }
]","{""code"":""def filter_by_substring(strings: List[str], substring: str) -> List[str]:\n    return [s for s in strings if substring in s]""}",HumanEval/7,filter_by_substring,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",gpt-4o-mini
"def sum_product(numbers: List[int]) -> Tuple[int, int]:
    total_sum = sum(numbers)
    total_product = 1 if numbers else 1
    for number in numbers:
        total_product *= number
    return (total_sum, total_product)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List, Tuple\n\n\ndef sum_product(numbers: List[int]) -> Tuple[int, int]:\n    \""\""\"" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.\n    Empty sum should be equal to 0 and empty product should be equal to 1.\n    >>> sum_product([])\n    (0, 1)\n    >>> sum_product([1, 2, 3, 4])\n    (10, 24)\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: sum_product\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def sum_product(numbers: List[int]) -> Tuple[int, int]:\\n    total_sum = sum(numbers)\\n    total_product = 1 if numbers else 1\\n    for number in numbers:\\n        total_product *= number\\n    return (total_sum, total_product)\""}""
  }
]","{""code"":""def sum_product(numbers: List[int]) -> Tuple[int, int]:\n    total_sum = sum(numbers)\n    total_product = 1 if numbers else 1\n    for number in numbers:\n        total_product *= number\n    return (total_sum, total_product)""}",HumanEval/8,sum_product,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",gpt-4o-mini
"def rolling_max(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    max_so_far = numbers[0]
    result = [max_so_far]
    for num in numbers[1:]:
        max_so_far = max(max_so_far, num)
        result.append(max_so_far)
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List, Tuple\n\n\ndef rolling_max(numbers: List[int]) -> List[int]:\n    \""\""\"" From a given list of integers, generate a list of rolling maximum element found until given moment\n    in the sequence.\n    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])\n    [1, 2, 3, 3, 3, 4, 4]\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: rolling_max\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def rolling_max(numbers: List[int]) -> List[int]:\\n    if not numbers:\\n        return []\\n    max_so_far = numbers[0]\\n    result = [max_so_far]\\n    for num in numbers[1:]:\\n        max_so_far = max(max_so_far, num)\\n        result.append(max_so_far)\\n    return result\""}""
  }
]","{""code"":""def rolling_max(numbers: List[int]) -> List[int]:\n    if not numbers:\n        return []\n    max_so_far = numbers[0]\n    result = [max_so_far]\n    for num in numbers[1:]:\n        max_so_far = max(max_so_far, num)\n        result.append(max_so_far)\n    return result""}",HumanEval/9,rolling_max,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",gpt-4o-mini
