code,cprompt,crawresp,task_id,entry_point,prompt,model
"    numbers_sorted = sorted(numbers)
    for i in range(len(numbers_sorted) - 1):
        if numbers_sorted[i+1] - numbers_sorted[i] < threshold:
            return True
    return False","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef has_close_elements(numbers: List[float], threshold: float) -> bool:\n    \""\""\"" Check if in given list of numbers, are any two numbers closer to each other than\n    given threshold.\n    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)\n    False\n    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)\n    True\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: has_close_elements\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""    numbers_sorted = sorted(numbers)\\n    for i in range(len(numbers_sorted) - 1):\\n        if numbers_sorted[i+1] - numbers_sorted[i] < threshold:\\n            return True\\n    return False\""\n}""
  }
]","{
    ""code"": ""    numbers_sorted = sorted(numbers)\n    for i in range(len(numbers_sorted) - 1):\n        if numbers_sorted[i+1] - numbers_sorted[i] < threshold:\n            return True\n    return False""
}",HumanEval/0,has_close_elements,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",DeepSeek-V3.1
"def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    current = []
    count = 0
    for char in paren_string:
        if char == ' ':
            continue
        if char == '(':
            count += 1
            current.append(char)
        elif char == ')':
            count -= 1
            current.append(char)
            if count == 0:
                result.append(''.join(current))
                current = []
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef separate_paren_groups(paren_string: str) -> List[str]:\n    \""\""\"" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to\n    separate those group into separate strings and return the list of those.\n    Separate groups are balanced (each open brace is properly closed) and not nested within each other\n    Ignore any spaces in the input string.\n    >>> separate_paren_groups('( ) (( )) (( )( ))')\n    ['()', '(())', '(()())']\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: separate_paren_groups\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n  \""code\"": \""def separate_paren_groups(paren_string: str) -> List[str]:\\n    result = []\\n    current = []\\n    count = 0\\n    for char in paren_string:\\n        if char == ' ':\\n            continue\\n        if char == '(':\\n            count += 1\\n            current.append(char)\\n        elif char == ')':\\n            count -= 1\\n            current.append(char)\\n            if count == 0:\\n                result.append(''.join(current))\\n                current = []\\n    return result\""\n}""
  }
]","{
  ""code"": ""def separate_paren_groups(paren_string: str) -> List[str]:\n    result = []\n    current = []\n    count = 0\n    for char in paren_string:\n        if char == ' ':\n            continue\n        if char == '(':\n            count += 1\n            current.append(char)\n        elif char == ')':\n            count -= 1\n            current.append(char)\n            if count == 0:\n                result.append(''.join(current))\n                current = []\n    return result""
}",HumanEval/1,separate_paren_groups,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",DeepSeek-V3.1
"def truncate_number(number: float) -> float:
    return number - int(number)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n\n\ndef truncate_number(number: float) -> float:\n    \""\""\"" Given a positive floating point number, it can be decomposed into\n    and integer part (largest integer smaller than given number) and decimals\n    (leftover part always smaller than 1).\n\n    Return the decimal part of the number.\n    >>> truncate_number(3.5)\n    0.5\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: truncate_number\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n  \""code\"": \""def truncate_number(number: float) -> float:\\n    return number - int(number)\""\n}""
  }
]","{
  ""code"": ""def truncate_number(number: float) -> float:\n    return number - int(number)""
}",HumanEval/2,truncate_number,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",DeepSeek-V3.1
"balance = 0
for op in operations:
    balance += op
    if balance < 0:
        return True
return False","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef below_zero(operations: List[int]) -> bool:\n    \""\""\"" You're given a list of deposit and withdrawal operations on a bank account that starts with\n    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and\n    at that point function should return True. Otherwise it should return False.\n    >>> below_zero([1, 2, 3])\n    False\n    >>> below_zero([1, 2, -4, 5])\n    True\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: below_zero\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""balance = 0\\nfor op in operations:\\n    balance += op\\n    if balance < 0:\\n        return True\\nreturn False\""\n}""
  }
]","{
    ""code"": ""balance = 0\nfor op in operations:\n    balance += op\n    if balance < 0:\n        return True\nreturn False""
}",HumanEval/3,below_zero,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",DeepSeek-V3.1
"    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef mean_absolute_deviation(numbers: List[float]) -> float:\n    \""\""\"" For a given list of input numbers, calculate Mean Absolute Deviation\n    around the mean of this dataset.\n    Mean Absolute Deviation is the average absolute difference between each\n    element and a centerpoint (mean in this case):\n    MAD = average | x - x_mean |\n    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])\n    1.0\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: mean_absolute_deviation\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n  \""code\"": \""    mean = sum(numbers) / len(numbers)\\n    return sum(abs(x - mean) for x in numbers) / len(numbers)\""\n}""
  }
]","{
  ""code"": ""    mean = sum(numbers) / len(numbers)\n    return sum(abs(x - mean) for x in numbers) / len(numbers)""
}",HumanEval/4,mean_absolute_deviation,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",DeepSeek-V3.1
"if not numbers:
        return []
    result = []
    for num in numbers[:-1]:
        result.append(num)
        result.append(delimeter)
    result.append(numbers[-1])
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef intersperse(numbers: List[int], delimeter: int) -> List[int]:\n    \""\""\"" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'\n    >>> intersperse([], 4)\n    []\n    >>> intersperse([1, 2, 3], 4)\n    [1, 4, 2, 4, 3]\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: intersperse\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""if not numbers:\\n        return []\\n    result = []\\n    for num in numbers[:-1]:\\n        result.append(num)\\n        result.append(delimeter)\\n    result.append(numbers[-1])\\n    return result\""\n}""
  }
]","{
    ""code"": ""if not numbers:\n        return []\n    result = []\n    for num in numbers[:-1]:\n        result.append(num)\n        result.append(delimeter)\n    result.append(numbers[-1])\n    return result""
}",HumanEval/5,intersperse,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",DeepSeek-V3.1
"def parse_nested_parens(paren_string: str) -> List[int]:
    result = []
    groups = paren_string.split()
    for group in groups:
        max_depth = 0
        current_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
                if current_depth > max_depth:
                    max_depth = current_depth
            elif char == ')':
                current_depth -= 1
        result.append(max_depth)
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef parse_nested_parens(paren_string: str) -> List[int]:\n    \""\""\"" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.\n    For each of the group, output the deepest level of nesting of parentheses.\n    E.g. (()()) has maximum two levels of nesting while ((())) has three.\n\n    >>> parse_nested_parens('(()()) ((())) () ((())()())')\n    [2, 3, 1, 3]\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: parse_nested_parens\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""def parse_nested_parens(paren_string: str) -> List[int]:\\n    result = []\\n    groups = paren_string.split()\\n    for group in groups:\\n        max_depth = 0\\n        current_depth = 0\\n        for char in group:\\n            if char == '(':\\n                current_depth += 1\\n                if current_depth > max_depth:\\n                    max_depth = current_depth\\n            elif char == ')':\\n                current_depth -= 1\\n        result.append(max_depth)\\n    return result\""\n}""
  }
]","{
    ""code"": ""def parse_nested_parens(paren_string: str) -> List[int]:\n    result = []\n    groups = paren_string.split()\n    for group in groups:\n        max_depth = 0\n        current_depth = 0\n        for char in group:\n            if char == '(':\n                current_depth += 1\n                if current_depth > max_depth:\n                    max_depth = current_depth\n            elif char == ')':\n                current_depth -= 1\n        result.append(max_depth)\n    return result""
}",HumanEval/6,parse_nested_parens,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",DeepSeek-V3.1
return [s for s in strings if substring in s],"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List\n\n\ndef filter_by_substring(strings: List[str], substring: str) -> List[str]:\n    \""\""\"" Filter an input list of strings only for ones that contain given substring\n    >>> filter_by_substring([], 'a')\n    []\n    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')\n    ['abc', 'bacd', 'array']\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: filter_by_substring\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""return [s for s in strings if substring in s]\""\n}""
  }
]","{
    ""code"": ""return [s for s in strings if substring in s]""
}",HumanEval/7,filter_by_substring,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",DeepSeek-V3.1
"from functools import reduce
from operator import mul

def sum_product(numbers):
    if not numbers:
        return (0, 1)
    total = sum(numbers)
    product = reduce(mul, numbers, 1)
    return (total, product)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List, Tuple\n\n\ndef sum_product(numbers: List[int]) -> Tuple[int, int]:\n    \""\""\"" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.\n    Empty sum should be equal to 0 and empty product should be equal to 1.\n    >>> sum_product([])\n    (0, 1)\n    >>> sum_product([1, 2, 3, 4])\n    (10, 24)\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: sum_product\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""from functools import reduce\\nfrom operator import mul\\n\\ndef sum_product(numbers):\\n    if not numbers:\\n        return (0, 1)\\n    total = sum(numbers)\\n    product = reduce(mul, numbers, 1)\\n    return (total, product)\""\n}""
  }
]","{
    ""code"": ""from functools import reduce\nfrom operator import mul\n\ndef sum_product(numbers):\n    if not numbers:\n        return (0, 1)\n    total = sum(numbers)\n    product = reduce(mul, numbers, 1)\n    return (total, product)""
}",HumanEval/8,sum_product,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",DeepSeek-V3.1
"if not numbers:
        return []
    result = []
    current_max = numbers[0]
    for num in numbers:
        current_max = max(current_max, num)
        result.append(current_max)
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\nfrom typing import List, Tuple\n\n\ndef rolling_max(numbers: List[int]) -> List[int]:\n    \""\""\"" From a given list of integers, generate a list of rolling maximum element found until given moment\n    in the sequence.\n    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])\n    [1, 2, 3, 3, 3, 4, 4]\n    \""\""\""\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. The entry point function name is: rolling_max\n3. Write clean, efficient, and well-structured code\n4. Include necessary imports if needed\n5. Ensure the implementation handles edge cases mentioned in the docstring\n6. Do NOT include the function signature again, only provide the implementation body\n7. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""if not numbers:\\n        return []\\n    result = []\\n    current_max = numbers[0]\\n    for num in numbers:\\n        current_max = max(current_max, num)\\n        result.append(current_max)\\n    return result\""\n}""
  }
]","{
    ""code"": ""if not numbers:\n        return []\n    result = []\n    current_max = numbers[0]\n    for num in numbers:\n        current_max = max(current_max, num)\n        result.append(current_max)\n    return result""
}",HumanEval/9,rolling_max,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",DeepSeek-V3.1
