code,cprompt,crawresp,task_id,prompt,model
"is_not_prime <- function(n) {
  if (n < 2) return(TRUE)
  if (n == 2) return(FALSE)
  if (n %% 2 == 0) return(TRUE)
  
  for (i in seq(3, sqrt(n), by = 2)) {
    if (n %% i == 0) return(TRUE)
  }
  
  return(FALSE)
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a rthon function to identify non-prime numbers.\nis_not_prime <- function(n) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""is_not_prime <- function(n) {\\n  if (n < 2) return(TRUE)\\n  if (n == 2) return(FALSE)\\n  if (n %% 2 == 0) return(TRUE)\\n  \\n  for (i in seq(3, sqrt(n), by = 2)) {\\n    if (n %% i == 0) return(TRUE)\\n  }\\n  \\n  return(FALSE)\\n}\""\n}""
  }
]","{
    ""code"": ""is_not_prime <- function(n) {\n  if (n < 2) return(TRUE)\n  if (n == 2) return(FALSE)\n  if (n %% 2 == 0) return(TRUE)\n  \n  for (i in seq(3, sqrt(n), by = 2)) {\n    if (n %% i == 0) return(TRUE)\n  }\n  \n  return(FALSE)\n}""
}",mbpp_3_is_not_prime,"# Write a rthon function to identify non-prime numbers.
is_not_prime <- function(n) {",DeepSeek-V3.1
"heap_queue_largest <- function(nums, n) {
  if (n <= 0) return(numeric(0))
  if (n >= length(nums)) return(sort(nums, decreasing = TRUE))
  
  heap <- nums[1:n]
  heap <- sort(heap)
  
  for (i in (n+1):length(nums)) {
    if (nums[i] > heap[1]) {
      heap[1] <- nums[i]
      heap <- sort(heap)
    }
  }
  
  return(sort(heap, decreasing = TRUE))
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a function to find the n largest integers from a given list of numbers, returned in descending order.\nheap_queue_largest <- function(nums, n) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""heap_queue_largest <- function(nums, n) {\\n  if (n <= 0) return(numeric(0))\\n  if (n >= length(nums)) return(sort(nums, decreasing = TRUE))\\n  \\n  heap <- nums[1:n]\\n  heap <- sort(heap)\\n  \\n  for (i in (n+1):length(nums)) {\\n    if (nums[i] > heap[1]) {\\n      heap[1] <- nums[i]\\n      heap <- sort(heap)\\n    }\\n  }\\n  \\n  return(sort(heap, decreasing = TRUE))\\n}\""\n}""
  }
]","{
    ""code"": ""heap_queue_largest <- function(nums, n) {\n  if (n <= 0) return(numeric(0))\n  if (n >= length(nums)) return(sort(nums, decreasing = TRUE))\n  \n  heap <- nums[1:n]\n  heap <- sort(heap)\n  \n  for (i in (n+1):length(nums)) {\n    if (nums[i] > heap[1]) {\n      heap[1] <- nums[i]\n      heap <- sort(heap)\n    }\n  }\n  \n  return(sort(heap, decreasing = TRUE))\n}""
}",mbpp_4_heap_queue_largest,"# Write a function to find the n largest integers from a given list of numbers, returned in descending order.
heap_queue_largest <- function(nums, n) {",DeepSeek-V3.1
"differ_At_One_Bit_Pos <- function(a, b) {
    xor_val <- bitwXor(a, b)
    if (xor_val == 0) {
        return(FALSE)
    }
    return((bitwAnd(xor_val, xor_val - 1)) == 0)
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a rthon function to check whether the two numbers differ at one bit position only or not.\ndiffer_At_One_Bit_Pos <- function(a, b) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""differ_At_One_Bit_Pos <- function(a, b) {\\n    xor_val <- bitwXor(a, b)\\n    if (xor_val == 0) {\\n        return(FALSE)\\n    }\\n    return((bitwAnd(xor_val, xor_val - 1)) == 0)\\n}\""\n}""
  }
]","{
    ""code"": ""differ_At_One_Bit_Pos <- function(a, b) {\n    xor_val <- bitwXor(a, b)\n    if (xor_val == 0) {\n        return(FALSE)\n    }\n    return((bitwAnd(xor_val, xor_val - 1)) == 0)\n}""
}",mbpp_6_differ_At_One_Bit_Pos,"# Write a rthon function to check whether the two numbers differ at one bit position only or not.
differ_At_One_Bit_Pos <- function(a, b) {",DeepSeek-V3.1
"square_nums <- function(nums) {
  if (!is.list(nums)) {
    stop(""Input must be a list"")
  }
  
  if (length(nums) == 0) {
    return(list())
  }
  
  result <- lapply(nums, function(x) {
    if (is.numeric(x)) {
      return(x^2)
    } else {
      warning(""Non-numeric element found and skipped"")
      return(NA)
    }
  })
  
  return(result)
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a function to find squares of individual elements in a list.\nsquare_nums <- function(nums) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""square_nums <- function(nums) {\\n  if (!is.list(nums)) {\\n    stop(\\\""Input must be a list\\\"")\\n  }\\n  \\n  if (length(nums) == 0) {\\n    return(list())\\n  }\\n  \\n  result <- lapply(nums, function(x) {\\n    if (is.numeric(x)) {\\n      return(x^2)\\n    } else {\\n      warning(\\\""Non-numeric element found and skipped\\\"")\\n      return(NA)\\n    }\\n  })\\n  \\n  return(result)\\n}\""\n}""
  }
]","{
    ""code"": ""square_nums <- function(nums) {\n  if (!is.list(nums)) {\n    stop(\""Input must be a list\"")\n  }\n  \n  if (length(nums) == 0) {\n    return(list())\n  }\n  \n  result <- lapply(nums, function(x) {\n    if (is.numeric(x)) {\n      return(x^2)\n    } else {\n      warning(\""Non-numeric element found and skipped\"")\n      return(NA)\n    }\n  })\n  \n  return(result)\n}""
}",mbpp_8_square_nums,"# Write a function to find squares of individual elements in a list.
square_nums <- function(nums) {",DeepSeek-V3.1
"find_Rotations <- function(str) {
  n <- nchar(str)
  if (n == 0) return(0)
  concat <- paste0(str, str)
  for (i in 1:n) {
    if (substr(concat, i, i + n - 1) == str) {
      return(i)
    }
  }
  return(n)
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a rthon function to find the minimum number of rotations (greater than 0) required to get the same string.\nfind_Rotations <- function(str) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""find_Rotations <- function(str) {\\n  n <- nchar(str)\\n  if (n == 0) return(0)\\n  concat <- paste0(str, str)\\n  for (i in 1:n) {\\n    if (substr(concat, i, i + n - 1) == str) {\\n      return(i)\\n    }\\n  }\\n  return(n)\\n}\""\n}""
  }
]","{
    ""code"": ""find_Rotations <- function(str) {\n  n <- nchar(str)\n  if (n == 0) return(0)\n  concat <- paste0(str, str)\n  for (i in 1:n) {\n    if (substr(concat, i, i + n - 1) == str) {\n      return(i)\n    }\n  }\n  return(n)\n}""
}",mbpp_9_find_Rotations,"# Write a rthon function to find the minimum number of rotations (greater than 0) required to get the same string.
find_Rotations <- function(str) {",DeepSeek-V3.1
"remove_Occ <- function(s, ch) {
  if (nchar(s) == 0 || nchar(ch) != 1) return(s)
  first <- regexpr(ch, s, fixed = TRUE)
  if (first == -1) return(s)
  last <- max(gregexpr(ch, s, fixed = TRUE)[[1]])
  if (first == last) {
    return(paste0(substr(s, 1, first-1), substr(s, first+1, nchar(s))))
  }
  s <- paste0(substr(s, 1, first-1), substr(s, first+1, nchar(s)))
  last_adj <- max(gregexpr(ch, s, fixed = TRUE)[[1]])
  return(paste0(substr(s, 1, last_adj-1), substr(s, last_adj+1, nchar(s))))
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a rthon function to remove first and last occurrence of a given character from the string.\nremove_Occ <- function(s, ch) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""remove_Occ <- function(s, ch) {\\n  if (nchar(s) == 0 || nchar(ch) != 1) return(s)\\n  first <- regexpr(ch, s, fixed = TRUE)\\n  if (first == -1) return(s)\\n  last <- max(gregexpr(ch, s, fixed = TRUE)[[1]])\\n  if (first == last) {\\n    return(paste0(substr(s, 1, first-1), substr(s, first+1, nchar(s))))\\n  }\\n  s <- paste0(substr(s, 1, first-1), substr(s, first+1, nchar(s)))\\n  last_adj <- max(gregexpr(ch, s, fixed = TRUE)[[1]])\\n  return(paste0(substr(s, 1, last_adj-1), substr(s, last_adj+1, nchar(s))))\\n}\""\n}""
  }
]","{
    ""code"": ""remove_Occ <- function(s, ch) {\n  if (nchar(s) == 0 || nchar(ch) != 1) return(s)\n  first <- regexpr(ch, s, fixed = TRUE)\n  if (first == -1) return(s)\n  last <- max(gregexpr(ch, s, fixed = TRUE)[[1]])\n  if (first == last) {\n    return(paste0(substr(s, 1, first-1), substr(s, first+1, nchar(s))))\n  }\n  s <- paste0(substr(s, 1, first-1), substr(s, first+1, nchar(s)))\n  last_adj <- max(gregexpr(ch, s, fixed = TRUE)[[1]])\n  return(paste0(substr(s, 1, last_adj-1), substr(s, last_adj+1, nchar(s))))\n}""
}",mbpp_11_remove_Occ,"# Write a rthon function to remove first and last occurrence of a given character from the string.
remove_Occ <- function(s, ch) {",DeepSeek-V3.1
"sort_matrix <- function(M) {
  if (nrow(M) == 0) {
    return(M)
  }
  row_sums <- apply(M, 1, sum)
  M[order(row_sums), , drop = FALSE]
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a function to sort a given matrix in ascending order according to the sum of its rows.\nsort_matrix <- function(M) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""sort_matrix <- function(M) {\\n  if (nrow(M) == 0) {\\n    return(M)\\n  }\\n  row_sums <- apply(M, 1, sum)\\n  M[order(row_sums), , drop = FALSE]\\n}\""\n}""
  }
]","{
    ""code"": ""sort_matrix <- function(M) {\n  if (nrow(M) == 0) {\n    return(M)\n  }\n  row_sums <- apply(M, 1, sum)\n  M[order(row_sums), , drop = FALSE]\n}""
}",mbpp_12_sort_matrix,"# Write a function to sort a given matrix in ascending order according to the sum of its rows.
sort_matrix <- function(M) {",DeepSeek-V3.1
"find_Volume <- function(l, b, h) {
    if (any(c(l, b, h) <= 0)) {
        stop(""All dimensions must be positive numbers"")
    }
    return(0.5 * l * b * h)
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a rthon function to find the volume of a triangular prism.\nfind_Volume <- function(l, b, h) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""find_Volume <- function(l, b, h) {\\n    if (any(c(l, b, h) <= 0)) {\\n        stop(\\\""All dimensions must be positive numbers\\\"")\\n    }\\n    return(0.5 * l * b * h)\\n}\""\n}""
  }
]","{
    ""code"": ""find_Volume <- function(l, b, h) {\n    if (any(c(l, b, h) <= 0)) {\n        stop(\""All dimensions must be positive numbers\"")\n    }\n    return(0.5 * l * b * h)\n}""
}",mbpp_14_find_Volume,"# Write a rthon function to find the volume of a triangular prism.
find_Volume <- function(l, b, h) {",DeepSeek-V3.1
"text_lowercase_underscore <- function(text) {
  if (!is.character(text) || length(text) != 1 || is.na(text)) {
    return(FALSE)
  }
  if (nchar(text) == 0) {
    return(FALSE)
  }
  return(grepl(""^[a-z]+(_[a-z]+)*$"", text))
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\ntext_lowercase_underscore <- function(text) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""text_lowercase_underscore <- function(text) {\\n  if (!is.character(text) || length(text) != 1 || is.na(text)) {\\n    return(FALSE)\\n  }\\n  if (nchar(text) == 0) {\\n    return(FALSE)\\n  }\\n  return(grepl(\\\""^[a-z]+(_[a-z]+)*$\\\"", text))\\n}\""\n}""
  }
]","{
    ""code"": ""text_lowercase_underscore <- function(text) {\n  if (!is.character(text) || length(text) != 1 || is.na(text)) {\n    return(FALSE)\n  }\n  if (nchar(text) == 0) {\n    return(FALSE)\n  }\n  return(grepl(\""^[a-z]+(_[a-z]+)*$\"", text))\n}""
}",mbpp_16_text_lowercase_underscore,"# Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
text_lowercase_underscore <- function(text) {",DeepSeek-V3.1
"square_perimeter <- function(a) {
  if (!is.numeric(a) || length(a) != 1 || a <= 0 || is.na(a)) {
    stop(""Input must be a single positive numeric value"")
  }
  return(4 * a)
}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert R programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n# Write a function that returns the perimeter of a square given its side length as input.\nsquare_perimeter <- function(a) {\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""square_perimeter <- function(a) {\\n  if (!is.numeric(a) || length(a) != 1 || a <= 0 || is.na(a)) {\\n    stop(\\\""Input must be a single positive numeric value\\\"")\\n  }\\n  return(4 * a)\\n}\""}""
  }
]","{""code"": ""square_perimeter <- function(a) {\n  if (!is.numeric(a) || length(a) != 1 || a <= 0 || is.na(a)) {\n    stop(\""Input must be a single positive numeric value\"")\n  }\n  return(4 * a)\n}""}",mbpp_17_square_perimeter,"# Write a function that returns the perimeter of a square given its side length as input.
square_perimeter <- function(a) {",DeepSeek-V3.1
