code,cprompt,crawresp,task_id,entry_point,prompt,model
"# Python program to check if there are two numbers in a list that are closer than a given threshold
from typing import List
import math
def has_close_elements(numbers: List[float], threshold: float) -> bool:
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import Listdef has_close_elements(numbers: List[float], threshold: float) -> bool:    \""\""\"" Check if in given list of numbers, are any two numbers closer to each other than    given threshold.    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)    False    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)    True    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: has_close_elements3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""# Python program to check if there are two numbers in a list that are closer than a given threshold\\nfrom typing import List\\nimport math\\ndef has_close_elements(numbers: List[float], threshold: float) -> bool:\\n    for i in range(len(numbers)):\\n        for j in range(i + 1, len(numbers)):\\n            if abs(numbers[i] - numbers[j]) < threshold:\\n                return True\\n    return False\""}""
  }
]","{
    ""code"": ""# Python program to check if there are two numbers in a list that are closer than a given threshold\nfrom typing import List\nimport math\ndef has_close_elements(numbers: List[float], threshold: float) -> bool:\n    for i in range(len(numbers)):\n        for j in range(i + 1, len(numbers)):\n            if abs(numbers[i] - numbers[j]) < threshold:\n                return True\n    return False""
}",HumanEval/0,has_close_elements,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
",deepseek-coder:6.7b
"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace(' ', '')
    stack = []
    result = []
    current = ''
    for char in paren_string:
        if char == '(':
            if current != '':
                stack.append(current)
                current = ''","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import Listdef separate_paren_groups(paren_string: str) -> List[str]:    \""\""\"" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to    separate those group into separate strings and return the list of those.    Separate groups are balanced (each open brace is properly closed) and not nested within each other    Ignore any spaces in the input string.    >>> separate_paren_groups('( ) (( )) (( )( ))')    ['()', '(())', '(()())']    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: separate_paren_groups3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""from typing import List\\n\\ndef separate_paren_groups(paren_string: str) -> List[str]:\\n    paren_string = paren_string.replace(' ', '')\\n    stack = []\\n    result = []\\n    current = ''\\n    for char in paren_string:\\n        if char == '(':\\n            if current != '':\\n                stack.append(current)\\n                current = ''\""}""
  }
]","{
    ""code"": ""from typing import List\n\ndef separate_paren_groups(paren_string: str) -> List[str]:\n    paren_string = paren_string.replace(' ', '')\n    stack = []\n    result = []\n    current = ''\n    for char in paren_string:\n        if char == '(':\n            if current != '':\n                stack.append(current)\n                current = ''""
}",HumanEval/1,separate_paren_groups,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
",deepseek-coder:6.7b
"def truncate_number(number):
    return number - int(number)","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:def truncate_number(number: float) -> float:    \""\""\"" Given a positive floating point number, it can be decomposed into    and integer part (largest integer smaller than given number) and decimals    (leftover part always smaller than 1).    Return the decimal part of the number.    >>> truncate_number(3.5)    0.5    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: truncate_number3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def truncate_number(number):\\n    return number - int(number)\""}""
  }
]","{
    ""code"": ""def truncate_number(number):\n    return number - int(number)""
}",HumanEval/2,truncate_number,"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
",deepseek-coder:6.7b
"
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import Listdef below_zero(operations: List[int]) -> bool:    \""\""\"" You're given a list of deposit and withdrawal operations on a bank account that starts with    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and    at that point function should return True. Otherwise it should return False.    >>> below_zero([1, 2, 3])    False    >>> below_zero([1, 2, -4, 5])    True    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: below_zero3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""\\nfrom typing import List\\n\\ndef below_zero(operations: List[int]) -> bool:\\n    balance = 0\\n    for operation in operations:\\n        balance += operation\\n        if balance < 0:\\n            return True\\n    return False\""}""
  }
]","{
    ""code"": ""\nfrom typing import List\n\ndef below_zero(operations: List[int]) -> bool:\n    balance = 0\n    for operation in operations:\n        balance += operation\n        if balance < 0:\n            return True\n    return False""
}",HumanEval/3,below_zero,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
",deepseek-coder:6.7b
"from typing import List
import statistics as st
def mean_absolute_deviation(numbers: List[float]) -> float:
    return st.mean([abs(x - st.mean(numbers)) for x in numbers])
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import Listdef mean_absolute_deviation(numbers: List[float]) -> float:    \""\""\"" For a given list of input numbers, calculate Mean Absolute Deviation    around the mean of this dataset.    Mean Absolute Deviation is the average absolute difference between each    element and a centerpoint (mean in this case):    MAD = average | x - x_mean |    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])    1.0    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: mean_absolute_deviation3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""from typing import List\\nimport statistics as st\\ndef mean_absolute_deviation(numbers: List[float]) -> float:\\n    return st.mean([abs(x - st.mean(numbers)) for x in numbers])\\n\""}""
  }
]","{
    ""code"": ""from typing import List\nimport statistics as st\ndef mean_absolute_deviation(numbers: List[float]) -> float:\n    return st.mean([abs(x - st.mean(numbers)) for x in numbers])\n""
}",HumanEval/4,mean_absolute_deviation,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
",deepseek-coder:6.7b
"def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if len(numbers) == 0:
        return []
    result = [numbers[0]]
    for num in numbers[1:]:
        result.extend([delimeter, num])
    return result[1:]","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import Listdef intersperse(numbers: List[int], delimeter: int) -> List[int]:    \""\""\"" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'    >>> intersperse([], 4)    []    >>> intersperse([1, 2, 3], 4)    [1, 4, 2, 4, 3]    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: intersperse3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def intersperse(numbers: List[int], delimeter: int) -> List[int]:\\n    if len(numbers) == 0:\\n        return []\\n    result = [numbers[0]]\\n    for num in numbers[1:]:\\n        result.extend([delimeter, num])\\n    return result[1:]\""}""
  }
]","{
    ""code"": ""def intersperse(numbers: List[int], delimeter: int) -> List[int]:\n    if len(numbers) == 0:\n        return []\n    result = [numbers[0]]\n    for num in numbers[1:]:\n        result.extend([delimeter, num])\n    return result[1:]""
}",HumanEval/5,intersperse,"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
",deepseek-coder:6.7b
"# Python program to solve the problem
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    stack = []
    maxes = []

    current = 0
    for character in paren_string:
        if character == '(':
            stack.append(character)
            if len(stack) > current:  # New deepest level of nesting found!
                current = len(stack)
        elif character == ')':
            stack.pop()
            if not stack:  # End of a group, record the depth.
                maxes.append(current)
                current = 0
    return maxes","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import Listdef parse_nested_parens(paren_string: str) -> List[int]:    \""\""\"" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.    For each of the group, output the deepest level of nesting of parentheses.    E.g. (()()) has maximum two levels of nesting while ((())) has three.    >>> parse_nested_parens('(()()) ((())) () ((())()())')    [2, 3, 1, 3]    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: parse_nested_parens3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""# Python program to solve the problem\\nfrom typing import List\\n\\ndef parse_nested_parens(paren_string: str) -> List[int]:\\n    stack = []\\n    maxes = []\\n\\n    current = 0\\n    for character in paren_string:\\n        if character == '(':\\n            stack.append(character)\\n            if len(stack) > current:  # New deepest level of nesting found!\\n                current = len(stack)\\n        elif character == ')':\\n            stack.pop()\\n            if not stack:  # End of a group, record the depth.\\n                maxes.append(current)\\n                current = 0\\n    return maxes\""}""
  }
]","{
    ""code"": ""# Python program to solve the problem\nfrom typing import List\n\ndef parse_nested_parens(paren_string: str) -> List[int]:\n    stack = []\n    maxes = []\n\n    current = 0\n    for character in paren_string:\n        if character == '(':\n            stack.append(character)\n            if len(stack) > current:  # New deepest level of nesting found!\n                current = len(stack)\n        elif character == ')':\n            stack.pop()\n            if not stack:  # End of a group, record the depth.\n                maxes.append(current)\n                current = 0\n    return maxes""
}",HumanEval/6,parse_nested_parens,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
",deepseek-coder:6.7b
"def filter_by_substring(strings: List[str], substring: str) -> List[str]:
     return [s for s in strings if substring in s]","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import Listdef filter_by_substring(strings: List[str], substring: str) -> List[str]:    \""\""\"" Filter an input list of strings only for ones that contain given substring    >>> filter_by_substring([], 'a')    []    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')    ['abc', 'bacd', 'array']    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: filter_by_substring3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def filter_by_substring(strings: List[str], substring: str) -> List[str]:\\n     return [s for s in strings if substring in s]\""}""
  }
]","{
    ""code"": ""def filter_by_substring(strings: List[str], substring: str) -> List[str]:\n     return [s for s in strings if substring in s]""
}",HumanEval/7,filter_by_substring,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
",deepseek-coder:6.7b
"# Python program to sum and product of a list
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    if not numbers:
        return 0, 1
    else:
        total = sum(numbers)
        product = 1
        for num in numbers:
            product *= num
        return total, product","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import List, Tupledef sum_product(numbers: List[int]) -> Tuple[int, int]:    \""\""\"" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.    Empty sum should be equal to 0 and empty product should be equal to 1.    >>> sum_product([])    (0, 1)    >>> sum_product([1, 2, 3, 4])    (10, 24)    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: sum_product3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""# Python program to sum and product of a list\\nfrom typing import List, Tuple\\n\\ndef sum_product(numbers: List[int]) -> Tuple[int, int]:\\n    if not numbers:\\n        return 0, 1\\n    else:\\n        total = sum(numbers)\\n        product = 1\\n        for num in numbers:\\n            product *= num\\n        return total, product\""}""
  }
]","{
    ""code"": ""# Python program to sum and product of a list\nfrom typing import List, Tuple\n\ndef sum_product(numbers: List[int]) -> Tuple[int, int]:\n    if not numbers:\n        return 0, 1\n    else:\n        total = sum(numbers)\n        product = 1\n        for num in numbers:\n            product *= num\n        return total, product""
}",HumanEval/8,sum_product,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
",deepseek-coder:6.7b
"#!/usr/bin/env python
from typing import List
def rolling_max(numbers: List[int]) -> List[int]:
    max_val = numbers[0]
    return [max_val := max(x, max_val) for x in numbers]","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to complete a function based on the following specification.Function signature and docstring:from typing import List, Tupledef rolling_max(numbers: List[int]) -> List[int]:    \""\""\"" From a given list of integers, generate a list of rolling maximum element found until given moment    in the sequence.    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])    [1, 2, 3, 3, 3, 4, 4]    \""\""\""Requirements:1. Complete the function implementation that satisfies the docstring requirements2. The entry point function name is: rolling_max3. Write clean, efficient, and well-structured code4. Include necessary imports if needed5. Ensure the implementation handles edge cases mentioned in the docstring6. Do NOT include the function signature again, only provide the implementation body7. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""#!/usr/bin/env python\\nfrom typing import List\\ndef rolling_max(numbers: List[int]) -> List[int]:\\n    max_val = numbers[0]\\n    return [max_val := max(x, max_val) for x in numbers]\""}""
  }
]","{
    ""code"": ""#!/usr/bin/env python\nfrom typing import List\ndef rolling_max(numbers: List[int]) -> List[int]:\n    max_val = numbers[0]\n    return [max_val := max(x, max_val) for x in numbers]""
}",HumanEval/9,rolling_max,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
",deepseek-coder:6.7b
