RESULT,ERROR,PROMPT,RAW_RESULT,TASK,DOMAIN_NAME,MODEL,LANGUAGE
"context PumpController_ClosePump
inv: (self.PCPre.mode = State::On) implies (self.PCPost.mode = State::Off)",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum State{\nOn\nOff\n}\nenum ValveState{\nOpen\nClosed\n}\nenum Mode{\nInitialization\nRescue\nEmergencyStop\nNormal\nDameged\nDegraded\n}\nclass PumpController_OpenPump {\n\n}\nclass WaterLevelMeasurementDevice {\nwaterLevel : EDouble\n}\nclass SteamBoiler_OpenValve {\n\n}\nclass PumpControler {\n\n}\nclass Snapshot {\ngetNext()\n}\nclass Pump {\nmode : State\n}\nclass ControlProgram_Start {\n\n}\nclass SteamBoiler {\nvalveOpen : ValveState\n}\nclass Transition {\n\n}\nclass WaterLevelMeaurementDevice_getLevel {\nret : EDouble\n}\nclass ControlProgram {\nmode : Mode\nwlmdFailure : EBoolean\n}\nclass PumpController_ClosePump {\n\n}\nTransition <|-- PumpController_OpenPump\nPumpController_OpenPump  --> \""PCPre 0..1\"" PumpControler\nPumpController_OpenPump  --> \""PCPost 0..1\"" PumpControler\nTransition <|-- SteamBoiler_OpenValve\nSteamBoiler_OpenValve  --> \""SBPre 0..1\"" SteamBoiler\nSteamBoiler_OpenValve  --> \""SBPost 0..1\"" SteamBoiler\nPumpControler  --> \""PumpControlerPump 1..1\"" Pump\nSnapshot  --> \""ControlProgramSnapshot 1..1\"" ControlProgram\nSnapshot  --> \""AfterTrans 1..1\"" Transition\nTransition <|-- ControlProgram_Start\nControlProgram_Start  --> \""CPPost 0..1\"" ControlProgram\nSteamBoiler  --> \""SteamBoilerControlProgram 1..1\"" ControlProgram\nTransition  --> \""AfterTrans 1..1\"" Snapshot\nTransition <|-- WaterLevelMeaurementDevice_getLevel\nWaterLevelMeaurementDevice_getLevel  --> \""wlmdPost 0..1\"" WaterLevelMeasurementDevice\nControlProgram  --> \""SnapshotControlProgram 1..1\"" Snapshot\nTransition <|-- PumpController_ClosePump\nPumpController_ClosePump  --> \""PCPre 0..1\"" PumpControler\nPumpController_ClosePump  --> \""PCPost 0..1\"" PumpControler\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nIf the pump controller's pump mode was 'On' before initiating a 'ClosePump' operation, then the pump mode must be 'Off' after the operation is completed.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context PumpController_ClosePump\\ninv: (self.PCPre.mode = State::On) implies (self.PCPost.mode = State::Off)\""}""
  }
]","{""code"":""context PumpController_ClosePump\ninv: (self.PCPre.mode = State::On) implies (self.PCPost.mode = State::Off)""}",0,sbcstp1,gpt-4o-mini,OCL
"context ControlProgram
inv: wlmdFailure implies (Snapshot.getNext().mode = Mode::Rescue)",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum State{\nOn\nOff\n}\nenum ValveState{\nOpen\nClosed\n}\nenum Mode{\nInitialization\nRescue\nEmergencyStop\nNormal\nDameged\nDegraded\n}\nclass PumpController_OpenPump {\n\n}\nclass WaterLevelMeasurementDevice {\nwaterLevel : EDouble\n}\nclass SteamBoiler_OpenValve {\n\n}\nclass PumpControler {\n\n}\nclass Snapshot {\ngetNext()\n}\nclass Pump {\nmode : State\n}\nclass ControlProgram_Start {\n\n}\nclass SteamBoiler {\nvalveOpen : ValveState\n}\nclass Transition {\n\n}\nclass WaterLevelMeaurementDevice_getLevel {\nret : EDouble\n}\nclass ControlProgram {\nmode : Mode\nwlmdFailure : EBoolean\n}\nclass PumpController_ClosePump {\n\n}\nTransition <|-- PumpController_OpenPump\nPumpController_OpenPump  --> \""PCPre 0..1\"" PumpControler\nPumpController_OpenPump  --> \""PCPost 0..1\"" PumpControler\nTransition <|-- SteamBoiler_OpenValve\nSteamBoiler_OpenValve  --> \""SBPre 0..1\"" SteamBoiler\nSteamBoiler_OpenValve  --> \""SBPost 0..1\"" SteamBoiler\nPumpControler  --> \""PumpControlerPump 1..1\"" Pump\nSnapshot  --> \""ControlProgramSnapshot 1..1\"" ControlProgram\nSnapshot  --> \""AfterTrans 1..1\"" Transition\nTransition <|-- ControlProgram_Start\nControlProgram_Start  --> \""CPPost 0..1\"" ControlProgram\nSteamBoiler  --> \""SteamBoilerControlProgram 1..1\"" ControlProgram\nTransition  --> \""AfterTrans 1..1\"" Snapshot\nTransition <|-- WaterLevelMeaurementDevice_getLevel\nWaterLevelMeaurementDevice_getLevel  --> \""wlmdPost 0..1\"" WaterLevelMeasurementDevice\nControlProgram  --> \""SnapshotControlProgram 1..1\"" Snapshot\nTransition <|-- PumpController_ClosePump\nPumpController_ClosePump  --> \""PCPre 0..1\"" PumpControler\nPumpController_ClosePump  --> \""PCPost 0..1\"" PumpControler\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nIn the context of a Control Program, if a 'wlmdFailure' occurs, the mode of the next snapshot of the control program must be set to 'Rescue'.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context ControlProgram\\ninv: wlmdFailure implies (Snapshot.getNext().mode = Mode::Rescue)\""}""
  }
]","{""code"":""context ControlProgram\ninv: wlmdFailure implies (Snapshot.getNext().mode = Mode::Rescue)""}",1,sbcstp1,gpt-4o-mini,OCL
"context SteamBoiler
inv: (self.valveOpen = ValveState.Closed implies self.valveOpen->previous() = ValveState.Open)",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum State{\nOn\nOff\n}\nenum ValveState{\nOpen\nClosed\n}\nenum Mode{\nInitialization\nRescue\nEmergencyStop\nNormal\nDameged\nDegraded\n}\nclass PumpController_OpenPump {\n\n}\nclass WaterLevelMeasurementDevice {\nwaterLevel : EDouble\n}\nclass SteamBoiler_OpenValve {\n\n}\nclass PumpControler {\n\n}\nclass Snapshot {\ngetNext()\n}\nclass Pump {\nmode : State\n}\nclass ControlProgram_Start {\n\n}\nclass SteamBoiler {\nvalveOpen : ValveState\n}\nclass Transition {\n\n}\nclass WaterLevelMeaurementDevice_getLevel {\nret : EDouble\n}\nclass ControlProgram {\nmode : Mode\nwlmdFailure : EBoolean\n}\nclass PumpController_ClosePump {\n\n}\nTransition <|-- PumpController_OpenPump\nPumpController_OpenPump  --> \""PCPre 0..1\"" PumpControler\nPumpController_OpenPump  --> \""PCPost 0..1\"" PumpControler\nTransition <|-- SteamBoiler_OpenValve\nSteamBoiler_OpenValve  --> \""SBPre 0..1\"" SteamBoiler\nSteamBoiler_OpenValve  --> \""SBPost 0..1\"" SteamBoiler\nPumpControler  --> \""PumpControlerPump 1..1\"" Pump\nSnapshot  --> \""ControlProgramSnapshot 1..1\"" ControlProgram\nSnapshot  --> \""AfterTrans 1..1\"" Transition\nTransition <|-- ControlProgram_Start\nControlProgram_Start  --> \""CPPost 0..1\"" ControlProgram\nSteamBoiler  --> \""SteamBoilerControlProgram 1..1\"" ControlProgram\nTransition  --> \""AfterTrans 1..1\"" Snapshot\nTransition <|-- WaterLevelMeaurementDevice_getLevel\nWaterLevelMeaurementDevice_getLevel  --> \""wlmdPost 0..1\"" WaterLevelMeasurementDevice\nControlProgram  --> \""SnapshotControlProgram 1..1\"" Snapshot\nTransition <|-- PumpController_ClosePump\nPumpController_ClosePump  --> \""PCPre 0..1\"" PumpControler\nPumpController_ClosePump  --> \""PCPost 0..1\"" PumpControler\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nIf the valve was closed in the previous state, it must be open in the subsequent state of the steam boiler.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context SteamBoiler\\ninv: (self.valveOpen = ValveState.Closed implies self.valveOpen->previous() = ValveState.Open)\""}""
  }
]","{""code"":""context SteamBoiler\ninv: (self.valveOpen = ValveState.Closed implies self.valveOpen->previous() = ValveState.Open)""}",2,sbcstp1,gpt-4o-mini,OCL
context ControlProgram inv: mode = Mode::Normal if self.isStarted(),,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum State{\nOn\nOff\n}\nenum ValveState{\nOpen\nClosed\n}\nenum Mode{\nInitialization\nRescue\nEmergencyStop\nNormal\nDameged\nDegraded\n}\nclass PumpController_OpenPump {\n\n}\nclass WaterLevelMeasurementDevice {\nwaterLevel : EDouble\n}\nclass SteamBoiler_OpenValve {\n\n}\nclass PumpControler {\n\n}\nclass Snapshot {\ngetNext()\n}\nclass Pump {\nmode : State\n}\nclass ControlProgram_Start {\n\n}\nclass SteamBoiler {\nvalveOpen : ValveState\n}\nclass Transition {\n\n}\nclass WaterLevelMeaurementDevice_getLevel {\nret : EDouble\n}\nclass ControlProgram {\nmode : Mode\nwlmdFailure : EBoolean\n}\nclass PumpController_ClosePump {\n\n}\nTransition <|-- PumpController_OpenPump\nPumpController_OpenPump  --> \""PCPre 0..1\"" PumpControler\nPumpController_OpenPump  --> \""PCPost 0..1\"" PumpControler\nTransition <|-- SteamBoiler_OpenValve\nSteamBoiler_OpenValve  --> \""SBPre 0..1\"" SteamBoiler\nSteamBoiler_OpenValve  --> \""SBPost 0..1\"" SteamBoiler\nPumpControler  --> \""PumpControlerPump 1..1\"" Pump\nSnapshot  --> \""ControlProgramSnapshot 1..1\"" ControlProgram\nSnapshot  --> \""AfterTrans 1..1\"" Transition\nTransition <|-- ControlProgram_Start\nControlProgram_Start  --> \""CPPost 0..1\"" ControlProgram\nSteamBoiler  --> \""SteamBoilerControlProgram 1..1\"" ControlProgram\nTransition  --> \""AfterTrans 1..1\"" Snapshot\nTransition <|-- WaterLevelMeaurementDevice_getLevel\nWaterLevelMeaurementDevice_getLevel  --> \""wlmdPost 0..1\"" WaterLevelMeasurementDevice\nControlProgram  --> \""SnapshotControlProgram 1..1\"" Snapshot\nTransition <|-- PumpController_ClosePump\nPumpController_ClosePump  --> \""PCPre 0..1\"" PumpControler\nPumpController_ClosePump  --> \""PCPost 0..1\"" PumpControler\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nThe mode of the control program must be set to Normal when started.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context ControlProgram inv: mode = Mode::Normal if self.isStarted()\""}""
  }
]","{""code"":""context ControlProgram inv: mode = Mode::Normal if self.isStarted()""}",3,sbcstp1,gpt-4o-mini,OCL
"context WaterLevelMeaurementDevice_getLevel
inv: self.ret = self.wlmdPost.waterLevel",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum State{\nOn\nOff\n}\nenum ValveState{\nOpen\nClosed\n}\nenum Mode{\nInitialization\nRescue\nEmergencyStop\nNormal\nDameged\nDegraded\n}\nclass PumpController_OpenPump {\n\n}\nclass WaterLevelMeasurementDevice {\nwaterLevel : EDouble\n}\nclass SteamBoiler_OpenValve {\n\n}\nclass PumpControler {\n\n}\nclass Snapshot {\ngetNext()\n}\nclass Pump {\nmode : State\n}\nclass ControlProgram_Start {\n\n}\nclass SteamBoiler {\nvalveOpen : ValveState\n}\nclass Transition {\n\n}\nclass WaterLevelMeaurementDevice_getLevel {\nret : EDouble\n}\nclass ControlProgram {\nmode : Mode\nwlmdFailure : EBoolean\n}\nclass PumpController_ClosePump {\n\n}\nTransition <|-- PumpController_OpenPump\nPumpController_OpenPump  --> \""PCPre 0..1\"" PumpControler\nPumpController_OpenPump  --> \""PCPost 0..1\"" PumpControler\nTransition <|-- SteamBoiler_OpenValve\nSteamBoiler_OpenValve  --> \""SBPre 0..1\"" SteamBoiler\nSteamBoiler_OpenValve  --> \""SBPost 0..1\"" SteamBoiler\nPumpControler  --> \""PumpControlerPump 1..1\"" Pump\nSnapshot  --> \""ControlProgramSnapshot 1..1\"" ControlProgram\nSnapshot  --> \""AfterTrans 1..1\"" Transition\nTransition <|-- ControlProgram_Start\nControlProgram_Start  --> \""CPPost 0..1\"" ControlProgram\nSteamBoiler  --> \""SteamBoilerControlProgram 1..1\"" ControlProgram\nTransition  --> \""AfterTrans 1..1\"" Snapshot\nTransition <|-- WaterLevelMeaurementDevice_getLevel\nWaterLevelMeaurementDevice_getLevel  --> \""wlmdPost 0..1\"" WaterLevelMeasurementDevice\nControlProgram  --> \""SnapshotControlProgram 1..1\"" Snapshot\nTransition <|-- PumpController_ClosePump\nPumpController_ClosePump  --> \""PCPre 0..1\"" PumpControler\nPumpController_ClosePump  --> \""PCPost 0..1\"" PumpControler\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nThe water level returned by the WaterLevelMeasurementDevice_getLevel function should be equal to the water level of the device after the function is called.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context WaterLevelMeaurementDevice_getLevel\\ninv: self.ret = self.wlmdPost.waterLevel\""}""
  }
]","{""code"":""context WaterLevelMeaurementDevice_getLevel\ninv: self.ret = self.wlmdPost.waterLevel""}",4,sbcstp1,gpt-4o-mini,OCL
"context SteamBoiler
inv: if valveOpen = ValveState::Open then
        controlProgram.mode = Mode::Initialization
    endif",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum State{\nOn\nOff\n}\nenum ValveState{\nOpen\nClosed\n}\nenum Mode{\nInitialization\nRescue\nEmergencyStop\nNormal\nDameged\nDegraded\n}\nclass PumpController_OpenPump {\n\n}\nclass WaterLevelMeasurementDevice {\nwaterLevel : EDouble\n}\nclass SteamBoiler_OpenValve {\n\n}\nclass PumpControler {\n\n}\nclass Snapshot {\ngetNext()\n}\nclass Pump {\nmode : State\n}\nclass ControlProgram_Start {\n\n}\nclass SteamBoiler {\nvalveOpen : ValveState\n}\nclass Transition {\n\n}\nclass WaterLevelMeaurementDevice_getLevel {\nret : EDouble\n}\nclass ControlProgram {\nmode : Mode\nwlmdFailure : EBoolean\n}\nclass PumpController_ClosePump {\n\n}\nTransition <|-- PumpController_OpenPump\nPumpController_OpenPump  --> \""PCPre 0..1\"" PumpControler\nPumpController_OpenPump  --> \""PCPost 0..1\"" PumpControler\nTransition <|-- SteamBoiler_OpenValve\nSteamBoiler_OpenValve  --> \""SBPre 0..1\"" SteamBoiler\nSteamBoiler_OpenValve  --> \""SBPost 0..1\"" SteamBoiler\nPumpControler  --> \""PumpControlerPump 1..1\"" Pump\nSnapshot  --> \""ControlProgramSnapshot 1..1\"" ControlProgram\nSnapshot  --> \""AfterTrans 1..1\"" Transition\nTransition <|-- ControlProgram_Start\nControlProgram_Start  --> \""CPPost 0..1\"" ControlProgram\nSteamBoiler  --> \""SteamBoilerControlProgram 1..1\"" ControlProgram\nTransition  --> \""AfterTrans 1..1\"" Snapshot\nTransition <|-- WaterLevelMeaurementDevice_getLevel\nWaterLevelMeaurementDevice_getLevel  --> \""wlmdPost 0..1\"" WaterLevelMeasurementDevice\nControlProgram  --> \""SnapshotControlProgram 1..1\"" Snapshot\nTransition <|-- PumpController_ClosePump\nPumpController_ClosePump  --> \""PCPre 0..1\"" PumpControler\nPumpController_ClosePump  --> \""PCPost 0..1\"" PumpControler\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nIf the valve of the steam boiler is open, then the steam boiler control program must be in the initialization mode.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context SteamBoiler\\ninv: if valveOpen = ValveState::Open then\\n        controlProgram.mode = Mode::Initialization\\n    endif\""}""
  }
]","{""code"":""context SteamBoiler\ninv: if valveOpen = ValveState::Open then\n        controlProgram.mode = Mode::Initialization\n    endif""}",5,sbcstp1,gpt-4o-mini,OCL
"context PumpController
inv: self.PumpControlerPump.mode = State::Off implies self.PumpControlerPump.mode = State::On after PumpController_OpenPump",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\nenum State{\nOn\nOff\n}\nenum ValveState{\nOpen\nClosed\n}\nenum Mode{\nInitialization\nRescue\nEmergencyStop\nNormal\nDameged\nDegraded\n}\nclass PumpController_OpenPump {\n\n}\nclass WaterLevelMeasurementDevice {\nwaterLevel : EDouble\n}\nclass SteamBoiler_OpenValve {\n\n}\nclass PumpControler {\n\n}\nclass Snapshot {\ngetNext()\n}\nclass Pump {\nmode : State\n}\nclass ControlProgram_Start {\n\n}\nclass SteamBoiler {\nvalveOpen : ValveState\n}\nclass Transition {\n\n}\nclass WaterLevelMeaurementDevice_getLevel {\nret : EDouble\n}\nclass ControlProgram {\nmode : Mode\nwlmdFailure : EBoolean\n}\nclass PumpController_ClosePump {\n\n}\nTransition <|-- PumpController_OpenPump\nPumpController_OpenPump  --> \""PCPre 0..1\"" PumpControler\nPumpController_OpenPump  --> \""PCPost 0..1\"" PumpControler\nTransition <|-- SteamBoiler_OpenValve\nSteamBoiler_OpenValve  --> \""SBPre 0..1\"" SteamBoiler\nSteamBoiler_OpenValve  --> \""SBPost 0..1\"" SteamBoiler\nPumpControler  --> \""PumpControlerPump 1..1\"" Pump\nSnapshot  --> \""ControlProgramSnapshot 1..1\"" ControlProgram\nSnapshot  --> \""AfterTrans 1..1\"" Transition\nTransition <|-- ControlProgram_Start\nControlProgram_Start  --> \""CPPost 0..1\"" ControlProgram\nSteamBoiler  --> \""SteamBoilerControlProgram 1..1\"" ControlProgram\nTransition  --> \""AfterTrans 1..1\"" Snapshot\nTransition <|-- WaterLevelMeaurementDevice_getLevel\nWaterLevelMeaurementDevice_getLevel  --> \""wlmdPost 0..1\"" WaterLevelMeasurementDevice\nControlProgram  --> \""SnapshotControlProgram 1..1\"" Snapshot\nTransition <|-- PumpController_ClosePump\nPumpController_ClosePump  --> \""PCPre 0..1\"" PumpControler\nPumpController_ClosePump  --> \""PCPost 0..1\"" PumpControler\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nIf the PumpController's pump is initially in the 'Off' state, it must be in the 'On' state after opening the pump.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context PumpController\\ninv: self.PumpControlerPump.mode = State::Off implies self.PumpControlerPump.mode = State::On after PumpController_OpenPump\""}""
  }
]","{""code"":""context PumpController\ninv: self.PumpControlerPump.mode = State::Off implies self.PumpControlerPump.mode = State::On after PumpController_OpenPump""}",6,sbcstp1,gpt-4o-mini,OCL
context Road inv: length > 1,,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\nenum cards{\nsmall\nmedium\nbig\n}\nclass map {\nname : String\nisCity : Boolean\ncountry : String\nsize : cards\n}\nclass Road {\nname : String\nlength : Int\ndistrict : String\n}\nclass PublicSpace {\nname : String\n}\nclass Street {\n\n}\nclass Boulevard {\n\n}\nclass Pedestrian {\n\n}\nclass Garden {\n\n}\nclass Square {\n\n}\nmap  *--> \""roads 0..*\"" Road\nmap  *--> \""spaces 0..*\"" PublicSpace\nRoad \""borderedBy 1..*\"" -- \""border 0..*\"" PublicSpace\nRoad  --> \""meet 0..*\"" Road\nRoad <|-- Street\nRoad <|-- Boulevard\nRoad <|-- Pedestrian\nPublicSpace <|-- Garden\nPublicSpace <|-- Square\n\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nThe length of the road should be greater than 1.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context Road inv: length > 1\""}""
  }
]","{""code"":""context Road inv: length > 1""}",0,maps,gpt-4o-mini,OCL
context map inv: self.roads->isUnique(r | r.name),,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\nenum cards{\nsmall\nmedium\nbig\n}\nclass map {\nname : String\nisCity : Boolean\ncountry : String\nsize : cards\n}\nclass Road {\nname : String\nlength : Int\ndistrict : String\n}\nclass PublicSpace {\nname : String\n}\nclass Street {\n\n}\nclass Boulevard {\n\n}\nclass Pedestrian {\n\n}\nclass Garden {\n\n}\nclass Square {\n\n}\nmap  *--> \""roads 0..*\"" Road\nmap  *--> \""spaces 0..*\"" PublicSpace\nRoad \""borderedBy 1..*\"" -- \""border 0..*\"" PublicSpace\nRoad  --> \""meet 0..*\"" Road\nRoad <|-- Street\nRoad <|-- Boulevard\nRoad <|-- Pedestrian\nPublicSpace <|-- Garden\nPublicSpace <|-- Square\n\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nAll roads on a map must have unique names.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context map inv: self.roads->isUnique(r | r.name)\""}""
  }
]","{""code"":""context map inv: self.roads->isUnique(r | r.name)""}",1,maps,gpt-4o-mini,OCL
"context map
inv UniqueSpaceNames:
    let spaceNames: Set(String) = spaces->collect(s | s.name) in
    spaceNames->size() = spaces->size()",,"[
  {
    ""role"": ""user"",
    ""content"": ""Below is the domain model described in PlantUML::\n@startuml\n\nenum cards{\nsmall\nmedium\nbig\n}\nclass map {\nname : String\nisCity : Boolean\ncountry : String\nsize : cards\n}\nclass Road {\nname : String\nlength : Int\ndistrict : String\n}\nclass PublicSpace {\nname : String\n}\nclass Street {\n\n}\nclass Boulevard {\n\n}\nclass Pedestrian {\n\n}\nclass Garden {\n\n}\nclass Square {\n\n}\nmap  *--> \""roads 0..*\"" Road\nmap  *--> \""spaces 0..*\"" PublicSpace\nRoad \""borderedBy 1..*\"" -- \""border 0..*\"" PublicSpace\nRoad  --> \""meet 0..*\"" Road\nRoad <|-- Street\nRoad <|-- Boulevard\nRoad <|-- Pedestrian\nPublicSpace <|-- Garden\nPublicSpace <|-- Square\n\n@enduml""
  },
  {
    ""role"": ""user"",
    ""content"": ""Code this constraint in OCL:\nAll spaces within a map should have unique names.\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""context map\\ninv UniqueSpaceNames:\\n    let spaceNames: Set(String) = spaces->collect(s | s.name) in\\n    spaceNames->size() = spaces->size()\""}""
  }
]","{""code"":""context map\ninv UniqueSpaceNames:\n    let spaceNames: Set(String) = spaces->collect(s | s.name) in\n    spaceNames->size() = spaces->size()""}",2,maps,gpt-4o-mini,OCL
