code,cprompt,crawresp,task_id,prompt,model
"local function is_not_prime(n)
    if n <= 1 then
        return true
    end
    for i = 2, math.sqrt(n) do
        if n % i == 0 then
            return true
        end
    end
    return false
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to identify non-prime numbers.\nlocal function is_not_prime(n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function is_not_prime(n)\\n    if n <= 1 then\\n        return true\\n    end\\n    for i = 2, math.sqrt(n) do\\n        if n % i == 0 then\\n            return true\\n        end\\n    end\\n    return false\\nend\""}""
  }
]","{""code"": ""local function is_not_prime(n)\n    if n <= 1 then\n        return true\n    end\n    for i = 2, math.sqrt(n) do\n        if n % i == 0 then\n            return true\n        end\n    end\n    return false\nend""}",mbpp_3_is_not_prime,"-- Write a luathon function to identify non-prime numbers.
local function is_not_prime(n)
",Llama-3.3-70B-Instruct
"local function heap_queue_largest(nums, n)
    local function heapify(arr, n, i)
        local largest = i
        local left = 2 * i + 1
        local right = 2 * i + 2
        if left <= n and arr[left] > arr[largest] then
            largest = left
        end
        if right <= n and arr[right] > arr[largest] then
            largest = right
        end
        if largest ~= i then
            arr[i], arr[largest] = arr[largest], arr[i]
            heapify(arr, n, largest)
        end
    end
    
    local function build_heap(arr)
        local n = #arr
        for i = n / 2 - 1, 1, -1 do
            heapify(arr, n, i)
        end
    end
    
    local function heap_extract(arr)
        local n = #arr
        local max = arr[1]
        arr[1] = arr[n]
        table.remove(arr)
        heapify(arr, #arr, 1)
        return max
    end
    
    build_heap(nums)
    local result = {}
    for i = 1, n do
        table.insert(result, heap_extract(nums))
    end
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.\nlocal function heap_queue_largest(nums, n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function heap_queue_largest(nums, n)\\n    local function heapify(arr, n, i)\\n        local largest = i\\n        local left = 2 * i + 1\\n        local right = 2 * i + 2\\n        if left <= n and arr[left] > arr[largest] then\\n            largest = left\\n        end\\n        if right <= n and arr[right] > arr[largest] then\\n            largest = right\\n        end\\n        if largest ~= i then\\n            arr[i], arr[largest] = arr[largest], arr[i]\\n            heapify(arr, n, largest)\\n        end\\n    end\\n    \\n    local function build_heap(arr)\\n        local n = #arr\\n        for i = n / 2 - 1, 1, -1 do\\n            heapify(arr, n, i)\\n        end\\n    end\\n    \\n    local function heap_extract(arr)\\n        local n = #arr\\n        local max = arr[1]\\n        arr[1] = arr[n]\\n        table.remove(arr)\\n        heapify(arr, #arr, 1)\\n        return max\\n    end\\n    \\n    build_heap(nums)\\n    local result = {}\\n    for i = 1, n do\\n        table.insert(result, heap_extract(nums))\\n    end\\n    return result\\nend\""\n}""
  }
]","{
    ""code"": ""local function heap_queue_largest(nums, n)\n    local function heapify(arr, n, i)\n        local largest = i\n        local left = 2 * i + 1\n        local right = 2 * i + 2\n        if left <= n and arr[left] > arr[largest] then\n            largest = left\n        end\n        if right <= n and arr[right] > arr[largest] then\n            largest = right\n        end\n        if largest ~= i then\n            arr[i], arr[largest] = arr[largest], arr[i]\n            heapify(arr, n, largest)\n        end\n    end\n    \n    local function build_heap(arr)\n        local n = #arr\n        for i = n / 2 - 1, 1, -1 do\n            heapify(arr, n, i)\n        end\n    end\n    \n    local function heap_extract(arr)\n        local n = #arr\n        local max = arr[1]\n        arr[1] = arr[n]\n        table.remove(arr)\n        heapify(arr, #arr, 1)\n        return max\n    end\n    \n    build_heap(nums)\n    local result = {}\n    for i = 1, n do\n        table.insert(result, heap_extract(nums))\n    end\n    return result\nend""
}",mbpp_4_heap_queue_largest,"-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.
local function heap_queue_largest(nums, n)
",Llama-3.3-70B-Instruct
"local function differ_At_One_Bit_Pos(a, b)
    local xor = a ~ b
    local count = 0
    while xor > 0 do
        count = count + (xor % 2)
        xor = math.floor(xor / 2)
    end
    return count == 1
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to check whether the two numbers differ at one bit position only or not.\nlocal function differ_At_One_Bit_Pos(a, b)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function differ_At_One_Bit_Pos(a, b)\\n    local xor = a ~ b\\n    local count = 0\\n    while xor > 0 do\\n        count = count + (xor % 2)\\n        xor = math.floor(xor / 2)\\n    end\\n    return count == 1\\nend\""}""
  }
]","{""code"": ""local function differ_At_One_Bit_Pos(a, b)\n    local xor = a ~ b\n    local count = 0\n    while xor > 0 do\n        count = count + (xor % 2)\n        xor = math.floor(xor / 2)\n    end\n    return count == 1\nend""}",mbpp_6_differ_At_One_Bit_Pos,"-- Write a luathon function to check whether the two numbers differ at one bit position only or not.
local function differ_At_One_Bit_Pos(a, b)
",Llama-3.3-70B-Instruct
"local function square_nums(nums)
    local result = {}
    for i, num in pairs(nums) do
        table.insert(result, num * num)
    end
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find squares of individual elements in a table.\nlocal function square_nums(nums)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function square_nums(nums)\\n    local result = {}\\n    for i, num in pairs(nums) do\\n        table.insert(result, num * num)\\n    end\\n    return result\\nend\""\n}""
  }
]","{
    ""code"": ""local function square_nums(nums)\n    local result = {}\n    for i, num in pairs(nums) do\n        table.insert(result, num * num)\n    end\n    return result\nend""
}",mbpp_8_square_nums,"-- Write a function to find squares of individual elements in a table.
local function square_nums(nums)
",Llama-3.3-70B-Instruct
"local function find_Rotations(str) 
 local len = #str 
 for i = 1, len - 1 do 
  local rotated_str = str:sub(i + 1):rep(1): .. str:sub(1, i) 
  if str == rotated_str then 
   return i 
  end 
 end 
 return len","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.\nlocal function find_Rotations(str)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function find_Rotations(str) \\n local len = #str \\n for i = 1, len - 1 do \\n  local rotated_str = str:sub(i + 1):rep(1): .. str:sub(1, i) \\n  if str == rotated_str then \\n   return i \\n  end \\n end \\n return len\""\n}""
  }
]","{
    ""code"": ""local function find_Rotations(str) \n local len = #str \n for i = 1, len - 1 do \n  local rotated_str = str:sub(i + 1):rep(1): .. str:sub(1, i) \n  if str == rotated_str then \n   return i \n  end \n end \n return len""
}",mbpp_9_find_Rotations,"-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.
local function find_Rotations(str)
",Llama-3.3-70B-Instruct
"local function remove_Occ(s, ch)
    local first_occ = s:find(ch)
    local last_occ = s:reverse():find(ch)
    if first_occ and last_occ then
        last_occ = #s - last_occ + 1
        if first_occ == last_occ then
            return s:sub(1, first_occ - 1) .. s:sub(first_occ + 1)
        else
            return s:sub(1, first_occ - 1) .. s:sub(first_occ + 1, last_occ - 1) .. s:sub(last_occ + 1)
        end
    else
        return s
    end
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to remove first and last occurrence of a given character from the string.\nlocal function remove_Occ(s, ch)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function remove_Occ(s, ch)\\n    local first_occ = s:find(ch)\\n    local last_occ = s:reverse():find(ch)\\n    if first_occ and last_occ then\\n        last_occ = #s - last_occ + 1\\n        if first_occ == last_occ then\\n            return s:sub(1, first_occ - 1) .. s:sub(first_occ + 1)\\n        else\\n            return s:sub(1, first_occ - 1) .. s:sub(first_occ + 1, last_occ - 1) .. s:sub(last_occ + 1)\\n        end\\n    else\\n        return s\\n    end\\nend\""}""
  }
]","{""code"": ""local function remove_Occ(s, ch)\n    local first_occ = s:find(ch)\n    local last_occ = s:reverse():find(ch)\n    if first_occ and last_occ then\n        last_occ = #s - last_occ + 1\n        if first_occ == last_occ then\n            return s:sub(1, first_occ - 1) .. s:sub(first_occ + 1)\n        else\n            return s:sub(1, first_occ - 1) .. s:sub(first_occ + 1, last_occ - 1) .. s:sub(last_occ + 1)\n        end\n    else\n        return s\n    end\nend""}",mbpp_11_remove_Occ,"-- Write a luathon function to remove first and last occurrence of a given character from the string.
local function remove_Occ(s, ch)
",Llama-3.3-70B-Instruct
"local function sort_matrix(M)
    local rows = {}
    for i, row in ipairs(M) do
        local sum = 0
        for _, num in ipairs(row) do
            sum = sum + num
        end
        table.insert(rows, {sum = sum, index = i, row = row})
    end
    table.sort(rows, function(a, b) return a.sum < b.sum end)
    local sorted_matrix = {}
    for _, row in ipairs(rows) do
        table.insert(sorted_matrix, row.row)
    end
    return sorted_matrix
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to sort a given matrix in ascending order according to the sum of its rows.\nlocal function sort_matrix(M)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function sort_matrix(M)\\n    local rows = {}\\n    for i, row in ipairs(M) do\\n        local sum = 0\\n        for _, num in ipairs(row) do\\n            sum = sum + num\\n        end\\n        table.insert(rows, {sum = sum, index = i, row = row})\\n    end\\n    table.sort(rows, function(a, b) return a.sum < b.sum end)\\n    local sorted_matrix = {}\\n    for _, row in ipairs(rows) do\\n        table.insert(sorted_matrix, row.row)\\n    end\\n    return sorted_matrix\\nend\""\n}""
  }
]","{
    ""code"": ""local function sort_matrix(M)\n    local rows = {}\n    for i, row in ipairs(M) do\n        local sum = 0\n        for _, num in ipairs(row) do\n            sum = sum + num\n        end\n        table.insert(rows, {sum = sum, index = i, row = row})\n    end\n    table.sort(rows, function(a, b) return a.sum < b.sum end)\n    local sorted_matrix = {}\n    for _, row in ipairs(rows) do\n        table.insert(sorted_matrix, row.row)\n    end\n    return sorted_matrix\nend""
}",mbpp_12_sort_matrix,"-- Write a function to sort a given matrix in ascending order according to the sum of its rows.
local function sort_matrix(M)
",Llama-3.3-70B-Instruct
"local function find_Volume(l, b, h) 
  if l <= 0 or b <= 0 or h <= 0 then 
    error('Length, breadth, and height must be positive numbers.') 
  end 
  local area = 0.5 * l * b 
  local volume = area * h 
  return volume 
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the volume of a triangular prism.\nlocal function find_Volume(l, b, h)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function find_Volume(l, b, h) \\n  if l <= 0 or b <= 0 or h <= 0 then \\n    error('Length, breadth, and height must be positive numbers.') \\n  end \\n  local area = 0.5 * l * b \\n  local volume = area * h \\n  return volume \\nend\""\n}""
  }
]","{
    ""code"": ""local function find_Volume(l, b, h) \n  if l <= 0 or b <= 0 or h <= 0 then \n    error('Length, breadth, and height must be positive numbers.') \n  end \n  local area = 0.5 * l * b \n  local volume = area * h \n  return volume \nend""
}",mbpp_14_find_Volume,"-- Write a luathon function to find the volume of a triangular prism.
local function find_Volume(l, b, h)
",Llama-3.3-70B-Instruct
"local function text_lowercase_underscore(text)
    return text:match('^([a-z]+_)*[a-z]+$') ~= nil
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\nlocal function text_lowercase_underscore(text)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function text_lowercase_underscore(text)\\n    return text:match('^([a-z]+_)*[a-z]+$') ~= nil\\nend\""}""
  }
]","{""code"": ""local function text_lowercase_underscore(text)\n    return text:match('^([a-z]+_)*[a-z]+$') ~= nil\nend""}",mbpp_16_text_lowercase_underscore,"-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
local function text_lowercase_underscore(text)
",Llama-3.3-70B-Instruct
local function square_perimeter(a) return 4 * a end,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function that returns the perimeter of a square given its side length as input.\nlocal function square_perimeter(a)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function square_perimeter(a) return 4 * a end\""\n}""
  }
]","{
    ""code"": ""local function square_perimeter(a) return 4 * a end""
}",mbpp_17_square_perimeter,"-- Write a function that returns the perimeter of a square given its side length as input.
local function square_perimeter(a)
",Llama-3.3-70B-Instruct
