code,cprompt,crawresp,task_id,prompt,model
"local function is_not_prime(n) if n < 2 then return true elseif n == 2 then return false elsefor i = 2, math.sqrt(n), 1 do if n % i == 0 then return true end end return false end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to identify non-prime numbers.local function is_not_prime(n)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function is_not_prime(n) if n < 2 then return true elseif n == 2 then return false elsefor i = 2, math.sqrt(n), 1 do if n % i == 0 then return true end end return false end\""}""
  }
]","{
    ""code"": ""local function is_not_prime(n) if n < 2 then return true elseif n == 2 then return false elsefor i = 2, math.sqrt(n), 1 do if n % i == 0 then return true end end return false end""
}",mbpp_3_is_not_prime,"-- Write a luathon function to identify non-prime numbers.
local function is_not_prime(n)
",deepseek-coder:6.7b
"local function heap_queue_largest(nums, n)
	if nums == nil then return {} end
	sort(nums, 'desc')
	return {table.unpack(nums, 1, math.min(#nums, n))}
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.local function heap_queue_largest(nums, n)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function heap_queue_largest(nums, n)\\n\\tif nums == nil then return {} end\\n\\tsort(nums, 'desc')\\n\\treturn {table.unpack(nums, 1, math.min(#nums, n))}\\nend\""}""
  }
]","{
    ""code"": ""local function heap_queue_largest(nums, n)\n\tif nums == nil then return {} end\n\tsort(nums, 'desc')\n\treturn {table.unpack(nums, 1, math.min(#nums, n))}\nend""
}",mbpp_4_heap_queue_largest,"-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.
local function heap_queue_largest(nums, n)
",deepseek-coder:6.7b
"local function differ_At_One_Bit_Pos(a, b) 
	 local count = 0 
	 for i=31,-1,-1 do 
		 if (((a >> i) bitand 1) ~= ((b >> i) bitand 1)) then 
			 count = count + 1 
		 end 
	 end 
	 return count == 1 
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to check whether the two numbers differ at one bit position only or not.local function differ_At_One_Bit_Pos(a, b)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function differ_At_One_Bit_Pos(a, b) \\n\\t local count = 0 \\n\\t for i=31,-1,-1 do \\n\\t\\t if (((a >> i) bitand 1) ~= ((b >> i) bitand 1)) then \\n\\t\\t\\t count = count + 1 \\n\\t\\t end \\n\\t end \\n\\t return count == 1 \\nend\""}""
  }
]","{
    ""code"": ""local function differ_At_One_Bit_Pos(a, b) \n\t local count = 0 \n\t for i=31,-1,-1 do \n\t\t if (((a >> i) bitand 1) ~= ((b >> i) bitand 1)) then \n\t\t\t count = count + 1 \n\t\t end \n\t end \n\t return count == 1 \nend""
}",mbpp_6_differ_At_One_Bit_Pos,"-- Write a luathon function to check whether the two numbers differ at one bit position only or not.
local function differ_At_One_Bit_Pos(a, b)
",deepseek-coder:6.7b
"local function square_nums(nums)
	for i = 1, #nums do
		nums[i] = nums[i] * nums[i]
	end
	return nums
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to find squares of individual elements in a table.local function square_nums(nums)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""local function square_nums(nums)\\n\\tfor i = 1, #nums do\\n\\t\\tnums[i] = nums[i] * nums[i]\\n\\tend\\n\\treturn nums\\nend\""}""
  }
]","{
  ""code"": ""local function square_nums(nums)\n\tfor i = 1, #nums do\n\t\tnums[i] = nums[i] * nums[i]\n\tend\n\treturn nums\nend""
}",mbpp_8_square_nums,"-- Write a function to find squares of individual elements in a table.
local function square_nums(nums)
",deepseek-coder:6.7b
"local function find_Rotations(str)
	if str == nil then return -1 end
	for i = 2, #str do
		if string.sub(str, 1, i-1) == string.sub(str, -i+2, -1) then
			return i-1
		end
	end
	return #str
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.local function find_Rotations(str)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function find_Rotations(str)\\n\\tif str == nil then return -1 end\\n\\tfor i = 2, #str do\\n\\t\\tif string.sub(str, 1, i-1) == string.sub(str, -i+2, -1) then\\n\\t\\t\\treturn i-1\\n\\t\\tend\\n\\tend\\n\\treturn #str\\nend\""}""
  }
]","{
    ""code"": ""local function find_Rotations(str)\n\tif str == nil then return -1 end\n\tfor i = 2, #str do\n\t\tif string.sub(str, 1, i-1) == string.sub(str, -i+2, -1) then\n\t\t\treturn i-1\n\t\tend\n\tend\n\treturn #str\nend""
}",mbpp_9_find_Rotations,"-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.
local function find_Rotations(str)
",deepseek-coder:6.7b
"local function remove_Occ(s, ch)
	if s and ch then
		return string.gsub(s, '^'..ch, ''):reverse():gsub('^'..ch, ''):reverse()
	end
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to remove first and last occurrence of a given character from the string.local function remove_Occ(s, ch)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function remove_Occ(s, ch)\\n\\tif s and ch then\\n\\t\\treturn string.gsub(s, '^'..ch, ''):reverse():gsub('^'..ch, ''):reverse()\\n\\tend\\nend\""}""
  }
]","{
    ""code"": ""local function remove_Occ(s, ch)\n\tif s and ch then\n\t\treturn string.gsub(s, '^'..ch, ''):reverse():gsub('^'..ch, ''):reverse()\n\tend\nend""
}",mbpp_11_remove_Occ,"-- Write a luathon function to remove first and last occurrence of a given character from the string.
local function remove_Occ(s, ch)
",deepseek-coder:6.7b
"local function sort_matrix(M)
	for i = 1, #M do
		M[i] = {sum=0, values=M[i]}
		for j = 1, #M[i] do
			M[i].sum = M[i].sum + M[i][j]
		end
	end
	table.sort(M, function(a, b) return a.sum < b.sum end)
	for i = 1, #M do
		M[i] = M[i].values
	end
	return M
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to sort a given matrix in ascending order according to the sum of its rows.local function sort_matrix(M)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function sort_matrix(M)\\n\\tfor i = 1, #M do\\n\\t\\tM[i] = {sum=0, values=M[i]}\\n\\t\\tfor j = 1, #M[i] do\\n\\t\\t\\tM[i].sum = M[i].sum + M[i][j]\\n\\t\\tend\\n\\tend\\n\\ttable.sort(M, function(a, b) return a.sum < b.sum end)\\n\\tfor i = 1, #M do\\n\\t\\tM[i] = M[i].values\\n\\tend\\n\\treturn M\\nend\""}""
  }
]","{
    ""code"": ""local function sort_matrix(M)\n\tfor i = 1, #M do\n\t\tM[i] = {sum=0, values=M[i]}\n\t\tfor j = 1, #M[i] do\n\t\t\tM[i].sum = M[i].sum + M[i][j]\n\t\tend\n\tend\n\ttable.sort(M, function(a, b) return a.sum < b.sum end)\n\tfor i = 1, #M do\n\t\tM[i] = M[i].values\n\tend\n\treturn M\nend""
}",mbpp_12_sort_matrix,"-- Write a function to sort a given matrix in ascending order according to the sum of its rows.
local function sort_matrix(M)
",deepseek-coder:6.7b
"local function find_Volume(l, b, h)
	if l > 0 and b > 0 and h > 0 then
		return (1/2) * l * b * h
	else
		return 'Invalid input. Dimensions must be positive'
	end
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a luathon function to find the volume of a triangular prism.local function find_Volume(l, b, h)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function find_Volume(l, b, h)\\n\\tif l > 0 and b > 0 and h > 0 then\\n\\t\\treturn (1/2) * l * b * h\\n\\telse\\n\\t\\treturn 'Invalid input. Dimensions must be positive'\\n\\tend\\nend\""}""
  }
]","{
    ""code"": ""local function find_Volume(l, b, h)\n\tif l > 0 and b > 0 and h > 0 then\n\t\treturn (1/2) * l * b * h\n\telse\n\t\treturn 'Invalid input. Dimensions must be positive'\n\tend\nend""
}",mbpp_14_find_Volume,"-- Write a luathon function to find the volume of a triangular prism.
local function find_Volume(l, b, h)
",deepseek-coder:6.7b
"local function text_lowercase_underscore(text) 
	for i = 1, #text do 
		if text:sub(i, i+1):find('%a+_%a+') then return true end 
	end 
	return false 
end","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.local function text_lowercase_underscore(text)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function text_lowercase_underscore(text) \\n\\tfor i = 1, #text do \\n\\t\\tif text:sub(i, i+1):find('%a+_%a+') then return true end \\n\\tend \\n\\treturn false \\nend\""}""
  }
]","{
    ""code"": ""local function text_lowercase_underscore(text) \n\tfor i = 1, #text do \n\t\tif text:sub(i, i+1):find('%a+_%a+') then return true end \n\tend \n\treturn false \nend""
}",mbpp_16_text_lowercase_underscore,"-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
local function text_lowercase_underscore(text)
",deepseek-coder:6.7b
local function square_perimeter(a) if a == nil then return nil else return 4 * a end,"[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Lua programmer. You need to complete a function based on the following specification.Function signature and docstring:-- Write a function that returns the perimeter of a square given its side length as input.local function square_perimeter(a)Requirements:1. Complete the function implementation that satisfies the docstring requirements2. Write clean, efficient, and well-structured code3. Ensure the implementation handles edge cases mentioned in the docstring4. Only provide the implementation body5. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.        Format the output as a JSON object with the following structure:        {            \""code\"": \""generated code for the constraint\""        }        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""local function square_perimeter(a) if a == nil then return nil else return 4 * a end\""}""
  }
]","{
    ""code"": ""local function square_perimeter(a) if a == nil then return nil else return 4 * a end""
}",mbpp_17_square_perimeter,"-- Write a function that returns the perimeter of a square given its side length as input.
local function square_perimeter(a)
",deepseek-coder:6.7b
