code,cprompt,crawresp,task_id,text,model
"def remove_first_last_occurrence(input_string, char_to_remove):
    if not isinstance(input_string, str) or not isinstance(char_to_remove, str): return None
    if len(char_to_remove) != 1: return None
    if input_string == '': return ''
    first_occurrence = input_string.find(char_to_remove)
    last_occurrence = input_string.rfind(char_to_remove)
    if first_occurrence == -1 or last_occurrence == -1: return input_string
    if first_occurrence == last_occurrence: return input_string[:first_occurrence] + input_string[first_occurrence+1:]
    return input_string[:first_occurrence] + input_string[last_occurrence+1:]","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to remove first and last occurrence of a given character from the string.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def remove_first_last_occurrence(input_string, char_to_remove):\\n    if not isinstance(input_string, str) or not isinstance(char_to_remove, str): return None\\n    if len(char_to_remove) != 1: return None\\n    if input_string == '': return ''\\n    first_occurrence = input_string.find(char_to_remove)\\n    last_occurrence = input_string.rfind(char_to_remove)\\n    if first_occurrence == -1 or last_occurrence == -1: return input_string\\n    if first_occurrence == last_occurrence: return input_string[:first_occurrence] + input_string[first_occurrence+1:]\\n    return input_string[:first_occurrence] + input_string[last_occurrence+1:]\""}""
  }
]","{
    ""code"": ""def remove_first_last_occurrence(input_string, char_to_remove):\n    if not isinstance(input_string, str) or not isinstance(char_to_remove, str): return None\n    if len(char_to_remove) != 1: return None\n    if input_string == '': return ''\n    first_occurrence = input_string.find(char_to_remove)\n    last_occurrence = input_string.rfind(char_to_remove)\n    if first_occurrence == -1 or last_occurrence == -1: return input_string\n    if first_occurrence == last_occurrence: return input_string[:first_occurrence] + input_string[first_occurrence+1:]\n    return input_string[:first_occurrence] + input_string[last_occurrence+1:]""
}",11,Write a python function to remove first and last occurrence of a given character from the string.,llama3.1:latest
"def sort_matrix_by_row_sum(matrix):
    # Check if matrix is empty
    if not matrix:
        return []

    # Calculate sum of each row and store it as a tuple with the original row
    rows_with_sums = [(row, sum(row)) for row in matrix]

    # Sort the list of tuples based on the sum of each row
    sorted_rows_with_sums = sorted(rows_with_sums, key=lambda x: x[1])

    # Return a list of sorted rows (without the sums)
    return [row for row, _ in sorted_rows_with_sums]","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to sort a given matrix in ascending order according to the sum of its rows.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def sort_matrix_by_row_sum(matrix):\\n    # Check if matrix is empty\\n    if not matrix:\\n        return []\\n\\n    # Calculate sum of each row and store it as a tuple with the original row\\n    rows_with_sums = [(row, sum(row)) for row in matrix]\\n\\n    # Sort the list of tuples based on the sum of each row\\n    sorted_rows_with_sums = sorted(rows_with_sums, key=lambda x: x[1])\\n\\n    # Return a list of sorted rows (without the sums)\\n    return [row for row, _ in sorted_rows_with_sums]\""}""
  }
]","{""code"": ""def sort_matrix_by_row_sum(matrix):\n    # Check if matrix is empty\n    if not matrix:\n        return []\n\n    # Calculate sum of each row and store it as a tuple with the original row\n    rows_with_sums = [(row, sum(row)) for row in matrix]\n\n    # Sort the list of tuples based on the sum of each row\n    sorted_rows_with_sums = sorted(rows_with_sums, key=lambda x: x[1])\n\n    # Return a list of sorted rows (without the sums)\n    return [row for row, _ in sorted_rows_with_sums]""}",12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,llama3.1:latest
"def triangular_prism_volume(base_length, base_width, height):    if not (isinstance(base_length, (int, float)) and isinstance(base_width, (int, float)) and isinstance(height, (int, float))):        raise TypeError('Base length, width, and height must be numeric')    if base_length <= 0 or base_width <= 0 or height <= 0:        raise ValueError('All dimensions must be positive')    return 0.5 * base_length * base_width * height","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to find the volume of a triangular prism.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def triangular_prism_volume(base_length, base_width, height):    if not (isinstance(base_length, (int, float)) and isinstance(base_width, (int, float)) and isinstance(height, (int, float))):        raise TypeError('Base length, width, and height must be numeric')    if base_length <= 0 or base_width <= 0 or height <= 0:        raise ValueError('All dimensions must be positive')    return 0.5 * base_length * base_width * height\""}""
  }
]","{""code"": ""def triangular_prism_volume(base_length, base_width, height):    if not (isinstance(base_length, (int, float)) and isinstance(base_width, (int, float)) and isinstance(height, (int, float))):        raise TypeError('Base length, width, and height must be numeric')    if base_length <= 0 or base_width <= 0 or height <= 0:        raise ValueError('All dimensions must be positive')    return 0.5 * base_length * base_width * height""}",14,Write a python function to find the volume of a triangular prism.,llama3.1:latest
"def has_lowercase_sequences(input_string): 
    import re
    pattern = r'[a-z]+_[a-z]+'
    return bool(re.search(pattern, input_string))","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def has_lowercase_sequences(input_string): \\n    import re\\n    pattern = r'[a-z]+_[a-z]+'\\n    return bool(re.search(pattern, input_string))\""}""
  }
]","{
    ""code"": ""def has_lowercase_sequences(input_string): \n    import re\n    pattern = r'[a-z]+_[a-z]+'\n    return bool(re.search(pattern, input_string))""
}",16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,llama3.1:latest
"def calculate_perimeter(side_length: float) -> float:
    if side_length <= 0:
        raise ValueError('Side length must be a positive number')
    return side_length * 4","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function that returns the perimeter of a square given its side length as input.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def calculate_perimeter(side_length: float) -> float:\\n    if side_length <= 0:\\n        raise ValueError('Side length must be a positive number')\\n    return side_length * 4\""}""
  }
]","{
    ""code"": ""def calculate_perimeter(side_length: float) -> float:\n    if side_length <= 0:\n        raise ValueError('Side length must be a positive number')\n    return side_length * 4""
}",17,Write a function that returns the perimeter of a square given its side length as input.,llama3.1:latest
"def remove_chars(s1: str, s2: str) -> str:
    return ''.join([c for c in s1 if c not in s2])","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to remove characters from the first string which are present in the second string.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def remove_chars(s1: str, s2: str) -> str:\\n    return ''.join([c for c in s1 if c not in s2])\""}""
  }
]","{
    ""code"": ""def remove_chars(s1: str, s2: str) -> str:\n    return ''.join([c for c in s1 if c not in s2])""
}",18,Write a function to remove characters from the first string which are present in the second string.,llama3.1:latest
"def contains_duplicate(nums):
    return len(nums) != len(set(nums))","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to find whether a given array of integers contains any duplicate element.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def contains_duplicate(nums):\\n    return len(nums) != len(set(nums))\""}""
  }
]","{""code"": ""def contains_duplicate(nums):\n    return len(nums) != len(set(nums))""}",19,Write a function to find whether a given array of integers contains any duplicate element.,llama3.1:latest
"def is_woodball(n: int) -> bool:
    return n % 3 == 0 and n % 5 != 0
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to check if the given number is woodball or not.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def is_woodball(n: int) -> bool:\\n    return n % 3 == 0 and n % 5 != 0\\n\""}""
  }
]","{""code"": ""def is_woodball(n: int) -> bool:\n    return n % 3 == 0 and n % 5 != 0\n""}",20,Write a function to check if the given number is woodball or not.,llama3.1:latest
"def is_one_less_than_twice_reverse(n: int) -> bool:
    if n < 0:
        return False
    reverse = 0
    original = n
    while n > 0:
        digit = n % 10
        reverse = (reverse * 10) + digit
        n //= 10
    return original - 1 == 2 * reverse","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to check if a given number is one less than twice its reverse.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def is_one_less_than_twice_reverse(n: int) -> bool:\\n    if n < 0:\\n        return False\\n    reverse = 0\\n    original = n\\n    while n > 0:\\n        digit = n % 10\\n        reverse = (reverse * 10) + digit\\n        n //= 10\\n    return original - 1 == 2 * reverse\""}""
  }
]","{""code"": ""def is_one_less_than_twice_reverse(n: int) -> bool:\n    if n < 0:\n        return False\n    reverse = 0\n    original = n\n    while n > 0:\n        digit = n % 10\n        reverse = (reverse * 10) + digit\n        n //= 10\n    return original - 1 == 2 * reverse""}",56,Write a python function to check if a given number is one less than twice its reverse.,llama3.1:latest
"def largest_number(digits):
    digits.sort(reverse=True)
    return ''.join(map(str, digits))","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to find the largest number that can be formed with the given list of digits.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def largest_number(digits):\\n    digits.sort(reverse=True)\\n    return ''.join(map(str, digits))\""}""
  }
]","{
    ""code"": ""def largest_number(digits):\n    digits.sort(reverse=True)\n    return ''.join(map(str, digits))""
}",57,Write a python function to find the largest number that can be formed with the given list of digits.,llama3.1:latest
