code,cprompt,crawresp,task_id,text,model
"def remove_first_last_occurrence(s, char):
    if not s or not char or len(char) != 1:
        return s
    first_index = s.find(char)
    if first_index == -1:
        return s
    last_index = s.rfind(char)
    if first_index == last_index:
        return s[:first_index] + s[first_index+1:]
    return s[:first_index] + s[first_index+1:last_index] + s[last_index+1:]","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to remove first and last occurrence of a given character from the string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def remove_first_last_occurrence(s, char):\\n    if not s or not char or len(char) != 1:\\n        return s\\n    first_index = s.find(char)\\n    if first_index == -1:\\n        return s\\n    last_index = s.rfind(char)\\n    if first_index == last_index:\\n        return s[:first_index] + s[first_index+1:]\\n    return s[:first_index] + s[first_index+1:last_index] + s[last_index+1:]\""}""
  }
]","{""code"": ""def remove_first_last_occurrence(s, char):\n    if not s or not char or len(char) != 1:\n        return s\n    first_index = s.find(char)\n    if first_index == -1:\n        return s\n    last_index = s.rfind(char)\n    if first_index == last_index:\n        return s[:first_index] + s[first_index+1:]\n    return s[:first_index] + s[first_index+1:last_index] + s[last_index+1:]""}",11,Write a python function to remove first and last occurrence of a given character from the string.,DeepSeek-V3.1
"def sort_matrix_by_row_sum(matrix):
    if not matrix or not matrix[0]:
        return []
    return sorted(matrix, key=sum)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to sort a given matrix in ascending order according to the sum of its rows.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def sort_matrix_by_row_sum(matrix):\\n    if not matrix or not matrix[0]:\\n        return []\\n    return sorted(matrix, key=sum)\""}""
  }
]","{""code"": ""def sort_matrix_by_row_sum(matrix):\n    if not matrix or not matrix[0]:\n        return []\n    return sorted(matrix, key=sum)""}",12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,DeepSeek-V3.1
"import math

def volume_of_triangular_prism(base_a, base_b, base_c, height):
    if not all(isinstance(x, (int, float)) for x in [base_a, base_b, base_c, height]):
        raise TypeError(""All inputs must be numbers"")
    if any(x <= 0 for x in [base_a, base_b, base_c, height]):
        raise ValueError(""All inputs must be positive"")
    s = (base_a + base_b + base_c) / 2
    area = math.sqrt(s * (s - base_a) * (s - base_b) * (s - base_c))
    if area <= 0:
        raise ValueError(""Invalid triangle sides: cannot form a triangle"")
    return area * height","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the volume of a triangular prism.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""import math\\n\\ndef volume_of_triangular_prism(base_a, base_b, base_c, height):\\n    if not all(isinstance(x, (int, float)) for x in [base_a, base_b, base_c, height]):\\n        raise TypeError(\\\""All inputs must be numbers\\\"")\\n    if any(x <= 0 for x in [base_a, base_b, base_c, height]):\\n        raise ValueError(\\\""All inputs must be positive\\\"")\\n    s = (base_a + base_b + base_c) / 2\\n    area = math.sqrt(s * (s - base_a) * (s - base_b) * (s - base_c))\\n    if area <= 0:\\n        raise ValueError(\\\""Invalid triangle sides: cannot form a triangle\\\"")\\n    return area * height\""}""
  }
]","{""code"": ""import math\n\ndef volume_of_triangular_prism(base_a, base_b, base_c, height):\n    if not all(isinstance(x, (int, float)) for x in [base_a, base_b, base_c, height]):\n        raise TypeError(\""All inputs must be numbers\"")\n    if any(x <= 0 for x in [base_a, base_b, base_c, height]):\n        raise ValueError(\""All inputs must be positive\"")\n    s = (base_a + base_b + base_c) / 2\n    area = math.sqrt(s * (s - base_a) * (s - base_b) * (s - base_c))\n    if area <= 0:\n        raise ValueError(\""Invalid triangle sides: cannot form a triangle\"")\n    return area * height""}",14,Write a python function to find the volume of a triangular prism.,DeepSeek-V3.1
"import re

def has_underscore_lowercase(s):
    return bool(re.search(r'[a-z]+_[a-z]+', s))","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""import re\\n\\ndef has_underscore_lowercase(s):\\n    return bool(re.search(r'[a-z]+_[a-z]+', s))\""}""
  }
]","{""code"": ""import re\n\ndef has_underscore_lowercase(s):\n    return bool(re.search(r'[a-z]+_[a-z]+', s))""}",16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,DeepSeek-V3.1
"def square_perimeter(side_length: float) -> float:
    if side_length < 0:
        raise ValueError(""Side length cannot be negative"")
    return 4 * side_length","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function that returns the perimeter of a square given its side length as input.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def square_perimeter(side_length: float) -> float:\\n    if side_length < 0:\\n        raise ValueError(\\\""Side length cannot be negative\\\"")\\n    return 4 * side_length\""}""
  }
]","{""code"": ""def square_perimeter(side_length: float) -> float:\n    if side_length < 0:\n        raise ValueError(\""Side length cannot be negative\"")\n    return 4 * side_length""}",17,Write a function that returns the perimeter of a square given its side length as input.,DeepSeek-V3.1
"def remove_common_chars(str1, str2):
    char_set = set(str2)
    result = ''.join([char for char in str1 if char not in char_set])
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to remove characters from the first string which are present in the second string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def remove_common_chars(str1, str2):\\n    char_set = set(str2)\\n    result = ''.join([char for char in str1 if char not in char_set])\\n    return result\""}""
  }
]","{""code"": ""def remove_common_chars(str1, str2):\n    char_set = set(str2)\n    result = ''.join([char for char in str1 if char not in char_set])\n    return result""}",18,Write a function to remove characters from the first string which are present in the second string.,DeepSeek-V3.1
"from typing import List

def contains_duplicate(nums: List[int]) -> bool:
    seen = set()
    for num in nums:
        if num in seen:
            return True
        seen.add(num)
    return False","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find whether a given array of integers contains any duplicate element.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""from typing import List\\n\\ndef contains_duplicate(nums: List[int]) -> bool:\\n    seen = set()\\n    for num in nums:\\n        if num in seen:\\n            return True\\n        seen.add(num)\\n    return False\""\n}""
  }
]","{
    ""code"": ""from typing import List\n\ndef contains_duplicate(nums: List[int]) -> bool:\n    seen = set()\n    for num in nums:\n        if num in seen:\n            return True\n        seen.add(num)\n    return False""
}",19,Write a function to find whether a given array of integers contains any duplicate element.,DeepSeek-V3.1
"import math

def is_woodall(n):
    if n < 1 or not isinstance(n, int):
        return False
    k = 1
    while True:
        woodall = k * (2 ** k) - 1
        if woodall == n:
            return True
        if woodall > n:
            return False
        k += 1","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to check if the given number is woodball or not.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""import math\\n\\ndef is_woodall(n):\\n    if n < 1 or not isinstance(n, int):\\n        return False\\n    k = 1\\n    while True:\\n        woodall = k * (2 ** k) - 1\\n        if woodall == n:\\n            return True\\n        if woodall > n:\\n            return False\\n        k += 1\""}""
  }
]","{""code"": ""import math\n\ndef is_woodall(n):\n    if n < 1 or not isinstance(n, int):\n        return False\n    k = 1\n    while True:\n        woodall = k * (2 ** k) - 1\n        if woodall == n:\n            return True\n        if woodall > n:\n            return False\n        k += 1""}",20,Write a function to check if the given number is woodball or not.,DeepSeek-V3.1
"def is_one_less_than_twice_reverse(n):
    if n < 0:
        return False
    reversed_n = int(str(n)[::-1])
    return n == 2 * reversed_n - 1","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to check if a given number is one less than twice its reverse.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""def is_one_less_than_twice_reverse(n):\\n    if n < 0:\\n        return False\\n    reversed_n = int(str(n)[::-1])\\n    return n == 2 * reversed_n - 1\""}""
  }
]","{""code"": ""def is_one_less_than_twice_reverse(n):\n    if n < 0:\n        return False\n    reversed_n = int(str(n)[::-1])\n    return n == 2 * reversed_n - 1""}",56,Write a python function to check if a given number is one less than twice its reverse.,DeepSeek-V3.1
"from functools import cmp_to_key

def largest_number(digits):
    if not digits:
        return ""0""
    
    def compare(a, b):
        if a + b > b + a:
            return -1
        elif a + b < b + a:
            return 1
        else:
            return 0
    
    str_digits = list(map(str, digits))
    str_digits.sort(key=cmp_to_key(compare))
    
    result = ''.join(str_digits)
    return result if result[0] != '0' else '0'","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the largest number that can be formed with the given list of digits.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""from functools import cmp_to_key\\n\\ndef largest_number(digits):\\n    if not digits:\\n        return \\\""0\\\""\\n    \\n    def compare(a, b):\\n        if a + b > b + a:\\n            return -1\\n        elif a + b < b + a:\\n            return 1\\n        else:\\n            return 0\\n    \\n    str_digits = list(map(str, digits))\\n    str_digits.sort(key=cmp_to_key(compare))\\n    \\n    result = ''.join(str_digits)\\n    return result if result[0] != '0' else '0'\""}""
  }
]","{""code"": ""from functools import cmp_to_key\n\ndef largest_number(digits):\n    if not digits:\n        return \""0\""\n    \n    def compare(a, b):\n        if a + b > b + a:\n            return -1\n        elif a + b < b + a:\n            return 1\n        else:\n            return 0\n    \n    str_digits = list(map(str, digits))\n    str_digits.sort(key=cmp_to_key(compare))\n    \n    result = ''.join(str_digits)\n    return result if result[0] != '0' else '0'""}",57,Write a python function to find the largest number that can be formed with the given list of digits.,DeepSeek-V3.1
