code,cprompt,crawresp,task_id,text,model
"def remove_first_and_last_occurrence(s: str, char: str) -> str:
    if not s or len(char) != 1:
        return s
    first_index = s.find(char)
    last_index = s.rfind(char)
    if first_index == -1 or first_index == last_index:
        return s.replace(char, '', 1)
    return s[:first_index] + s[first_index + 1:last_index] + s[last_index + 1:]","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to remove first and last occurrence of a given character from the string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def remove_first_and_last_occurrence(s: str, char: str) -> str:\\n    if not s or len(char) != 1:\\n        return s\\n    first_index = s.find(char)\\n    last_index = s.rfind(char)\\n    if first_index == -1 or first_index == last_index:\\n        return s.replace(char, '', 1)\\n    return s[:first_index] + s[first_index + 1:last_index] + s[last_index + 1:]\"" }""
  }
]","{""code"":""def remove_first_and_last_occurrence(s: str, char: str) -> str:\n    if not s or len(char) != 1:\n        return s\n    first_index = s.find(char)\n    last_index = s.rfind(char)\n    if first_index == -1 or first_index == last_index:\n        return s.replace(char, '', 1)\n    return s[:first_index] + s[first_index + 1:last_index] + s[last_index + 1:]"" }",11,Write a python function to remove first and last occurrence of a given character from the string.,gpt-4o-mini
"def sort_matrix_by_row_sum(matrix):
    if not matrix or not all(isinstance(row, list) for row in matrix):
        return matrix
    return sorted(matrix, key=lambda row: sum(row))","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to sort a given matrix in ascending order according to the sum of its rows.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def sort_matrix_by_row_sum(matrix):\\n    if not matrix or not all(isinstance(row, list) for row in matrix):\\n        return matrix\\n    return sorted(matrix, key=lambda row: sum(row))\""}""
  }
]","{""code"":""def sort_matrix_by_row_sum(matrix):\n    if not matrix or not all(isinstance(row, list) for row in matrix):\n        return matrix\n    return sorted(matrix, key=lambda row: sum(row))""}",12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,gpt-4o-mini
"def volume_of_triangular_prism(base: float, height: float, length: float) -> float:
    if base <= 0 or height <= 0 or length <= 0:
        raise ValueError(""Base, height, and length must be positive values."")
    triangular_area = 0.5 * base * height
    volume = triangular_area * length
    return volume","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the volume of a triangular prism.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def volume_of_triangular_prism(base: float, height: float, length: float) -> float:\\n    if base <= 0 or height <= 0 or length <= 0:\\n        raise ValueError(\\\""Base, height, and length must be positive values.\\\"")\\n    triangular_area = 0.5 * base * height\\n    volume = triangular_area * length\\n    return volume\""}""
  }
]","{""code"":""def volume_of_triangular_prism(base: float, height: float, length: float) -> float:\n    if base <= 0 or height <= 0 or length <= 0:\n        raise ValueError(\""Base, height, and length must be positive values.\"")\n    triangular_area = 0.5 * base * height\n    volume = triangular_area * length\n    return volume""}",14,Write a python function to find the volume of a triangular prism.,gpt-4o-mini
"import re

def is_valid_lowercase_sequence(s: str) -> bool:
    return bool(re.fullmatch(r'[a-z]+(_[a-z]+)*', s))","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""import re\\n\\ndef is_valid_lowercase_sequence(s: str) -> bool:\\n    return bool(re.fullmatch(r'[a-z]+(_[a-z]+)*', s))\""}""
  }
]","{""code"":""import re\n\ndef is_valid_lowercase_sequence(s: str) -> bool:\n    return bool(re.fullmatch(r'[a-z]+(_[a-z]+)*', s))""}",16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,gpt-4o-mini
"def square_perimeter(side_length: float) -> float:
    if side_length < 0:
        raise ValueError(""Side length must be non-negative."")
    return 4 * side_length","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function that returns the perimeter of a square given its side length as input.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def square_perimeter(side_length: float) -> float:\\n    if side_length < 0:\\n        raise ValueError(\\\""Side length must be non-negative.\\\"")\\n    return 4 * side_length\""}""
  }
]","{""code"":""def square_perimeter(side_length: float) -> float:\n    if side_length < 0:\n        raise ValueError(\""Side length must be non-negative.\"")\n    return 4 * side_length""}",17,Write a function that returns the perimeter of a square given its side length as input.,gpt-4o-mini
"def remove_characters(str1: str, str2: str) -> str:
    return ''.join(char for char in str1 if char not in str2)","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to remove characters from the first string which are present in the second string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def remove_characters(str1: str, str2: str) -> str:\\n    return ''.join(char for char in str1 if char not in str2)\""}""
  }
]","{""code"":""def remove_characters(str1: str, str2: str) -> str:\n    return ''.join(char for char in str1 if char not in str2)""}",18,Write a function to remove characters from the first string which are present in the second string.,gpt-4o-mini
"def contains_duplicate(nums):
    if not isinstance(nums, list):
        raise ValueError('Input must be a list of integers.')
    if len(nums) < 2:
        return False
    seen = set()
    for num in nums:
        if not isinstance(num, int):
            raise ValueError('All elements in the input list must be integers.')
        if num in seen:
            return True
        seen.add(num)
    return False","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find whether a given array of integers contains any duplicate element.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def contains_duplicate(nums):\\n    if not isinstance(nums, list):\\n        raise ValueError('Input must be a list of integers.')\\n    if len(nums) < 2:\\n        return False\\n    seen = set()\\n    for num in nums:\\n        if not isinstance(num, int):\\n            raise ValueError('All elements in the input list must be integers.')\\n        if num in seen:\\n            return True\\n        seen.add(num)\\n    return False\""}""
  }
]","{""code"":""def contains_duplicate(nums):\n    if not isinstance(nums, list):\n        raise ValueError('Input must be a list of integers.')\n    if len(nums) < 2:\n        return False\n    seen = set()\n    for num in nums:\n        if not isinstance(num, int):\n            raise ValueError('All elements in the input list must be integers.')\n        if num in seen:\n            return True\n        seen.add(num)\n    return False""}",19,Write a function to find whether a given array of integers contains any duplicate element.,gpt-4o-mini
"def is_woodball_number(n: int) -> bool:
    if n < 1:
        return False
    digit_sum = sum(int(digit) for digit in str(n))
    return n % digit_sum == 0","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to check if the given number is woodball or not.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def is_woodball_number(n: int) -> bool:\\n    if n < 1:\\n        return False\\n    digit_sum = sum(int(digit) for digit in str(n))\\n    return n % digit_sum == 0\""}""
  }
]","{""code"":""def is_woodball_number(n: int) -> bool:\n    if n < 1:\n        return False\n    digit_sum = sum(int(digit) for digit in str(n))\n    return n % digit_sum == 0""}",20,Write a function to check if the given number is woodball or not.,gpt-4o-mini
"def is_one_less_than_twice_reverse(number: int) -> bool:
    if number < 0:
        return False
    reverse_num = int(str(number)[::-1])
    return number == 2 * reverse_num - 1","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to check if a given number is one less than twice its reverse.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def is_one_less_than_twice_reverse(number: int) -> bool:\\n    if number < 0:\\n        return False\\n    reverse_num = int(str(number)[::-1])\\n    return number == 2 * reverse_num - 1\""}""
  }
]","{""code"":""def is_one_less_than_twice_reverse(number: int) -> bool:\n    if number < 0:\n        return False\n    reverse_num = int(str(number)[::-1])\n    return number == 2 * reverse_num - 1""}",56,Write a python function to check if a given number is one less than twice its reverse.,gpt-4o-mini
"from itertools import permutations

def largest_number_from_digits(digits):
    if not digits:
        return ""0""
    # Generate all permutations of the list of digits
    perm = [''.join(p) for p in permutations(digits)]
    # Get the maximum value from the permutations
    largest_num = max(perm)
    return largest_num","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the largest number that can be formed with the given list of digits.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""from itertools import permutations\\n\\ndef largest_number_from_digits(digits):\\n    if not digits:\\n        return \\\""0\\\""\\n    # Generate all permutations of the list of digits\\n    perm = [''.join(p) for p in permutations(digits)]\\n    # Get the maximum value from the permutations\\n    largest_num = max(perm)\\n    return largest_num\""}""
  }
]","{""code"":""from itertools import permutations\n\ndef largest_number_from_digits(digits):\n    if not digits:\n        return \""0\""\n    # Generate all permutations of the list of digits\n    perm = [''.join(p) for p in permutations(digits)]\n    # Get the maximum value from the permutations\n    largest_num = max(perm)\n    return largest_num""}",57,Write a python function to find the largest number that can be formed with the given list of digits.,gpt-4o-mini
