code,cprompt,crawresp,db_id,question,model
SELECT COUNT(*) AS singer_count FROM singer;,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nHow many singers do we have?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT COUNT(*) AS singer_count FROM singer;\""}""
  }
]","{""code"": ""SELECT COUNT(*) AS singer_count FROM singer;""}",concert_singer,How many singers do we have?,DeepSeek-V3.1
SELECT COUNT(*) AS total_singers FROM singer;,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat is the total number of singers?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT COUNT(*) AS total_singers FROM singer;\""}""
  }
]","{""code"": ""SELECT COUNT(*) AS total_singers FROM singer;""}",concert_singer,What is the total number of singers?,DeepSeek-V3.1
"SELECT name, country, age FROM singer ORDER BY age DESC;","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nShow name, country, age for all singers ordered by age from the oldest to the youngest.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT name, country, age FROM singer ORDER BY age DESC;\""}""
  }
]","{""code"": ""SELECT name, country, age FROM singer ORDER BY age DESC;""}",concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",DeepSeek-V3.1
"SELECT name, country, age FROM singer ORDER BY age DESC;","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are the names, countries, and ages for every singer in descending order of age?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT name, country, age FROM singer ORDER BY age DESC;\""}""
  }
]","{""code"": ""SELECT name, country, age FROM singer ORDER BY age DESC;""}",concert_singer,"What are the names, countries, and ages for every singer in descending order of age?",DeepSeek-V3.1
"SELECT AVG(age) AS average, MIN(age) AS minimum, MAX(age) AS maximum FROM singer WHERE country = 'France';","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat is the average, minimum, and maximum age of all singers from France?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT AVG(age) AS average, MIN(age) AS minimum, MAX(age) AS maximum FROM singer WHERE country = 'France';\""}""
  }
]","{""code"": ""SELECT AVG(age) AS average, MIN(age) AS minimum, MAX(age) AS maximum FROM singer WHERE country = 'France';""}",concert_singer,"What is the average, minimum, and maximum age of all singers from France?",DeepSeek-V3.1
"SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France';","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat is the average, minimum, and maximum age for all French singers?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n  \""code\"": \""SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France';\""\n}""
  }
]","{
  ""code"": ""SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singer WHERE country = 'France';""
}",concert_singer,"What is the average, minimum, and maximum age for all French singers?",DeepSeek-V3.1
"SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer);","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nShow the name and the release year of the song by the youngest singer.\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer);\""}""
  }
]","{""code"": ""SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer);""}",concert_singer,Show the name and the release year of the song by the youngest singer.,DeepSeek-V3.1
"SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer);","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are the names and release years for all the songs of the youngest singer?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer);\""\n}""
  }
]","{
    ""code"": ""SELECT s.song_name, s.song_release_year FROM singer s WHERE s.age = (SELECT MIN(age) FROM singer);""
}",concert_singer,What are the names and release years for all the songs of the youngest singer?,DeepSeek-V3.1
SELECT DISTINCT country FROM singer WHERE age > 20;,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are all distinct countries where singers above age 20 are from?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT DISTINCT country FROM singer WHERE age > 20;\""}""
  }
]","{""code"": ""SELECT DISTINCT country FROM singer WHERE age > 20;""}",concert_singer,What are all distinct countries where singers above age 20 are from?,DeepSeek-V3.1
SELECT DISTINCT country FROM singer WHERE age > 20;,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert in SQL. Based on the following database:\nTable: stadium\n  - stadium_id (number)\n  - location (text)\n  - name (text)\n  - capacity (number)\n  - highest (number)\n  - lowest (number)\n  - average (number)\n\nTable: singer\n  - singer_id (number)\n  - name (text)\n  - country (text)\n  - song_name (text)\n  - song_release_year (text)\n  - age (number)\n  - is_male (others)\n\nTable: concert\n  - concert_id (number)\n  - concert_name (text)\n  - theme (text)\n  - stadium_id (text)\n  - year (text)\n\nTable: singer in concert\n  - concert_id (number)\n  - singer_id (text)\n\nForeign Keys:\n  - stadium.stadium_id -> concert.stadium_id\n  - singer.singer_id -> singer in concert.singer_id\n  - concert.concert_id -> singer in concert.concert_id\n\n\nCreate a SQL statement in response that replies to the following question:\nWhat are  the different countries with singers above age 20?\n\nRequirements:\n1. Write MYSQL compatible statements.\n2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.\n3. Write clean, efficient, and well-structured code.\n4. Do NOT include test cases or example usage.\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""SELECT DISTINCT country FROM singer WHERE age > 20;\""}""
  }
]","{""code"": ""SELECT DISTINCT country FROM singer WHERE age > 20;""}",concert_singer,What are  the different countries with singers above age 20?,DeepSeek-V3.1
