code,cprompt,crawresp,task_id,prompt,model
"    if n < 2 then
        return true
    end
    if n == 2 then
        return false
    end
    if n % 2 == 0 then
        return true
    end
    for i = 3, math.sqrt(n), 2 do
        if n % i == 0 then
            return true
        end
    end
    return false","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to identify non-prime numbers.\nlocal function is_not_prime(n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""    if n < 2 then\\n        return true\\n    end\\n    if n == 2 then\\n        return false\\n    end\\n    if n % 2 == 0 then\\n        return true\\n    end\\n    for i = 3, math.sqrt(n), 2 do\\n        if n % i == 0 then\\n            return true\\n        end\\n    end\\n    return false\""}""
  }
]","{""code"": ""    if n < 2 then\n        return true\n    end\n    if n == 2 then\n        return false\n    end\n    if n % 2 == 0 then\n        return true\n    end\n    for i = 3, math.sqrt(n), 2 do\n        if n % i == 0 then\n            return true\n        end\n    end\n    return false""}",mbpp_3_is_not_prime,"-- Write a luathon function to identify non-prime numbers.
local function is_not_prime(n)
",DeepSeek-V3.1
"local function heap_queue_largest(nums, n)
    if n <= 0 then
        return {}
    end
    
    local heap = {}
    local heap_size = 0
    
    local function heapify_down(index)
        local smallest = index
        local left = 2 * index
        local right = 2 * index + 1
        
        if left <= heap_size and heap[left] < heap[smallest] then
            smallest = left
        end
        
        if right <= heap_size and heap[right] < heap[smallest] then
            smallest = right
        end
        
        if smallest ~= index then
            heap[index], heap[smallest] = heap[smallest], heap[index]
            heapify_down(smallest)
        end
    end
    
    local function heapify_up(index)
        local parent = math.floor(index / 2)
        if parent >= 1 and heap[index] < heap[parent] then
            heap[index], heap[parent] = heap[parent], heap[index]
            heapify_up(parent)
        end
    end
    
    for i, num in ipairs(nums) do
        if heap_size < n then
            heap_size = heap_size + 1
            heap[heap_size] = num
            heapify_up(heap_size)
        elseif num > heap[1] then
            heap[1] = num
            heapify_down(1)
        end
    end
    
    local result = {}
    while heap_size > 0 do
        table.insert(result, 1, heap[1])
        heap[1] = heap[heap_size]
        heap_size = heap_size - 1
        if heap_size > 0 then
            heapify_down(1)
        end
    end
    
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.\nlocal function heap_queue_largest(nums, n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function heap_queue_largest(nums, n)\\n    if n <= 0 then\\n        return {}\\n    end\\n    \\n    local heap = {}\\n    local heap_size = 0\\n    \\n    local function heapify_down(index)\\n        local smallest = index\\n        local left = 2 * index\\n        local right = 2 * index + 1\\n        \\n        if left <= heap_size and heap[left] < heap[smallest] then\\n            smallest = left\\n        end\\n        \\n        if right <= heap_size and heap[right] < heap[smallest] then\\n            smallest = right\\n        end\\n        \\n        if smallest ~= index then\\n            heap[index], heap[smallest] = heap[smallest], heap[index]\\n            heapify_down(smallest)\\n        end\\n    end\\n    \\n    local function heapify_up(index)\\n        local parent = math.floor(index / 2)\\n        if parent >= 1 and heap[index] < heap[parent] then\\n            heap[index], heap[parent] = heap[parent], heap[index]\\n            heapify_up(parent)\\n        end\\n    end\\n    \\n    for i, num in ipairs(nums) do\\n        if heap_size < n then\\n            heap_size = heap_size + 1\\n            heap[heap_size] = num\\n            heapify_up(heap_size)\\n        elseif num > heap[1] then\\n            heap[1] = num\\n            heapify_down(1)\\n        end\\n    end\\n    \\n    local result = {}\\n    while heap_size > 0 do\\n        table.insert(result, 1, heap[1])\\n        heap[1] = heap[heap_size]\\n        heap_size = heap_size - 1\\n        if heap_size > 0 then\\n            heapify_down(1)\\n        end\\n    end\\n    \\n    return result\\nend\""}""
  }
]","{""code"": ""local function heap_queue_largest(nums, n)\n    if n <= 0 then\n        return {}\n    end\n    \n    local heap = {}\n    local heap_size = 0\n    \n    local function heapify_down(index)\n        local smallest = index\n        local left = 2 * index\n        local right = 2 * index + 1\n        \n        if left <= heap_size and heap[left] < heap[smallest] then\n            smallest = left\n        end\n        \n        if right <= heap_size and heap[right] < heap[smallest] then\n            smallest = right\n        end\n        \n        if smallest ~= index then\n            heap[index], heap[smallest] = heap[smallest], heap[index]\n            heapify_down(smallest)\n        end\n    end\n    \n    local function heapify_up(index)\n        local parent = math.floor(index / 2)\n        if parent >= 1 and heap[index] < heap[parent] then\n            heap[index], heap[parent] = heap[parent], heap[index]\n            heapify_up(parent)\n        end\n    end\n    \n    for i, num in ipairs(nums) do\n        if heap_size < n then\n            heap_size = heap_size + 1\n            heap[heap_size] = num\n            heapify_up(heap_size)\n        elseif num > heap[1] then\n            heap[1] = num\n            heapify_down(1)\n        end\n    end\n    \n    local result = {}\n    while heap_size > 0 do\n        table.insert(result, 1, heap[1])\n        heap[1] = heap[heap_size]\n        heap_size = heap_size - 1\n        if heap_size > 0 then\n            heapify_down(1)\n        end\n    end\n    \n    return result\nend""}",mbpp_4_heap_queue_largest,"-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.
local function heap_queue_largest(nums, n)
",DeepSeek-V3.1
"local function differ_At_One_Bit_Pos(a, b)
    local xor_result = a ~ b
    return xor_result ~= 0 and (xor_result & (xor_result - 1)) == 0
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to check whether the two numbers differ at one bit position only or not.\nlocal function differ_At_One_Bit_Pos(a, b)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""local function differ_At_One_Bit_Pos(a, b)\\n    local xor_result = a ~ b\\n    return xor_result ~= 0 and (xor_result & (xor_result - 1)) == 0\\nend\""}""
  }
]","{""code"": ""local function differ_At_One_Bit_Pos(a, b)\n    local xor_result = a ~ b\n    return xor_result ~= 0 and (xor_result & (xor_result - 1)) == 0\nend""}",mbpp_6_differ_At_One_Bit_Pos,"-- Write a luathon function to check whether the two numbers differ at one bit position only or not.
local function differ_At_One_Bit_Pos(a, b)
",DeepSeek-V3.1
"local function square_nums(nums)
    if type(nums) ~= ""table"" then
        return {}
    end
    
    local squared = {}
    for i, num in ipairs(nums) do
        if type(num) == ""number"" then
            squared[i] = num * num
        else
            squared[i] = num
        end
    end
    return squared
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find squares of individual elements in a table.\nlocal function square_nums(nums)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function square_nums(nums)\\n    if type(nums) ~= \\\""table\\\"" then\\n        return {}\\n    end\\n    \\n    local squared = {}\\n    for i, num in ipairs(nums) do\\n        if type(num) == \\\""number\\\"" then\\n            squared[i] = num * num\\n        else\\n            squared[i] = num\\n        end\\n    end\\n    return squared\\nend\""\n}""
  }
]","{
    ""code"": ""local function square_nums(nums)\n    if type(nums) ~= \""table\"" then\n        return {}\n    end\n    \n    local squared = {}\n    for i, num in ipairs(nums) do\n        if type(num) == \""number\"" then\n            squared[i] = num * num\n        else\n            squared[i] = num\n        end\n    end\n    return squared\nend""
}",mbpp_8_square_nums,"-- Write a function to find squares of individual elements in a table.
local function square_nums(nums)
",DeepSeek-V3.1
"local function find_Rotations(str)
    local n = #str
    if n == 0 then
        return 0
    end
    local concat = str .. str
    for i = 1, n do
        if concat:sub(i, i + n - 1) == str then
            return i
        end
    end
    return n
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.\nlocal function find_Rotations(str)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function find_Rotations(str)\\n    local n = #str\\n    if n == 0 then\\n        return 0\\n    end\\n    local concat = str .. str\\n    for i = 1, n do\\n        if concat:sub(i, i + n - 1) == str then\\n            return i\\n        end\\n    end\\n    return n\\nend\""\n}""
  }
]","{
    ""code"": ""local function find_Rotations(str)\n    local n = #str\n    if n == 0 then\n        return 0\n    end\n    local concat = str .. str\n    for i = 1, n do\n        if concat:sub(i, i + n - 1) == str then\n            return i\n        end\n    end\n    return n\nend""
}",mbpp_9_find_Rotations,"-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.
local function find_Rotations(str)
",DeepSeek-V3.1
"local function remove_Occ(s, ch)
    if type(s) ~= ""string"" or s == """" or ch == nil or ch == """" then
        return s
    end
    
    local first_index = nil
    local last_index = nil
    
    for i = 1, #s do
        if s:sub(i, i) == ch then
            if first_index == nil then
                first_index = i
            end
            last_index = i
        end
    end
    
    if first_index == nil then
        return s
    end
    
    if first_index == last_index then
        return s:sub(1, first_index - 1) .. s:sub(first_index + 1)
    end
    
    return s:sub(1, first_index - 1) .. s:sub(first_index + 1, last_index - 1) .. s:sub(last_index + 1)
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to remove first and last occurrence of a given character from the string.\nlocal function remove_Occ(s, ch)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function remove_Occ(s, ch)\\n    if type(s) ~= \\\""string\\\"" or s == \\\""\\\"" or ch == nil or ch == \\\""\\\"" then\\n        return s\\n    end\\n    \\n    local first_index = nil\\n    local last_index = nil\\n    \\n    for i = 1, #s do\\n        if s:sub(i, i) == ch then\\n            if first_index == nil then\\n                first_index = i\\n            end\\n            last_index = i\\n        end\\n    end\\n    \\n    if first_index == nil then\\n        return s\\n    end\\n    \\n    if first_index == last_index then\\n        return s:sub(1, first_index - 1) .. s:sub(first_index + 1)\\n    end\\n    \\n    return s:sub(1, first_index - 1) .. s:sub(first_index + 1, last_index - 1) .. s:sub(last_index + 1)\\nend\""\n}""
  }
]","{
    ""code"": ""local function remove_Occ(s, ch)\n    if type(s) ~= \""string\"" or s == \""\"" or ch == nil or ch == \""\"" then\n        return s\n    end\n    \n    local first_index = nil\n    local last_index = nil\n    \n    for i = 1, #s do\n        if s:sub(i, i) == ch then\n            if first_index == nil then\n                first_index = i\n            end\n            last_index = i\n        end\n    end\n    \n    if first_index == nil then\n        return s\n    end\n    \n    if first_index == last_index then\n        return s:sub(1, first_index - 1) .. s:sub(first_index + 1)\n    end\n    \n    return s:sub(1, first_index - 1) .. s:sub(first_index + 1, last_index - 1) .. s:sub(last_index + 1)\nend""
}",mbpp_11_remove_Occ,"-- Write a luathon function to remove first and last occurrence of a given character from the string.
local function remove_Occ(s, ch)
",DeepSeek-V3.1
"local function sort_matrix(M)
    if not M or #M == 0 then return {} end
    
    local sums = {}
    for i, row in ipairs(M) do
        local sum = 0
        for j, value in ipairs(row) do
            sum = sum + value
        end
        sums[i] = {sum = sum, index = i}
    end
    
    table.sort(sums, function(a, b)
        return a.sum < b.sum
    end)
    
    local result = {}
    for i, item in ipairs(sums) do
        result[i] = M[item.index]
    end
    
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to sort a given matrix in ascending order according to the sum of its rows.\nlocal function sort_matrix(M)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function sort_matrix(M)\\n    if not M or #M == 0 then return {} end\\n    \\n    local sums = {}\\n    for i, row in ipairs(M) do\\n        local sum = 0\\n        for j, value in ipairs(row) do\\n            sum = sum + value\\n        end\\n        sums[i] = {sum = sum, index = i}\\n    end\\n    \\n    table.sort(sums, function(a, b)\\n        return a.sum < b.sum\\n    end)\\n    \\n    local result = {}\\n    for i, item in ipairs(sums) do\\n        result[i] = M[item.index]\\n    end\\n    \\n    return result\\nend\""\n}""
  }
]","{
    ""code"": ""local function sort_matrix(M)\n    if not M or #M == 0 then return {} end\n    \n    local sums = {}\n    for i, row in ipairs(M) do\n        local sum = 0\n        for j, value in ipairs(row) do\n            sum = sum + value\n        end\n        sums[i] = {sum = sum, index = i}\n    end\n    \n    table.sort(sums, function(a, b)\n        return a.sum < b.sum\n    end)\n    \n    local result = {}\n    for i, item in ipairs(sums) do\n        result[i] = M[item.index]\n    end\n    \n    return result\nend""
}",mbpp_12_sort_matrix,"-- Write a function to sort a given matrix in ascending order according to the sum of its rows.
local function sort_matrix(M)
",DeepSeek-V3.1
"    if type(l) ~= ""number"" or type(b) ~= ""number"" or type(h) ~= ""number"" then
        error(""All arguments must be numbers"")
    end
    if l <= 0 or b <= 0 or h <= 0 then
        error(""All arguments must be positive"")
    end
    return 0.5 * l * b * h","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the volume of a triangular prism.\nlocal function find_Volume(l, b, h)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""    if type(l) ~= \\\""number\\\"" or type(b) ~= \\\""number\\\"" or type(h) ~= \\\""number\\\"" then\\n        error(\\\""All arguments must be numbers\\\"")\\n    end\\n    if l <= 0 or b <= 0 or h <= 0 then\\n        error(\\\""All arguments must be positive\\\"")\\n    end\\n    return 0.5 * l * b * h\""\n}""
  }
]","{
    ""code"": ""    if type(l) ~= \""number\"" or type(b) ~= \""number\"" or type(h) ~= \""number\"" then\n        error(\""All arguments must be numbers\"")\n    end\n    if l <= 0 or b <= 0 or h <= 0 then\n        error(\""All arguments must be positive\"")\n    end\n    return 0.5 * l * b * h""
}",mbpp_14_find_Volume,"-- Write a luathon function to find the volume of a triangular prism.
local function find_Volume(l, b, h)
",DeepSeek-V3.1
"local function text_lowercase_underscore(text)
    if type(text) ~= ""string"" then return false end
    return string.match(text, ""%l+_%l+"") ~= nil
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\nlocal function text_lowercase_underscore(text)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""local function text_lowercase_underscore(text)\\n    if type(text) ~= \\\""string\\\"" then return false end\\n    return string.match(text, \\\""%l+_%l+\\\"") ~= nil\\nend\""\n}""
  }
]","{
    ""code"": ""local function text_lowercase_underscore(text)\n    if type(text) ~= \""string\"" then return false end\n    return string.match(text, \""%l+_%l+\"") ~= nil\nend""
}",mbpp_16_text_lowercase_underscore,"-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
local function text_lowercase_underscore(text)
",DeepSeek-V3.1
return 4 * a,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function that returns the perimeter of a square given its side length as input.\nlocal function square_perimeter(a)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\n    \""code\"": \""return 4 * a\""\n}""
  }
]","{
    ""code"": ""return 4 * a""
}",mbpp_17_square_perimeter,"-- Write a function that returns the perimeter of a square given its side length as input.
local function square_perimeter(a)
",DeepSeek-V3.1
