code,cprompt,crawresp,db_id,question,model
SELECT COUNT(*) FROM singer; ,"[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:How many singers do we have?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""SELECT COUNT(*) FROM singer; \""}""
  }
]","{
  ""code"": ""SELECT COUNT(*) FROM singer; ""
}",concert_singer,How many singers do we have?,deepseek-coder:6.7b
"#1
SELECT COUNT(*) FROM singer;
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:What is the total number of singers?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""#1\\nSELECT COUNT(*) FROM singer;\\n\""}""
  }
]","{
  ""code"": ""#1\nSELECT COUNT(*) FROM singer;\n""
}",concert_singer,What is the total number of singers?,deepseek-coder:6.7b
"#1234567890
SELECT name, country, age FROM singer ORDER BY age DESC;","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:Show name, country, age for all singers ordered by age from the oldest to the youngest.Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""#1234567890\\nSELECT name, country, age FROM singer ORDER BY age DESC;\""}""
  }
]","{
    ""code"": ""#1234567890\nSELECT name, country, age FROM singer ORDER BY age DESC;""
}",concert_singer,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",deepseek-coder:6.7b
"#1
SELECT name, country, age FROM singer ORDER BY age DESC;","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:What are the names, countries, and ages for every singer in descending order of age?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""#1\\nSELECT name, country, age FROM singer ORDER BY age DESC;\""}""
  }
]","{
    ""code"": ""#1\nSELECT name, country, age FROM singer ORDER BY age DESC;""
}",concert_singer,"What are the names, countries, and ages for every singer in descending order of age?",deepseek-coder:6.7b
"#1234567890
SELECT AVG(age) as average_age, MIN(age) as minimum_age, MAX(age) as maximum_age FROM singer WHERE country = 'France';","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:What is the average, minimum, and maximum age of all singers from France?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""#1234567890\\nSELECT AVG(age) as average_age, MIN(age) as minimum_age, MAX(age) as maximum_age FROM singer WHERE country = 'France';\""}""
  }
]","{
    ""code"": ""#1234567890\nSELECT AVG(age) as average_age, MIN(age) as minimum_age, MAX(age) as maximum_age FROM singer WHERE country = 'France';""
}",concert_singer,"What is the average, minimum, and maximum age of all singers from France?",deepseek-coder:6.7b
"#1234567890
SELECT AVG(age) as average_age, MIN(age) as minimum_age, MAX(age) as maximum_age FROM singer WHERE country = 'France';","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:What is the average, minimum, and maximum age for all French singers?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""#1234567890\\nSELECT AVG(age) as average_age, MIN(age) as minimum_age, MAX(age) as maximum_age FROM singer WHERE country = 'France';\""}""
  }
]","{
  ""code"": ""#1234567890\nSELECT AVG(age) as average_age, MIN(age) as minimum_age, MAX(age) as maximum_age FROM singer WHERE country = 'France';""
}",concert_singer,"What is the average, minimum, and maximum age for all French singers?",deepseek-coder:6.7b
#1074 - The used SELECT statements include a subquery in the FROM clause that is not correlated to the main query.,"[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:Show the name and the release year of the song by the youngest singer.Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""#1074 - The used SELECT statements include a subquery in the FROM clause that is not correlated to the main query.\""}""
  }
]","{
  ""code"": ""#1074 - The used SELECT statements include a subquery in the FROM clause that is not correlated to the main query.""
}",concert_singer,Show the name and the release year of the song by the youngest singer.,deepseek-coder:6.7b
"#1234567890
SELECT s.name AS singer_name, sc.song_release_year
FROM singer s
INNER JOIN (SELECT singer_id, song_name, song_release_year
      FROM singer in concert
      ORDER BY age ASC
      LIMIT 1) sc ON s.singer_id = sc.singer_id;","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:What are the names and release years for all the songs of the youngest singer?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""#1234567890\\nSELECT s.name AS singer_name, sc.song_release_year\\nFROM singer s\\nINNER JOIN (SELECT singer_id, song_name, song_release_year\\n      FROM singer in concert\\n      ORDER BY age ASC\\n      LIMIT 1) sc ON s.singer_id = sc.singer_id;\""}""
  }
]","{
    ""code"": ""#1234567890\nSELECT s.name AS singer_name, sc.song_release_year\nFROM singer s\nINNER JOIN (SELECT singer_id, song_name, song_release_year\n      FROM singer in concert\n      ORDER BY age ASC\n      LIMIT 1) sc ON s.singer_id = sc.singer_id;""
}",concert_singer,What are the names and release years for all the songs of the youngest singer?,deepseek-coder:6.7b
"#1
SELECT DISTINCT country FROM singer WHERE age > 20;
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:What are all distinct countries where singers above age 20 are from?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""#1\\nSELECT DISTINCT country FROM singer WHERE age > 20;\\n\""}""
  }
]","{
    ""code"": ""#1\nSELECT DISTINCT country FROM singer WHERE age > 20;\n""
}",concert_singer,What are all distinct countries where singers above age 20 are from?,deepseek-coder:6.7b
"#1234567890
SELECT DISTINCT country FROM singer WHERE age > 20;
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert in SQL. Based on the following database:Table: stadium  - stadium_id (number)  - location (text)  - name (text)  - capacity (number)  - highest (number)  - lowest (number)  - average (number)Table: singer  - singer_id (number)  - name (text)  - country (text)  - song_name (text)  - song_release_year (text)  - age (number)  - is_male (others)Table: concert  - concert_id (number)  - concert_name (text)  - theme (text)  - stadium_id (text)  - year (text)Table: singer in concert  - concert_id (number)  - singer_id (text)Foreign Keys:  - stadium.stadium_id -> concert.stadium_id  - singer.singer_id -> singer in concert.singer_id  - concert.concert_id -> singer in concert.concert_idCreate a SQL statement in response that replies to the following question:What are  the different countries with singers above age 20?Requirements:1. Write MYSQL compatible statements.2. Write a complete SQL select statement that shows the content from the dataset that satisfy the question.3. Write clean, efficient, and well-structured code.4. Do NOT include test cases or example usage.Provide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""#1234567890\\nSELECT DISTINCT country FROM singer WHERE age > 20;\\n\""}""
  }
]","{
    ""code"": ""#1234567890\nSELECT DISTINCT country FROM singer WHERE age > 20;\n""
}",concert_singer,What are  the different countries with singers above age 20?,deepseek-coder:6.7b
