code,cprompt,crawresp,task_id,prompt,model
"local function is_not_prime(n)
    if n <= 1 then
        return true
    end
    for i = 2, math.sqrt(n) do
        if n % i == 0 then
            return true
        end
    end
    return false
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to identify non-prime numbers.\nlocal function is_not_prime(n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function is_not_prime(n)\\n    if n <= 1 then\\n        return true\\n    end\\n    for i = 2, math.sqrt(n) do\\n        if n % i == 0 then\\n            return true\\n        end\\n    end\\n    return false\\nend\""}""
  }
]","{""code"":""local function is_not_prime(n)\n    if n <= 1 then\n        return true\n    end\n    for i = 2, math.sqrt(n) do\n        if n % i == 0 then\n            return true\n        end\n    end\n    return false\nend""}",mbpp_3_is_not_prime,"-- Write a luathon function to identify non-prime numbers.
local function is_not_prime(n)
",gpt-4o-mini
"local function heap_queue_largest(nums, n)
    if n <= 0 then return {} end
    if not nums or #nums == 0 then return {} end

    local heap = {}
    for i = 1, #nums do
        heap[i] = nums[i]
        local current = i
        while current > 1 do
            local parent = math.floor(current / 2)
            if heap[current] > heap[parent] then
                heap[current], heap[parent] = heap[parent], heap[current]
                current = parent
            else
                break
            end
        end
    end

    local largest = {} 
    for i = 1, n do
        if #heap == 0 then break end
        largest[i] = heap[1]
        heap[1] = heap[#heap]
        heap[#heap] = nil

        local current = 1
        while true do
            local left = current * 2
            local right = current * 2 + 1
            local largestIndex = current

            if left <= #heap and heap[left] > heap[largestIndex] then
                largestIndex = left
            end
            if right <= #heap and heap[right] > heap[largestIndex] then
                largestIndex = right
            end
            if largestIndex == current then break end

            heap[current], heap[largestIndex] = heap[largestIndex], heap[current]
            current = largestIndex
        end
    end

    table.sort(largest, function(a, b) return a > b end)
    return largest
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.\nlocal function heap_queue_largest(nums, n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function heap_queue_largest(nums, n)\\n    if n <= 0 then return {} end\\n    if not nums or #nums == 0 then return {} end\\n\\n    local heap = {}\\n    for i = 1, #nums do\\n        heap[i] = nums[i]\\n        local current = i\\n        while current > 1 do\\n            local parent = math.floor(current / 2)\\n            if heap[current] > heap[parent] then\\n                heap[current], heap[parent] = heap[parent], heap[current]\\n                current = parent\\n            else\\n                break\\n            end\\n        end\\n    end\\n\\n    local largest = {} \\n    for i = 1, n do\\n        if #heap == 0 then break end\\n        largest[i] = heap[1]\\n        heap[1] = heap[#heap]\\n        heap[#heap] = nil\\n\\n        local current = 1\\n        while true do\\n            local left = current * 2\\n            local right = current * 2 + 1\\n            local largestIndex = current\\n\\n            if left <= #heap and heap[left] > heap[largestIndex] then\\n                largestIndex = left\\n            end\\n            if right <= #heap and heap[right] > heap[largestIndex] then\\n                largestIndex = right\\n            end\\n            if largestIndex == current then break end\\n\\n            heap[current], heap[largestIndex] = heap[largestIndex], heap[current]\\n            current = largestIndex\\n        end\\n    end\\n\\n    table.sort(largest, function(a, b) return a > b end)\\n    return largest\\nend\""}""
  }
]","{""code"":""local function heap_queue_largest(nums, n)\n    if n <= 0 then return {} end\n    if not nums or #nums == 0 then return {} end\n\n    local heap = {}\n    for i = 1, #nums do\n        heap[i] = nums[i]\n        local current = i\n        while current > 1 do\n            local parent = math.floor(current / 2)\n            if heap[current] > heap[parent] then\n                heap[current], heap[parent] = heap[parent], heap[current]\n                current = parent\n            else\n                break\n            end\n        end\n    end\n\n    local largest = {} \n    for i = 1, n do\n        if #heap == 0 then break end\n        largest[i] = heap[1]\n        heap[1] = heap[#heap]\n        heap[#heap] = nil\n\n        local current = 1\n        while true do\n            local left = current * 2\n            local right = current * 2 + 1\n            local largestIndex = current\n\n            if left <= #heap and heap[left] > heap[largestIndex] then\n                largestIndex = left\n            end\n            if right <= #heap and heap[right] > heap[largestIndex] then\n                largestIndex = right\n            end\n            if largestIndex == current then break end\n\n            heap[current], heap[largestIndex] = heap[largestIndex], heap[current]\n            current = largestIndex\n        end\n    end\n\n    table.sort(largest, function(a, b) return a > b end)\n    return largest\nend""}",mbpp_4_heap_queue_largest,"-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.
local function heap_queue_largest(nums, n)
",gpt-4o-mini
"local function differ_At_One_Bit_Pos(a, b)
    local diff = a ~ b
    return diff ~= 0 and (diff & (diff - 1)) == 0
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to check whether the two numbers differ at one bit position only or not.\nlocal function differ_At_One_Bit_Pos(a, b)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function differ_At_One_Bit_Pos(a, b)\\n    local diff = a ~ b\\n    return diff ~= 0 and (diff & (diff - 1)) == 0\\nend\""}""
  }
]","{""code"":""local function differ_At_One_Bit_Pos(a, b)\n    local diff = a ~ b\n    return diff ~= 0 and (diff & (diff - 1)) == 0\nend""}",mbpp_6_differ_At_One_Bit_Pos,"-- Write a luathon function to check whether the two numbers differ at one bit position only or not.
local function differ_At_One_Bit_Pos(a, b)
",gpt-4o-mini
"local function square_nums(nums)
    if type(nums) ~= ""table"" then
        return nil
    end
    local squares = {}
    for i, num in ipairs(nums) do
        if type(num) == ""number"" then
            squares[i] = num * num
        else
            squares[i] = nil
        end
    end
    return squares
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find squares of individual elements in a table.\nlocal function square_nums(nums)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function square_nums(nums)\\n    if type(nums) ~= \\\""table\\\"" then\\n        return nil\\n    end\\n    local squares = {}\\n    for i, num in ipairs(nums) do\\n        if type(num) == \\\""number\\\"" then\\n            squares[i] = num * num\\n        else\\n            squares[i] = nil\\n        end\\n    end\\n    return squares\\nend\""}""
  }
]","{""code"":""local function square_nums(nums)\n    if type(nums) ~= \""table\"" then\n        return nil\n    end\n    local squares = {}\n    for i, num in ipairs(nums) do\n        if type(num) == \""number\"" then\n            squares[i] = num * num\n        else\n            squares[i] = nil\n        end\n    end\n    return squares\nend""}",mbpp_8_square_nums,"-- Write a function to find squares of individual elements in a table.
local function square_nums(nums)
",gpt-4o-mini
"local function find_Rotations(str)
    local len = #str
    if len == 0 then return 0 end
    for i = 1, len do
        local rotated = str:sub(i) .. str:sub(1, i - 1)
        if rotated == str then
            return i
        end
    end
    return len
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.\nlocal function find_Rotations(str)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function find_Rotations(str)\\n    local len = #str\\n    if len == 0 then return 0 end\\n    for i = 1, len do\\n        local rotated = str:sub(i) .. str:sub(1, i - 1)\\n        if rotated == str then\\n            return i\\n        end\\n    end\\n    return len\\nend\""}""
  }
]","{""code"":""local function find_Rotations(str)\n    local len = #str\n    if len == 0 then return 0 end\n    for i = 1, len do\n        local rotated = str:sub(i) .. str:sub(1, i - 1)\n        if rotated == str then\n            return i\n        end\n    end\n    return len\nend""}",mbpp_9_find_Rotations,"-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.
local function find_Rotations(str)
",gpt-4o-mini
"local function remove_Occ(s, ch)
    local first_index = s:find(ch)
    local last_index = s:find(ch, 1, true) -- second parameter set to true for basic pattern search
    if first_index and last_index then
        last_index = s:find(ch, first_index + 1, true)
    end
    if first_index then
        s = s:sub(1, first_index - 1) .. s:sub(first_index + 1)
    end
    if last_index then
        s = s:sub(1, last_index - 1) .. s:sub(last_index + 1)
    end
    return s
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to remove first and last occurrence of a given character from the string.\nlocal function remove_Occ(s, ch)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function remove_Occ(s, ch)\\n    local first_index = s:find(ch)\\n    local last_index = s:find(ch, 1, true) -- second parameter set to true for basic pattern search\\n    if first_index and last_index then\\n        last_index = s:find(ch, first_index + 1, true)\\n    end\\n    if first_index then\\n        s = s:sub(1, first_index - 1) .. s:sub(first_index + 1)\\n    end\\n    if last_index then\\n        s = s:sub(1, last_index - 1) .. s:sub(last_index + 1)\\n    end\\n    return s\\nend\""}""
  }
]","{""code"":""local function remove_Occ(s, ch)\n    local first_index = s:find(ch)\n    local last_index = s:find(ch, 1, true) -- second parameter set to true for basic pattern search\n    if first_index and last_index then\n        last_index = s:find(ch, first_index + 1, true)\n    end\n    if first_index then\n        s = s:sub(1, first_index - 1) .. s:sub(first_index + 1)\n    end\n    if last_index then\n        s = s:sub(1, last_index - 1) .. s:sub(last_index + 1)\n    end\n    return s\nend""}",mbpp_11_remove_Occ,"-- Write a luathon function to remove first and last occurrence of a given character from the string.
local function remove_Occ(s, ch)
",gpt-4o-mini
"local function sort_matrix(M)
    if not M or #M == 0 then return M end
    table.sort(M, function(a, b)
        local sum_a, sum_b = 0, 0
        for _, v in ipairs(a) do sum_a = sum_a + v end
        for _, v in ipairs(b) do sum_b = sum_b + v end
        return sum_a < sum_b
    end)
    return M
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to sort a given matrix in ascending order according to the sum of its rows.\nlocal function sort_matrix(M)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function sort_matrix(M)\\n    if not M or #M == 0 then return M end\\n    table.sort(M, function(a, b)\\n        local sum_a, sum_b = 0, 0\\n        for _, v in ipairs(a) do sum_a = sum_a + v end\\n        for _, v in ipairs(b) do sum_b = sum_b + v end\\n        return sum_a < sum_b\\n    end)\\n    return M\\nend\""}""
  }
]","{""code"":""local function sort_matrix(M)\n    if not M or #M == 0 then return M end\n    table.sort(M, function(a, b)\n        local sum_a, sum_b = 0, 0\n        for _, v in ipairs(a) do sum_a = sum_a + v end\n        for _, v in ipairs(b) do sum_b = sum_b + v end\n        return sum_a < sum_b\n    end)\n    return M\nend""}",mbpp_12_sort_matrix,"-- Write a function to sort a given matrix in ascending order according to the sum of its rows.
local function sort_matrix(M)
",gpt-4o-mini
"local function find_Volume(l, b, h)
    if l <= 0 or b <= 0 or h <= 0 then
        return 0
    end
    local baseArea = (l * b) / 2
    return baseArea * h
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the volume of a triangular prism.\nlocal function find_Volume(l, b, h)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function find_Volume(l, b, h)\\n    if l <= 0 or b <= 0 or h <= 0 then\\n        return 0\\n    end\\n    local baseArea = (l * b) / 2\\n    return baseArea * h\\nend\""}""
  }
]","{""code"":""local function find_Volume(l, b, h)\n    if l <= 0 or b <= 0 or h <= 0 then\n        return 0\n    end\n    local baseArea = (l * b) / 2\n    return baseArea * h\nend""}",mbpp_14_find_Volume,"-- Write a luathon function to find the volume of a triangular prism.
local function find_Volume(l, b, h)
",gpt-4o-mini
"local function text_lowercase_underscore(text)
    return string.match(text, '^[a-z]+(_[a-z]+)*$') ~= nil
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\nlocal function text_lowercase_underscore(text)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function text_lowercase_underscore(text)\\n    return string.match(text, '^[a-z]+(_[a-z]+)*$') ~= nil\\nend\""}""
  }
]","{""code"":""local function text_lowercase_underscore(text)\n    return string.match(text, '^[a-z]+(_[a-z]+)*$') ~= nil\nend""}",mbpp_16_text_lowercase_underscore,"-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
local function text_lowercase_underscore(text)
",gpt-4o-mini
return 4 * a,"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function that returns the perimeter of a square given its side length as input.\nlocal function square_perimeter(a)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""return 4 * a\""}""
  }
]","{""code"":""return 4 * a""}",mbpp_17_square_perimeter,"-- Write a function that returns the perimeter of a square given its side length as input.
local function square_perimeter(a)
",gpt-4o-mini
