code,cprompt,crawresp,task_id,text,model
"def remove_first_last(string, char):
    if string and len(string) > 1:
        first = string.find(char)
        last = len(string) - 1 - string[::-1].find(char)
        if first != -1 and last != -1:
            return string[:first] + string[last+1:]
    return string
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to remove first and last occurrence of a given character from the string.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def remove_first_last(string, char):\\n    if string and len(string) > 1:\\n        first = string.find(char)\\n        last = len(string) - 1 - string[::-1].find(char)\\n        if first != -1 and last != -1:\\n            return string[:first] + string[last+1:]\\n    return string\\n\""}""
  }
]","{
    ""code"": ""def remove_first_last(string, char):\n    if string and len(string) > 1:\n        first = string.find(char)\n        last = len(string) - 1 - string[::-1].find(char)\n        if first != -1 and last != -1:\n            return string[:first] + string[last+1:]\n    return string\n""
}",11,Write a python function to remove first and last occurrence of a given character from the string.,deepseek-coder:6.7b
"

import numpy as np

def sort_matrix(mat):
    if not isinstance(mat, list) or not all(isinstance(i, list) for i in mat) or not all(all(isinstance(j, (int, float)) for j in i) for i in mat):
        raise ValueError(""Input should be a 2D matrix of numbers"")
    if len(set([len(row) for row in mat])) > 1: 
        raise ValueError(""All rows must have the same length"")

    mat = np.array(mat)
    sum_rows = {i: sum(row) for i, row in enumerate(mat)}
    sorted_indices = sorted(sum_rows, key=sum_rows.get)

    return [list(mat[i]) for i in sorted_indices]
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to sort a given matrix in ascending order according to the sum of its rows.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""\\n\\nimport numpy as np\\n\\ndef sort_matrix(mat):\\n    if not isinstance(mat, list) or not all(isinstance(i, list) for i in mat) or not all(all(isinstance(j, (int, float)) for j in i) for i in mat):\\n        raise ValueError(\\\""Input should be a 2D matrix of numbers\\\"")\\n    if len(set([len(row) for row in mat])) > 1: \\n        raise ValueError(\\\""All rows must have the same length\\\"")\\n\\n    mat = np.array(mat)\\n    sum_rows = {i: sum(row) for i, row in enumerate(mat)}\\n    sorted_indices = sorted(sum_rows, key=sum_rows.get)\\n\\n    return [list(mat[i]) for i in sorted_indices]\\n\""}""
  }
]","{
    ""code"": ""\n\nimport numpy as np\n\ndef sort_matrix(mat):\n    if not isinstance(mat, list) or not all(isinstance(i, list) for i in mat) or not all(all(isinstance(j, (int, float)) for j in i) for i in mat):\n        raise ValueError(\""Input should be a 2D matrix of numbers\"")\n    if len(set([len(row) for row in mat])) > 1: \n        raise ValueError(\""All rows must have the same length\"")\n\n    mat = np.array(mat)\n    sum_rows = {i: sum(row) for i, row in enumerate(mat)}\n    sorted_indices = sorted(sum_rows, key=sum_rows.get)\n\n    return [list(mat[i]) for i in sorted_indices]\n""
}",12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,deepseek-coder:6.7b
../../../../../../../../../../../../../../../../../../../storage/emulated/0/Android/data/com.termux/files/home/Python/python_projects/volume_of_triangular_prism.py,"[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to find the volume of a triangular prism.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"": \""../../../../../../../../../../../../../../../../../../../storage/emulated/0/Android/data/com.termux/files/home/Python/python_projects/volume_of_triangular_prism.py\""}""
  }
]","{
""code"": ""../../../../../../../../../../../../../../../../../../../storage/emulated/0/Android/data/com.termux/files/home/Python/python_projects/volume_of_triangular_prism.py""}",14,Write a python function to find the volume of a triangular prism.,deepseek-coder:6.7b
"# Python program to check if a string contains sequences of lowercase letters joined with an underscore
import re
def is_lowercase_underscored(s):
    return bool(re.search('^[a-z]+(_[a-z]+)*$', s))","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{  \""code\"": \""# Python program to check if a string contains sequences of lowercase letters joined with an underscore\\nimport re\\ndef is_lowercase_underscored(s):\\n    return bool(re.search('^[a-z]+(_[a-z]+)*$', s))\""}""
  }
]","{
  ""code"": ""# Python program to check if a string contains sequences of lowercase letters joined with an underscore\nimport re\ndef is_lowercase_underscored(s):\n    return bool(re.search('^[a-z]+(_[a-z]+)*$', s))""
}",16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,deepseek-coder:6.7b
"# Python program to calculate perimeter of a square

def calculate_perimeter(side):
    if side <= 0:
        return ""Side length should be positive integer""
    else:
        return 4 * side
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function that returns the perimeter of a square given its side length as input.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""# Python program to calculate perimeter of a square\\n\\ndef calculate_perimeter(side):\\n    if side <= 0:\\n        return \\\""Side length should be positive integer\\\""\\n    else:\\n        return 4 * side\\n\""}""
  }
]","{
    ""code"": ""# Python program to calculate perimeter of a square\n\ndef calculate_perimeter(side):\n    if side <= 0:\n        return \""Side length should be positive integer\""\n    else:\n        return 4 * side\n""
}",17,Write a function that returns the perimeter of a square given its side length as input.,deepseek-coder:6.7b
"def remove_chars(str1, str2):
    return ''.join([c for c in str1 if c not in str2])
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to remove characters from the first string which are present in the second string.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def remove_chars(str1, str2):\\n    return ''.join([c for c in str1 if c not in str2])\\n\""}""
  }
]","{
    ""code"": ""def remove_chars(str1, str2):\n    return ''.join([c for c in str1 if c not in str2])\n""
}",18,Write a function to remove characters from the first string which are present in the second string.,deepseek-coder:6.7b
"# Python program to check for duplicate elements in a list
from typing import List

def has_duplicates(numbers: List[int]) -> bool:
    return len(set(numbers)) != len(numbers)
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to find whether a given array of integers contains any duplicate element.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""# Python program to check for duplicate elements in a list\\nfrom typing import List\\n\\ndef has_duplicates(numbers: List[int]) -> bool:\\n    return len(set(numbers)) != len(numbers)\\n\""}""
  }
]","{
    ""code"": ""# Python program to check for duplicate elements in a list\nfrom typing import List\n\ndef has_duplicates(numbers: List[int]) -> bool:\n    return len(set(numbers)) != len(numbers)\n""
}",19,Write a function to find whether a given array of integers contains any duplicate element.,deepseek-coder:6.7b
"def is_woodball(n):
    if n < 1:
        return False
    while n != 1:
        if n % 2 == 0:
            n = n // 2
        elif n % 3 == 0:
            n = n // 3
        else:
            return False
    return True","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a function to check if the given number is woodball or not.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""def is_woodball(n):\\n    if n < 1:\\n        return False\\n    while n != 1:\\n        if n % 2 == 0:\\n            n = n // 2\\n        elif n % 3 == 0:\\n            n = n // 3\\n        else:\\n            return False\\n    return True\""}""
  }
]","{
    ""code"": ""def is_woodball(n):\n    if n < 1:\n        return False\n    while n != 1:\n        if n % 2 == 0:\n            n = n // 2\n        elif n % 3 == 0:\n            n = n // 3\n        else:\n            return False\n    return True""
}",20,Write a function to check if the given number is woodball or not.,deepseek-coder:6.7b
,"[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to check if a given number is one less than twice its reverse.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""\""}""
  }
]","{
    ""code"": """"
}",56,Write a python function to check if a given number is one less than twice its reverse.,deepseek-coder:6.7b
"# Python program to find the largest number that can be formed with given list of digits
from typing import List

def max_number(digits: List[int]) -> int:
    return int(''.join(sorted(map(str, digits), reverse=True)))
","[
  {
    ""role"": ""user"",
    ""content"": ""You are an expert Python programmer. You need to write a function based on the following specification.Task description:Write a python function to find the largest number that can be formed with the given list of digits.Requirements:1. Write a complete function implementation that satisfies the task description2. Write clean, efficient, and well-structured code3. Include necessary imports if needed4. Ensure the implementation handles edge cases5. Include the complete function definition with signature6. Do NOT include test cases or example usageProvide ONLY the code implementation without any explanation, comments, or markdown formatting.""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{    \""code\"": \""# Python program to find the largest number that can be formed with given list of digits\\nfrom typing import List\\n\\ndef max_number(digits: List[int]) -> int:\\n    return int(''.join(sorted(map(str, digits), reverse=True)))\\n\""}""
  }
]","{
    ""code"": ""# Python program to find the largest number that can be formed with given list of digits\nfrom typing import List\n\ndef max_number(digits: List[int]) -> int:\n    return int(''.join(sorted(map(str, digits), reverse=True)))\n""
}",57,Write a python function to find the largest number that can be formed with the given list of digits.,deepseek-coder:6.7b
