code,cprompt,crawresp,task_id,prompt,model
"local function has_close_elements(numbers, threshold)
    table.sort(numbers)
    for i = 1, #numbers - 1 do
        if (numbers[i + 1] - numbers[i]) < threshold then
            return true
        end
    end
    return false
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Check if in given table of numbers, are any two numbers closer to each other than\n-- given threshold.\n-- >>> has_close_elements({1.0, 2.0, 3.0}, 0.5)\n-- false\n-- >>> has_close_elements({1.0, 2.8, 3.0, 4.0, 5.0, 2.0}, 0.3)\n-- true\nlocal function has_close_elements(numbers, threshold)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function has_close_elements(numbers, threshold)\\n    table.sort(numbers)\\n    for i = 1, #numbers - 1 do\\n        if (numbers[i + 1] - numbers[i]) < threshold then\\n            return true\\n        end\\n    end\\n    return false\\nend\""}""
  }
]","{""code"":""local function has_close_elements(numbers, threshold)\n    table.sort(numbers)\n    for i = 1, #numbers - 1 do\n        if (numbers[i + 1] - numbers[i]) < threshold then\n            return true\n        end\n    end\n    return false\nend""}",HumanEval_0_has_close_elements,"-- Check if in given table of numbers, are any two numbers closer to each other than
-- given threshold.
-- >>> has_close_elements({1.0, 2.0, 3.0}, 0.5)
-- false
-- >>> has_close_elements({1.0, 2.8, 3.0, 4.0, 5.0, 2.0}, 0.3)
-- true
local function has_close_elements(numbers, threshold)
",gpt-4o-mini
"local function separate_paren_groups(paren_string)
    local groups = {}
    local current_group = """"
    local depth = 0

    for i = 1, #paren_string do
        local char = paren_string:sub(i, i)
        if char == ""("" then
            if depth == 0 and #current_group > 0 then
                table.insert(groups, current_group)
                current_group = """"
            end
            current_group = current_group .. char
            depth = depth + 1
        elseif char == "")"" then
            current_group = current_group .. char
            depth = depth - 1
            if depth == 0 then
                table.insert(groups, current_group)
                current_group = """"
            end
        end
    end

    return groups
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Input to this function is a string containing multiple groups of nested parentheses. Your goal is to\n-- separate those group into separate strings and return the table of those.\n-- Separate groups are balanced (each open brace is properly closed) and not nested within each other\n-- Ignore any spaces in the input string.\n-- >>> separate_paren_groups('( ) (( )) (( )( ))')\n-- {'()', '(())', '(()())'}\nlocal function separate_paren_groups(paren_string)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function separate_paren_groups(paren_string)\\n    local groups = {}\\n    local current_group = \\\""\\\""\\n    local depth = 0\\n\\n    for i = 1, #paren_string do\\n        local char = paren_string:sub(i, i)\\n        if char == \\\""(\\\"" then\\n            if depth == 0 and #current_group > 0 then\\n                table.insert(groups, current_group)\\n                current_group = \\\""\\\""\\n            end\\n            current_group = current_group .. char\\n            depth = depth + 1\\n        elseif char == \\\"")\\\"" then\\n            current_group = current_group .. char\\n            depth = depth - 1\\n            if depth == 0 then\\n                table.insert(groups, current_group)\\n                current_group = \\\""\\\""\\n            end\\n        end\\n    end\\n\\n    return groups\\nend\""}""
  }
]","{""code"":""local function separate_paren_groups(paren_string)\n    local groups = {}\n    local current_group = \""\""\n    local depth = 0\n\n    for i = 1, #paren_string do\n        local char = paren_string:sub(i, i)\n        if char == \""(\"" then\n            if depth == 0 and #current_group > 0 then\n                table.insert(groups, current_group)\n                current_group = \""\""\n            end\n            current_group = current_group .. char\n            depth = depth + 1\n        elseif char == \"")\"" then\n            current_group = current_group .. char\n            depth = depth - 1\n            if depth == 0 then\n                table.insert(groups, current_group)\n                current_group = \""\""\n            end\n        end\n    end\n\n    return groups\nend""}",HumanEval_1_separate_paren_groups,"-- Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
-- separate those group into separate strings and return the table of those.
-- Separate groups are balanced (each open brace is properly closed) and not nested within each other
-- Ignore any spaces in the input string.
-- >>> separate_paren_groups('( ) (( )) (( )( ))')
-- {'()', '(())', '(()())'}
local function separate_paren_groups(paren_string)
",gpt-4o-mini
    return number - math.floor(number),"[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Given a positive floating point number, it can be decomposed into\n-- and integer part (largest integer smaller than given number) and decimals\n-- (leftover part always smaller than 1).\n-- Return the decimal part of the number.\n-- >>> truncate_number(3.5)\n-- 0.5\nlocal function truncate_number(number)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""    return number - math.floor(number)\""}""
  }
]","{""code"":""    return number - math.floor(number)""}",HumanEval_2_truncate_number,"-- Given a positive floating point number, it can be decomposed into
-- and integer part (largest integer smaller than given number) and decimals
-- (leftover part always smaller than 1).
-- Return the decimal part of the number.
-- >>> truncate_number(3.5)
-- 0.5
local function truncate_number(number)
",gpt-4o-mini
"local function below_zero(operations)
    local balance = 0
    for _, amount in ipairs(operations) do
        balance = balance + amount
        if balance < 0 then
            return true
        end
    end
    return false
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- You're given a table of deposit and withdrawal operations on a bank account that starts with\n-- zero balance. Your task is to detect if at any point the balance of account fallls below zero, and\n-- at that point function should return true. Otherwise it should return false.\n-- >>> below_zero({1, 2, 3})\n-- false\n-- >>> below_zero({1, 2, -4, 5})\n-- true\nlocal function below_zero(operations)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function below_zero(operations)\\n    local balance = 0\\n    for _, amount in ipairs(operations) do\\n        balance = balance + amount\\n        if balance < 0 then\\n            return true\\n        end\\n    end\\n    return false\\nend\""}""
  }
]","{""code"":""local function below_zero(operations)\n    local balance = 0\n    for _, amount in ipairs(operations) do\n        balance = balance + amount\n        if balance < 0 then\n            return true\n        end\n    end\n    return false\nend""}",HumanEval_3_below_zero,"-- You're given a table of deposit and withdrawal operations on a bank account that starts with
-- zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
-- at that point function should return true. Otherwise it should return false.
-- >>> below_zero({1, 2, 3})
-- false
-- >>> below_zero({1, 2, -4, 5})
-- true
local function below_zero(operations)
",gpt-4o-mini
"local function mean_absolute_deviation(numbers)
    if #numbers == 0 then return 0 end

    local sum = 0
    for _, num in ipairs(numbers) do
        sum = sum + num
    end
    local mean = sum / #numbers

    local mad_sum = 0
    for _, num in ipairs(numbers) do
        mad_sum = mad_sum + math.abs(num - mean)
    end

    return mad_sum / #numbers
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- For a given table of input numbers, calculate Mean Absolute Deviation\n-- around the mean of this dataset.\n-- Mean Absolute Deviation is the average absolute difference between each\n-- element and a centerpoint (mean in this case):\n-- MAD = average | x - x_mean |\n-- >>> mean_absolute_deviation({1.0, 2.0, 3.0, 4.0})\n-- 1.0\nlocal function mean_absolute_deviation(numbers)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function mean_absolute_deviation(numbers)\\n    if #numbers == 0 then return 0 end\\n\\n    local sum = 0\\n    for _, num in ipairs(numbers) do\\n        sum = sum + num\\n    end\\n    local mean = sum / #numbers\\n\\n    local mad_sum = 0\\n    for _, num in ipairs(numbers) do\\n        mad_sum = mad_sum + math.abs(num - mean)\\n    end\\n\\n    return mad_sum / #numbers\\nend\""}""
  }
]","{""code"":""local function mean_absolute_deviation(numbers)\n    if #numbers == 0 then return 0 end\n\n    local sum = 0\n    for _, num in ipairs(numbers) do\n        sum = sum + num\n    end\n    local mean = sum / #numbers\n\n    local mad_sum = 0\n    for _, num in ipairs(numbers) do\n        mad_sum = mad_sum + math.abs(num - mean)\n    end\n\n    return mad_sum / #numbers\nend""}",HumanEval_4_mean_absolute_deviation,"-- For a given table of input numbers, calculate Mean Absolute Deviation
-- around the mean of this dataset.
-- Mean Absolute Deviation is the average absolute difference between each
-- element and a centerpoint (mean in this case):
-- MAD = average | x - x_mean |
-- >>> mean_absolute_deviation({1.0, 2.0, 3.0, 4.0})
-- 1.0
local function mean_absolute_deviation(numbers)
",gpt-4o-mini
"local function intersperse(numbers, delimeter)
    if #numbers == 0 then
        return {}
    end
    local result = {}
    for i = 1, #numbers do
        result[#result + 1] = numbers[i]
        if i < #numbers then
            result[#result + 1] = delimeter
        end
    end
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Insert a number 'delimeter' between every two consecutive elements of input table `numbers'\n-- >>> intersperse({}, 4)\n-- {}\n-- >>> intersperse({1, 2, 3}, 4)\n-- {1, 4, 2, 4, 3}\nlocal function intersperse(numbers, delimeter)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function intersperse(numbers, delimeter)\\n    if #numbers == 0 then\\n        return {}\\n    end\\n    local result = {}\\n    for i = 1, #numbers do\\n        result[#result + 1] = numbers[i]\\n        if i < #numbers then\\n            result[#result + 1] = delimeter\\n        end\\n    end\\n    return result\\nend\""}""
  }
]","{""code"":""local function intersperse(numbers, delimeter)\n    if #numbers == 0 then\n        return {}\n    end\n    local result = {}\n    for i = 1, #numbers do\n        result[#result + 1] = numbers[i]\n        if i < #numbers then\n            result[#result + 1] = delimeter\n        end\n    end\n    return result\nend""}",HumanEval_5_intersperse,"-- Insert a number 'delimeter' between every two consecutive elements of input table `numbers'
-- >>> intersperse({}, 4)
-- {}
-- >>> intersperse({1, 2, 3}, 4)
-- {1, 4, 2, 4, 3}
local function intersperse(numbers, delimeter)
",gpt-4o-mini
"local function parse_nested_parens(paren_string)
    local results = {}
    for group in paren_string:gmatch('%S+') do
        local max_depth = 0
        local current_depth = 0
        for char in group:gmatch('.') do
            if char == '(' then
                current_depth = current_depth + 1
                if current_depth > max_depth then
                    max_depth = current_depth
                end
            elseif char == ')' then
                current_depth = current_depth - 1
            end
        end
        table.insert(results, max_depth)
    end
    return results
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Input to this function is a string represented multiple groups for nested parentheses separated by spaces.\n-- For each of the group, output the deepest level of nesting of parentheses.\n-- E.g. (()()) has maximum two levels of nesting while ((())) has three.\n-- >>> parse_nested_parens('(()()) ((())) () ((())()())')\n-- {2, 3, 1, 3}\nlocal function parse_nested_parens(paren_string)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function parse_nested_parens(paren_string)\\n    local results = {}\\n    for group in paren_string:gmatch('%S+') do\\n        local max_depth = 0\\n        local current_depth = 0\\n        for char in group:gmatch('.') do\\n            if char == '(' then\\n                current_depth = current_depth + 1\\n                if current_depth > max_depth then\\n                    max_depth = current_depth\\n                end\\n            elseif char == ')' then\\n                current_depth = current_depth - 1\\n            end\\n        end\\n        table.insert(results, max_depth)\\n    end\\n    return results\\nend\""}""
  }
]","{""code"":""local function parse_nested_parens(paren_string)\n    local results = {}\n    for group in paren_string:gmatch('%S+') do\n        local max_depth = 0\n        local current_depth = 0\n        for char in group:gmatch('.') do\n            if char == '(' then\n                current_depth = current_depth + 1\n                if current_depth > max_depth then\n                    max_depth = current_depth\n                end\n            elseif char == ')' then\n                current_depth = current_depth - 1\n            end\n        end\n        table.insert(results, max_depth)\n    end\n    return results\nend""}",HumanEval_6_parse_nested_parens,"-- Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
-- For each of the group, output the deepest level of nesting of parentheses.
-- E.g. (()()) has maximum two levels of nesting while ((())) has three.
-- >>> parse_nested_parens('(()()) ((())) () ((())()())')
-- {2, 3, 1, 3}
local function parse_nested_parens(paren_string)
",gpt-4o-mini
"local function filter_by_substring(strings, substring)
    local filtered = {}
    for _, str in ipairs(strings) do
        if string.find(str, substring) then
            table.insert(filtered, str)
        end
    end
    return filtered
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Filter an input table of strings only for ones that contain given substring\n-- >>> filter_by_substring({}, 'a')\n-- {}\n-- >>> filter_by_substring({'abc', 'bacd', 'cde', 'array'}, 'a')\n-- {'abc', 'bacd', 'array'}\nlocal function filter_by_substring(strings, substring)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function filter_by_substring(strings, substring)\\n    local filtered = {}\\n    for _, str in ipairs(strings) do\\n        if string.find(str, substring) then\\n            table.insert(filtered, str)\\n        end\\n    end\\n    return filtered\\nend\""}""
  }
]","{""code"":""local function filter_by_substring(strings, substring)\n    local filtered = {}\n    for _, str in ipairs(strings) do\n        if string.find(str, substring) then\n            table.insert(filtered, str)\n        end\n    end\n    return filtered\nend""}",HumanEval_7_filter_by_substring,"-- Filter an input table of strings only for ones that contain given substring
-- >>> filter_by_substring({}, 'a')
-- {}
-- >>> filter_by_substring({'abc', 'bacd', 'cde', 'array'}, 'a')
-- {'abc', 'bacd', 'array'}
local function filter_by_substring(strings, substring)
",gpt-4o-mini
"local function sum_product(numbers)
    local sum = 0
    local product = 1
    for _, number in ipairs(numbers) do
        sum = sum + number
        product = product * number
    end
    return {sum, product}
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- For a given table of integers, return a table consisting of a sum and a product of all the integers in a table.\n-- Empty sum should be equal to 0 and empty product should be equal to 1.\n-- >>> sum_product({})\n-- {0, 1}\n-- >>> sum_product({1, 2, 3, 4})\n-- {10, 24}\nlocal function sum_product(numbers)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function sum_product(numbers)\\n    local sum = 0\\n    local product = 1\\n    for _, number in ipairs(numbers) do\\n        sum = sum + number\\n        product = product * number\\n    end\\n    return {sum, product}\\nend\""}""
  }
]","{""code"":""local function sum_product(numbers)\n    local sum = 0\n    local product = 1\n    for _, number in ipairs(numbers) do\n        sum = sum + number\n        product = product * number\n    end\n    return {sum, product}\nend""}",HumanEval_8_sum_product,"-- For a given table of integers, return a table consisting of a sum and a product of all the integers in a table.
-- Empty sum should be equal to 0 and empty product should be equal to 1.
-- >>> sum_product({})
-- {0, 1}
-- >>> sum_product({1, 2, 3, 4})
-- {10, 24}
local function sum_product(numbers)
",gpt-4o-mini
"local function rolling_max(numbers)
    if #numbers == 0 then
        return {}
    end
    local max_so_far = numbers[1]
    local result = {max_so_far}
    for i = 2, #numbers do
        if numbers[i] > max_so_far then
            max_so_far = numbers[i]
        end
        result[i] = max_so_far
    end
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- From a given table of integers, generate a table of rolling maximum element found until given moment\n-- in the sequence.\n-- >>> rolling_max({1, 2, 3, 2, 3, 4, 2})\n-- {1, 2, 3, 3, 3, 4, 4}\nlocal function rolling_max(numbers)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function rolling_max(numbers)\\n    if #numbers == 0 then\\n        return {}\\n    end\\n    local max_so_far = numbers[1]\\n    local result = {max_so_far}\\n    for i = 2, #numbers do\\n        if numbers[i] > max_so_far then\\n            max_so_far = numbers[i]\\n        end\\n        result[i] = max_so_far\\n    end\\n    return result\\nend\""}""
  }
]","{""code"":""local function rolling_max(numbers)\n    if #numbers == 0 then\n        return {}\n    end\n    local max_so_far = numbers[1]\n    local result = {max_so_far}\n    for i = 2, #numbers do\n        if numbers[i] > max_so_far then\n            max_so_far = numbers[i]\n        end\n        result[i] = max_so_far\n    end\n    return result\nend""}",HumanEval_9_rolling_max,"-- From a given table of integers, generate a table of rolling maximum element found until given moment
-- in the sequence.
-- >>> rolling_max({1, 2, 3, 2, 3, 4, 2})
-- {1, 2, 3, 3, 3, 4, 4}
local function rolling_max(numbers)
",gpt-4o-mini
