code,cprompt,crawresp,task_id,prompt,model
"local function is_not_prime(n)
    if n <= 1 then return true end
    if n == 2 then return false end  -- 2 is the only even prime number
    if n % 2 == 0 then return true end  -- exclude other even numbers
    local sqrt_n = math.sqrt(n)  -- check up to the square root of n
    for i = 3, sqrt_n, 2 do  -- iterate only over odd numbers
        if n % i == 0 then
            return true
        end
    end
    return false
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to identify non-prime numbers.\nlocal function is_not_prime(n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function is_not_prime(n)\\n    if n <= 1 then return true end\\n    if n == 2 then return false end  -- 2 is the only even prime number\\n    if n % 2 == 0 then return true end  -- exclude other even numbers\\n    local sqrt_n = math.sqrt(n)  -- check up to the square root of n\\n    for i = 3, sqrt_n, 2 do  -- iterate only over odd numbers\\n        if n % i == 0 then\\n            return true\\n        end\\n    end\\n    return false\\nend\""}""
  }
]","{""code"":""local function is_not_prime(n)\n    if n <= 1 then return true end\n    if n == 2 then return false end  -- 2 is the only even prime number\n    if n % 2 == 0 then return true end  -- exclude other even numbers\n    local sqrt_n = math.sqrt(n)  -- check up to the square root of n\n    for i = 3, sqrt_n, 2 do  -- iterate only over odd numbers\n        if n % i == 0 then\n            return true\n        end\n    end\n    return false\nend""}",mbpp_3_is_not_prime,"-- Write a luathon function to identify non-prime numbers.
local function is_not_prime(n)
",gpt-4o
"local function heap_queue_largest(nums, n)
    if n <= 0 or #nums == 0 then return {} end
    local heap = {}
    for i, num in ipairs(nums) do
        if #heap < n then
            table.insert(heap, num)
            if #heap == n then
                table.sort(heap)
            end
        elseif num > heap[1] then
            table.remove(heap, 1)
            table.insert(heap, num)
            table.sort(heap)
        end
    end
    local result = {}
    while #heap > 0 do
        table.insert(result, table.remove(heap))
    end
    return result
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.\nlocal function heap_queue_largest(nums, n)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function heap_queue_largest(nums, n)\\n    if n <= 0 or #nums == 0 then return {} end\\n    local heap = {}\\n    for i, num in ipairs(nums) do\\n        if #heap < n then\\n            table.insert(heap, num)\\n            if #heap == n then\\n                table.sort(heap)\\n            end\\n        elseif num > heap[1] then\\n            table.remove(heap, 1)\\n            table.insert(heap, num)\\n            table.sort(heap)\\n        end\\n    end\\n    local result = {}\\n    while #heap > 0 do\\n        table.insert(result, table.remove(heap))\\n    end\\n    return result\\nend\""}""
  }
]","{""code"":""local function heap_queue_largest(nums, n)\n    if n <= 0 or #nums == 0 then return {} end\n    local heap = {}\n    for i, num in ipairs(nums) do\n        if #heap < n then\n            table.insert(heap, num)\n            if #heap == n then\n                table.sort(heap)\n            end\n        elseif num > heap[1] then\n            table.remove(heap, 1)\n            table.insert(heap, num)\n            table.sort(heap)\n        end\n    end\n    local result = {}\n    while #heap > 0 do\n        table.insert(result, table.remove(heap))\n    end\n    return result\nend""}",mbpp_4_heap_queue_largest,"-- Write a function to find the n largest integers from a given table of numbers, returned in descending order.
local function heap_queue_largest(nums, n)
",gpt-4o
"local function differ_At_One_Bit_Pos(a, b)
    -- XOR the numbers and count the number of set bits in the result
    local xorResult = a ~ b
    -- Check if only one bit is different
    return xorResult ~= 0 and (xorResult & (xorResult - 1)) == 0
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to check whether the two numbers differ at one bit position only or not.\nlocal function differ_At_One_Bit_Pos(a, b)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function differ_At_One_Bit_Pos(a, b)\\n    -- XOR the numbers and count the number of set bits in the result\\n    local xorResult = a ~ b\\n    -- Check if only one bit is different\\n    return xorResult ~= 0 and (xorResult & (xorResult - 1)) == 0\\nend\""}""
  }
]","{""code"":""local function differ_At_One_Bit_Pos(a, b)\n    -- XOR the numbers and count the number of set bits in the result\n    local xorResult = a ~ b\n    -- Check if only one bit is different\n    return xorResult ~= 0 and (xorResult & (xorResult - 1)) == 0\nend""}",mbpp_6_differ_At_One_Bit_Pos,"-- Write a luathon function to check whether the two numbers differ at one bit position only or not.
local function differ_At_One_Bit_Pos(a, b)
",gpt-4o
"{""local function square_nums(nums)\n    local squared_nums = {}\n    for i, num in ipairs(nums) do\n        squared_nums[i] = num * num\n    end\n    return squared_nums\nend""}","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to find squares of individual elements in a table.\nlocal function square_nums(nums)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""{\\\""local function square_nums(nums)\\\\n    local squared_nums = {}\\\\n    for i, num in ipairs(nums) do\\\\n        squared_nums[i] = num * num\\\\n    end\\\\n    return squared_nums\\\\nend\\\""}\""}""
  }
]","{""code"":""{\""local function square_nums(nums)\\n    local squared_nums = {}\\n    for i, num in ipairs(nums) do\\n        squared_nums[i] = num * num\\n    end\\n    return squared_nums\\nend\""}""}",mbpp_8_square_nums,"-- Write a function to find squares of individual elements in a table.
local function square_nums(nums)
",gpt-4o
"local function find_Rotations(str)
    local n = #str
    local doubled = str .. str
    for i = 1, n do
        if doubled:sub(i, i + n - 1) == str then
            return i
        end
    end
    return n  -- This will never be reached, logically
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.\nlocal function find_Rotations(str)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function find_Rotations(str)\\n    local n = #str\\n    local doubled = str .. str\\n    for i = 1, n do\\n        if doubled:sub(i, i + n - 1) == str then\\n            return i\\n        end\\n    end\\n    return n  -- This will never be reached, logically\\nend\""}""
  }
]","{""code"":""local function find_Rotations(str)\n    local n = #str\n    local doubled = str .. str\n    for i = 1, n do\n        if doubled:sub(i, i + n - 1) == str then\n            return i\n        end\n    end\n    return n  -- This will never be reached, logically\nend""}",mbpp_9_find_Rotations,"-- Write a luathon function to find the minimum number of rotations (greater than 0) required to get the same string.
local function find_Rotations(str)
",gpt-4o
"local function remove_Occ(s, ch)
    local first = nil
    local last = nil
    for i = 1, #s do
        if s:sub(i, i) == ch then
            if not first then
                first = i
            end
            last = i
        end
    end
    if first and last then
        return s:sub(1, first - 1) .. s:sub(first + 1, last - 1) .. s:sub(last + 1)
    else
        return s
    end
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to remove first and last occurrence of a given character from the string.\nlocal function remove_Occ(s, ch)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function remove_Occ(s, ch)\\n    local first = nil\\n    local last = nil\\n    for i = 1, #s do\\n        if s:sub(i, i) == ch then\\n            if not first then\\n                first = i\\n            end\\n            last = i\\n        end\\n    end\\n    if first and last then\\n        return s:sub(1, first - 1) .. s:sub(first + 1, last - 1) .. s:sub(last + 1)\\n    else\\n        return s\\n    end\\nend\""}""
  }
]","{""code"":""local function remove_Occ(s, ch)\n    local first = nil\n    local last = nil\n    for i = 1, #s do\n        if s:sub(i, i) == ch then\n            if not first then\n                first = i\n            end\n            last = i\n        end\n    end\n    if first and last then\n        return s:sub(1, first - 1) .. s:sub(first + 1, last - 1) .. s:sub(last + 1)\n    else\n        return s\n    end\nend""}",mbpp_11_remove_Occ,"-- Write a luathon function to remove first and last occurrence of a given character from the string.
local function remove_Occ(s, ch)
",gpt-4o
"local function sort_matrix(M)
    table.sort(M, function(a, b)
        local sum_a, sum_b = 0, 0
        for _, v in ipairs(a) do
            sum_a = sum_a + v
        end
        for _, v in ipairs(b) do
            sum_b = sum_b + v
        end
        return sum_a < sum_b
    end)
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to sort a given matrix in ascending order according to the sum of its rows.\nlocal function sort_matrix(M)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function sort_matrix(M)\\n    table.sort(M, function(a, b)\\n        local sum_a, sum_b = 0, 0\\n        for _, v in ipairs(a) do\\n            sum_a = sum_a + v\\n        end\\n        for _, v in ipairs(b) do\\n            sum_b = sum_b + v\\n        end\\n        return sum_a < sum_b\\n    end)\\nend\""}""
  }
]","{""code"":""local function sort_matrix(M)\n    table.sort(M, function(a, b)\n        local sum_a, sum_b = 0, 0\n        for _, v in ipairs(a) do\n            sum_a = sum_a + v\n        end\n        for _, v in ipairs(b) do\n            sum_b = sum_b + v\n        end\n        return sum_a < sum_b\n    end)\nend""}",mbpp_12_sort_matrix,"-- Write a function to sort a given matrix in ascending order according to the sum of its rows.
local function sort_matrix(M)
",gpt-4o
"
local function find_Volume(l, b, h)
    -- If any of the dimensions is non-positive, the volume is considered invalid (zero)
    if l <= 0 or b <= 0 or h <= 0 then
        return 0
    end

    -- Volume of a triangular prism is given by
    -- V = (1/2 * b * h) * l, where b is the base width of the triangle,
    -- h is the height of the triangle, and l is the length of the prism.
    local baseArea = 0.5 * b * h
    local volume = baseArea * l
    return volume
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a luathon function to find the volume of a triangular prism.\nlocal function find_Volume(l, b, h)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""\\nlocal function find_Volume(l, b, h)\\n    -- If any of the dimensions is non-positive, the volume is considered invalid (zero)\\n    if l <= 0 or b <= 0 or h <= 0 then\\n        return 0\\n    end\\n\\n    -- Volume of a triangular prism is given by\\n    -- V = (1/2 * b * h) * l, where b is the base width of the triangle,\\n    -- h is the height of the triangle, and l is the length of the prism.\\n    local baseArea = 0.5 * b * h\\n    local volume = baseArea * l\\n    return volume\\nend\""}""
  }
]","{""code"":""\nlocal function find_Volume(l, b, h)\n    -- If any of the dimensions is non-positive, the volume is considered invalid (zero)\n    if l <= 0 or b <= 0 or h <= 0 then\n        return 0\n    end\n\n    -- Volume of a triangular prism is given by\n    -- V = (1/2 * b * h) * l, where b is the base width of the triangle,\n    -- h is the height of the triangle, and l is the length of the prism.\n    local baseArea = 0.5 * b * h\n    local volume = baseArea * l\n    return volume\nend""}",mbpp_14_find_Volume,"-- Write a luathon function to find the volume of a triangular prism.
local function find_Volume(l, b, h)
",gpt-4o
"local function text_lowercase_underscore(text)
    return text:match(""^[a-z]+(_[a-z]+)*$"") ~= nil
end","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\nlocal function text_lowercase_underscore(text)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""local function text_lowercase_underscore(text)\\n    return text:match(\\\""^[a-z]+(_[a-z]+)*$\\\"") ~= nil\\nend\""}""
  }
]","{""code"":""local function text_lowercase_underscore(text)\n    return text:match(\""^[a-z]+(_[a-z]+)*$\"") ~= nil\nend""}",mbpp_16_text_lowercase_underscore,"-- Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
local function text_lowercase_underscore(text)
",gpt-4o
"return 'local function square_perimeter(a)\n\n   if type(a) ~= ""number"" or a < 0 then\n       error(""Invalid input: side length must be a non-negative number."")\n   end\n   return 4 * a\n\nend'","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Lua programmer. You need to complete a function based on the following specification.\n\nFunction signature and docstring:\n-- Write a function that returns the perimeter of a square given its side length as input.\nlocal function square_perimeter(a)\n\n\nRequirements:\n1. Complete the function implementation that satisfies the docstring requirements\n2. Write clean, efficient, and well-structured code\n3. Ensure the implementation handles edge cases mentioned in the docstring\n4. Only provide the implementation body\n5. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n\n        Format the output as a JSON object with the following structure:\n        {\n            \""code\"": \""generated code for the constraint\""\n        }\n\n\n        Do not include explanations, examples, or usage demonstrations. Only provide the JSON array.\n        ""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""return 'local function square_perimeter(a)\\\\n\\\\n   if type(a) ~= \\\""number\\\"" or a < 0 then\\\\n       error(\\\""Invalid input: side length must be a non-negative number.\\\"")\\\\n   end\\\\n   return 4 * a\\\\n\\\\nend'\""}""
  }
]","{""code"":""return 'local function square_perimeter(a)\\n\\n   if type(a) ~= \""number\"" or a < 0 then\\n       error(\""Invalid input: side length must be a non-negative number.\"")\\n   end\\n   return 4 * a\\n\\nend'""}",mbpp_17_square_perimeter,"-- Write a function that returns the perimeter of a square given its side length as input.
local function square_perimeter(a)
",gpt-4o
