code,cprompt,crawresp,task_id,text,model
"def remove_first_last_occurrence(s: str, char: str) -> str:
    if not s or not char:
        return s  # Return the original string if it's empty or character is not provided

    # Finding the first occurrence index
    first_occurrence = s.find(char)
    
    # Finding the last occurrence index
    last_occurrence = s.rfind(char)

    # If character does not exist in the string, no removal needed
    if first_occurrence == -1 or last_occurrence == -1:
        return s  
    
    # Create a new string excluding the first and last occurrence
    return s[:first_occurrence] + s[first_occurrence + 1:last_occurrence] + s[last_occurrence + 1:]","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to remove first and last occurrence of a given character from the string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def remove_first_last_occurrence(s: str, char: str) -> str:\\n    if not s or not char:\\n        return s  # Return the original string if it's empty or character is not provided\\n\\n    # Finding the first occurrence index\\n    first_occurrence = s.find(char)\\n    \\n    # Finding the last occurrence index\\n    last_occurrence = s.rfind(char)\\n\\n    # If character does not exist in the string, no removal needed\\n    if first_occurrence == -1 or last_occurrence == -1:\\n        return s  \\n    \\n    # Create a new string excluding the first and last occurrence\\n    return s[:first_occurrence] + s[first_occurrence + 1:last_occurrence] + s[last_occurrence + 1:]\""}""
  }
]","{""code"":""def remove_first_last_occurrence(s: str, char: str) -> str:\n    if not s or not char:\n        return s  # Return the original string if it's empty or character is not provided\n\n    # Finding the first occurrence index\n    first_occurrence = s.find(char)\n    \n    # Finding the last occurrence index\n    last_occurrence = s.rfind(char)\n\n    # If character does not exist in the string, no removal needed\n    if first_occurrence == -1 or last_occurrence == -1:\n        return s  \n    \n    # Create a new string excluding the first and last occurrence\n    return s[:first_occurrence] + s[first_occurrence + 1:last_occurrence] + s[last_occurrence + 1:]""}",11,Write a python function to remove first and last occurrence of a given character from the string.,gpt-4o
"def sort_matrix_by_row_sum(matrix):
    return sorted(matrix, key=lambda row: sum(row))
","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to sort a given matrix in ascending order according to the sum of its rows.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def sort_matrix_by_row_sum(matrix):\\n    return sorted(matrix, key=lambda row: sum(row))\\n\""}""
  }
]","{""code"":""def sort_matrix_by_row_sum(matrix):\n    return sorted(matrix, key=lambda row: sum(row))\n""}",12,Write a function to sort a given matrix in ascending order according to the sum of its rows.,gpt-4o
"def triangular_prism_volume(base_area: float, height: float) -> float:
    """"""
    Calculate the volume of a triangular prism.
    :param base_area: The area of the triangular base.
    :param height: The height of the prism (the perpendicular distance between the two triangular bases).
    :return: The volume of the triangular prism.
    """"""
    if base_area < 0 or height < 0:
        raise ValueError(""Base area and height must be non-negative numbers."")
    return base_area * height","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the volume of a triangular prism.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def triangular_prism_volume(base_area: float, height: float) -> float:\\n    \\\""\\\""\\\""\\n    Calculate the volume of a triangular prism.\\n    :param base_area: The area of the triangular base.\\n    :param height: The height of the prism (the perpendicular distance between the two triangular bases).\\n    :return: The volume of the triangular prism.\\n    \\\""\\\""\\\""\\n    if base_area < 0 or height < 0:\\n        raise ValueError(\\\""Base area and height must be non-negative numbers.\\\"")\\n    return base_area * height\""}""
  }
]","{""code"":""def triangular_prism_volume(base_area: float, height: float) -> float:\n    \""\""\""\n    Calculate the volume of a triangular prism.\n    :param base_area: The area of the triangular base.\n    :param height: The height of the prism (the perpendicular distance between the two triangular bases).\n    :return: The volume of the triangular prism.\n    \""\""\""\n    if base_area < 0 or height < 0:\n        raise ValueError(\""Base area and height must be non-negative numbers.\"")\n    return base_area * height""}",14,Write a python function to find the volume of a triangular prism.,gpt-4o
"import re

def is_valid_sequence(input_string: str) -> bool:
    return bool(re.fullmatch(r'[a-z]+(_[a-z]+)*', input_string))","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""import re\\n\\ndef is_valid_sequence(input_string: str) -> bool:\\n    return bool(re.fullmatch(r'[a-z]+(_[a-z]+)*', input_string))\""}""
  }
]","{""code"":""import re\n\ndef is_valid_sequence(input_string: str) -> bool:\n    return bool(re.fullmatch(r'[a-z]+(_[a-z]+)*', input_string))""}",16,Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.,gpt-4o
"def calculate_square_perimeter(side_length: float) -> float:
    if side_length < 0:
        raise ValueError(""Side length must be a non-negative number."")
    return 4 * side_length
","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function that returns the perimeter of a square given its side length as input.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def calculate_square_perimeter(side_length: float) -> float:\\n    if side_length < 0:\\n        raise ValueError(\\\""Side length must be a non-negative number.\\\"")\\n    return 4 * side_length\\n\""}""
  }
]","{""code"":""def calculate_square_perimeter(side_length: float) -> float:\n    if side_length < 0:\n        raise ValueError(\""Side length must be a non-negative number.\"")\n    return 4 * side_length\n""}",17,Write a function that returns the perimeter of a square given its side length as input.,gpt-4o
"def remove_characters(first_string: str, second_string: str) -> str:
    # Using a set for efficient look up of characters that need to be removed
    chars_to_remove = set(second_string)
    
    # Build the resulting string by including characters not in the chars_to_remove set
    result = ''.join([char for char in first_string if char not in chars_to_remove])
    
    return result","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to remove characters from the first string which are present in the second string.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def remove_characters(first_string: str, second_string: str) -> str:\\n    # Using a set for efficient look up of characters that need to be removed\\n    chars_to_remove = set(second_string)\\n    \\n    # Build the resulting string by including characters not in the chars_to_remove set\\n    result = ''.join([char for char in first_string if char not in chars_to_remove])\\n    \\n    return result\""}""
  }
]","{""code"":""def remove_characters(first_string: str, second_string: str) -> str:\n    # Using a set for efficient look up of characters that need to be removed\n    chars_to_remove = set(second_string)\n    \n    # Build the resulting string by including characters not in the chars_to_remove set\n    result = ''.join([char for char in first_string if char not in chars_to_remove])\n    \n    return result""}",18,Write a function to remove characters from the first string which are present in the second string.,gpt-4o
"def contains_duplicates(nums):
    return len(nums) != len(set(nums))","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to find whether a given array of integers contains any duplicate element.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def contains_duplicates(nums):\\n    return len(nums) != len(set(nums))\""}""
  }
]","{""code"":""def contains_duplicates(nums):\n    return len(nums) != len(set(nums))""}",19,Write a function to find whether a given array of integers contains any duplicate element.,gpt-4o
"def is_woodball_number(num: int) -> bool:
    def sum_of_divisors(n: int) -> int:
        if n < 1:
            return 0
        divisor_sum = 0
        for i in range(1, n + 1):
            if n % i == 0:
                divisor_sum += i
        return divisor_sum
    return num > 1 and sum_of_divisors(num) == num ** 2","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a function to check if the given number is woodball or not.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def is_woodball_number(num: int) -> bool:\\n    def sum_of_divisors(n: int) -> int:\\n        if n < 1:\\n            return 0\\n        divisor_sum = 0\\n        for i in range(1, n + 1):\\n            if n % i == 0:\\n                divisor_sum += i\\n        return divisor_sum\\n    return num > 1 and sum_of_divisors(num) == num ** 2\""}""
  }
]","{""code"":""def is_woodball_number(num: int) -> bool:\n    def sum_of_divisors(n: int) -> int:\n        if n < 1:\n            return 0\n        divisor_sum = 0\n        for i in range(1, n + 1):\n            if n % i == 0:\n                divisor_sum += i\n        return divisor_sum\n    return num > 1 and sum_of_divisors(num) == num ** 2""}",20,Write a function to check if the given number is woodball or not.,gpt-4o
"def is_one_less_than_twice_reverse(number: int) -> bool:
    def reverse(num: int) -> int:
        reversed_num = 0
        while num > 0:
            reversed_num = reversed_num * 10 + num % 10
            num //= 10
        return reversed_num
    
    reversed_number = reverse(abs(number))
    return number == 2 * reversed_number - 1","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to check if a given number is one less than twice its reverse.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def is_one_less_than_twice_reverse(number: int) -> bool:\\n    def reverse(num: int) -> int:\\n        reversed_num = 0\\n        while num > 0:\\n            reversed_num = reversed_num * 10 + num % 10\\n            num //= 10\\n        return reversed_num\\n    \\n    reversed_number = reverse(abs(number))\\n    return number == 2 * reversed_number - 1\""}""
  }
]","{""code"":""def is_one_less_than_twice_reverse(number: int) -> bool:\n    def reverse(num: int) -> int:\n        reversed_num = 0\n        while num > 0:\n            reversed_num = reversed_num * 10 + num % 10\n            num //= 10\n        return reversed_num\n    \n    reversed_number = reverse(abs(number))\n    return number == 2 * reversed_number - 1""}",56,Write a python function to check if a given number is one less than twice its reverse.,gpt-4o
"def largest_number_from_digits(digits):
    if not digits:  # Handle empty list case
        return ''
    
    # Convert each integer digit to string for comparison
    str_digits = list(map(str, digits))
    # Sort digits based on largest concatenated result
    str_digits.sort(key=lambda x: x*len(str_digits), reverse=True)
    
    # Join sorted strings to form the largest number
    largest_number = ''.join(str_digits)
    
    # Handle edge case where all digits are zeros
    return largest_number if largest_number[0] != '0' else '0'","[
  {
    ""role"": ""user"",
    ""content"": ""\nYou are an expert Python programmer. You need to write a function based on the following specification.\n\nTask description:\nWrite a python function to find the largest number that can be formed with the given list of digits.\n\nRequirements:\n1. Write a complete function implementation that satisfies the task description\n2. Write clean, efficient, and well-structured code\n3. Include necessary imports if needed\n4. Ensure the implementation handles edge cases\n5. Include the complete function definition with signature\n6. Do NOT include test cases or example usage\n\nProvide ONLY the code implementation without any explanation, comments, or markdown formatting.\n""
  },
  {
    ""role"": ""assistant"",
    ""content"": ""{\""code\"":\""def largest_number_from_digits(digits):\\n    if not digits:  # Handle empty list case\\n        return ''\\n    \\n    # Convert each integer digit to string for comparison\\n    str_digits = list(map(str, digits))\\n    # Sort digits based on largest concatenated result\\n    str_digits.sort(key=lambda x: x*len(str_digits), reverse=True)\\n    \\n    # Join sorted strings to form the largest number\\n    largest_number = ''.join(str_digits)\\n    \\n    # Handle edge case where all digits are zeros\\n    return largest_number if largest_number[0] != '0' else '0'\""}""
  }
]","{""code"":""def largest_number_from_digits(digits):\n    if not digits:  # Handle empty list case\n        return ''\n    \n    # Convert each integer digit to string for comparison\n    str_digits = list(map(str, digits))\n    # Sort digits based on largest concatenated result\n    str_digits.sort(key=lambda x: x*len(str_digits), reverse=True)\n    \n    # Join sorted strings to form the largest number\n    largest_number = ''.join(str_digits)\n    \n    # Handle edge case where all digits are zeros\n    return largest_number if largest_number[0] != '0' else '0'""}",57,Write a python function to find the largest number that can be formed with the given list of digits.,gpt-4o
